,Geometry,Business Name,Rating,Business Types,Address
0,"{'location': {'lat': 33.6725307, 'lng': -117.8438666}, 'viewport': {'northeast': {'lat': 33.67388052989271, 'lng': -117.8425167701073}, 'southwest': {'lat': 33.67118087010727, 'lng': -117.8452164298927}}}",Park Place Barber Shop,4.6,"['hair_care', 'health', 'point_of_interest', 'establishment']","3333 Michelson Dr # 110, Irvine"
1,"{'location': {'lat': 33.6850424, 'lng': -117.8104946}, 'viewport': {'northeast': {'lat': 33.68631587989272, 'lng': -117.8090347701073}, 'southwest': {'lat': 33.68361622010728, 'lng': -117.8117344298927}}}",Floyd's 99 Barbershop,3.9,"['beauty_salon', 'hair_care', 'health', 'point_of_interest', 'establishment']","3972 Barranca Pkwy H, Irvine"
2,"{'location': {'lat': 33.6806996, 'lng': -117.8037824}, 'viewport': {'northeast': {'lat': 33.68223607989272, 'lng': -117.8023188701073}, 'southwest': {'lat': 33.67953642010728, 'lng': -117.8050185298927}}}",Stonecreek Plaza Barber Shop (inside H&R Block courtyard),4.9,"['hair_care', 'health', 'point_of_interest', 'establishment']","4330 Barranca Pkwy #105, Irvine"
3,"{'location': {'lat': 33.6976351, 'lng': -117.8275868}, 'viewport': {'northeast': {'lat': 33.69936802989272, 'lng': -117.8261088701072}, 'southwest': {'lat': 33.69666837010728, 'lng': -117.8288085298927}}}",Black Steel Barbershop,4.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","2493 Park Ave #28, Tustin"
4,"{'location': {'lat': 33.6710241, 'lng': -117.7880469}, 'viewport': {'northeast': {'lat': 33.67232327989272, 'lng': -117.7865828201072}, 'southwest': {'lat': 33.66962362010728, 'lng': -117.7892824798927}}}",Roosters Men's Grooming Center,4.4,"['hair_care', 'health', 'point_of_interest', 'establishment']","5405 Alton Pkwy, Irvine"
5,"{'location': {'lat': 33.6869575, 'lng': -117.8583723}, 'viewport': {'northeast': {'lat': 33.68815637989272, 'lng': -117.8571169201073}, 'southwest': {'lat': 33.68545672010728, 'lng': -117.8598165798927}}}",Creations Salon & Barbershop,4.7,"['hair_care', 'health', 'point_of_interest', 'establishment']","17779 Main St, Irvine"
6,"{'location': {'lat': 33.6623501, 'lng': -117.8727445}, 'viewport': {'northeast': {'lat': 33.66356902989272, 'lng': -117.8712071201072}, 'southwest': {'lat': 33.66086937010728, 'lng': -117.8739067798927}}}",The beautician & the barber,3.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","3723 Birch St #5, Newport Beach"
7,"{'location': {'lat': 33.658796, 'lng': -117.871888}, 'viewport': {'northeast': {'lat': 33.66033637989272, 'lng': -117.8703378201073}, 'southwest': {'lat': 33.65763672010728, 'lng': -117.8730374798927}}}",PRESS Men's Hair,4.7,"['beauty_salon', 'hair_care', 'spa', 'health', 'point_of_interest', 'establishment']","0789, 2300 SE Bristol St, Newport Beach"
8,"{'location': {'lat': 33.699564, 'lng': -117.869135}, 'viewport': {'northeast': {'lat': 33.70110682989272, 'lng': -117.8677824201073}, 'southwest': {'lat': 33.69840717010727, 'lng': -117.8704820798927}}}",South Coast Barber Shop,4.3,"['hair_care', 'health', 'point_of_interest', 'establishment']","118 W MacArthur Blvd, Santa Ana"
9,"{'location': {'lat': 33.6584767, 'lng': -117.8854288}, 'viewport': {'northeast': {'lat': 33.65964802989271, 'lng': -117.8838510201073}, 'southwest': {'lat': 33.65694837010727, 'lng': -117.8865506798927}}}",True Blue Barber Shop,4.3,"['hair_care', 'health', 'point_of_interest', 'establishment']","2675 Irvine Ave, Costa Mesa"
