,Geometry,Business Name,Rating,Business Types,Address
0,"{'location': {'lat': 33.6850424, 'lng': -117.8104946}, 'viewport': {'northeast': {'lat': 33.68631587989272, 'lng': -117.8090347701073}, 'southwest': {'lat': 33.68361622010728, 'lng': -117.8117344298927}}}",Floyd's 99 Barbershop,3.9,"['beauty_salon', 'hair_care', 'health', 'point_of_interest', 'establishment']","3972 Barranca Pkwy H, Irvine"
1,"{'location': {'lat': 33.6806996, 'lng': -117.8037824}, 'viewport': {'northeast': {'lat': 33.68223607989272, 'lng': -117.8023188701073}, 'southwest': {'lat': 33.67953642010728, 'lng': -117.8050185298927}}}",Stonecreek Plaza Barber Shop (inside H&R Block courtyard),4.9,"['hair_care', 'health', 'point_of_interest', 'establishment']","4330 Barranca Pkwy #105, Irvine"
2,"{'location': {'lat': 33.680738, 'lng': -117.803632}, 'viewport': {'northeast': {'lat': 33.68223397989272, 'lng': -117.8021931701073}, 'southwest': {'lat': 33.67953432010727, 'lng': -117.8048928298927}}}",Justin's Fade's&Hairstyle's,5.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","4330 Barranca Pkwy, Irvine"
3,"{'location': {'lat': 33.6976351, 'lng': -117.8275868}, 'viewport': {'northeast': {'lat': 33.69936802989272, 'lng': -117.8261088701072}, 'southwest': {'lat': 33.69666837010728, 'lng': -117.8288085298927}}}",Black Steel Barbershop,4.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","2493 Park Ave #28, Tustin"
4,"{'location': {'lat': 33.6710241, 'lng': -117.7880469}, 'viewport': {'northeast': {'lat': 33.67232327989272, 'lng': -117.7865828201072}, 'southwest': {'lat': 33.66962362010728, 'lng': -117.7892824798927}}}",Roosters Men's Grooming Center,4.4,"['hair_care', 'health', 'point_of_interest', 'establishment']","5405 Alton Pkwy, Irvine"
5,"{'location': {'lat': 33.6869575, 'lng': -117.8583723}, 'viewport': {'northeast': {'lat': 33.68815637989272, 'lng': -117.8571169201073}, 'southwest': {'lat': 33.68545672010728, 'lng': -117.8598165798927}}}",Creations Salon & Barbershop,4.7,"['hair_care', 'health', 'point_of_interest', 'establishment']","17779 Main St, Irvine"
6,"{'location': {'lat': 33.656782, 'lng': -117.864477}, 'viewport': {'northeast': {'lat': 33.65796827989271, 'lng': -117.8629078201073}, 'southwest': {'lat': 33.65526862010727, 'lng': -117.8656074798927}}}",Supercuts,3.6,"['beauty_salon', 'hair_care', 'health', 'point_of_interest', 'establishment']","3601 Jamboree Rd #18, Newport Beach"
7,"{'location': {'lat': 33.668401, 'lng': -117.764456}, 'viewport': {'northeast': {'lat': 33.66975082989272, 'lng': -117.7631061701073}, 'southwest': {'lat': 33.66705117010728, 'lng': -117.7658058298928}}}",Sand Canyon Barber,4.3,"['hair_care', 'health', 'point_of_interest', 'establishment']","6642 Irvine Center Dr, Irvine"
8,"{'location': {'lat': 33.6584767, 'lng': -117.8854288}, 'viewport': {'northeast': {'lat': 33.65964802989271, 'lng': -117.8838510201073}, 'southwest': {'lat': 33.65694837010727, 'lng': -117.8865506798927}}}",True Blue Barber Shop,4.3,"['hair_care', 'health', 'point_of_interest', 'establishment']","2675 Irvine Ave, Costa Mesa"
9,"{'location': {'lat': 33.7050333, 'lng': -117.7727961}, 'viewport': {'northeast': {'lat': 33.70636312989272, 'lng': -117.7712086701073}, 'southwest': {'lat': 33.70366347010728, 'lng': -117.7739083298927}}}",Danckut's,4.7,"['hair_care', 'health', 'point_of_interest', 'establishment']","185 13925, Yale Ave, Irvine"
10,"{'location': {'lat': 33.6556174, 'lng': -117.9037234}, 'viewport': {'northeast': {'lat': 33.65707752989272, 'lng': -117.9025370701073}, 'southwest': {'lat': 33.65437787010728, 'lng': -117.9052367298927}}}",Aces And Eights Barbershop,5.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","2346, ste b2, Newport Blvd, Costa Mesa"
