,Latitude,Longitude,Business Name,Rating,Business Types,Address
0,33.6850424,-117.8104946,Floyd's 99 Barbershop,3.9,"['beauty_salon', 'hair_care', 'health', 'point_of_interest', 'establishment']","3972 Barranca Pkwy H, Irvine"
1,33.6806996,-117.8037824,Stonecreek Plaza Barber Shop (inside H&R Block courtyard),4.9,"['hair_care', 'health', 'point_of_interest', 'establishment']","4330 Barranca Pkwy #105, Irvine"
2,33.680738,-117.803632,Justin's Fade's&Hairstyle's,5.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","4330 Barranca Pkwy, Irvine"
3,33.6976351,-117.8275868,Black Steel Barbershop,4.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","2493 Park Ave #28, Tustin"
4,33.6710241,-117.7880469,Roosters Men's Grooming Center,4.4,"['hair_care', 'health', 'point_of_interest', 'establishment']","5405 Alton Pkwy, Irvine"
5,33.6869575,-117.8583723,Creations Salon & Barbershop,4.7,"['hair_care', 'health', 'point_of_interest', 'establishment']","17779 Main St, Irvine"
6,33.656782,-117.864477,Supercuts,3.6,"['beauty_salon', 'hair_care', 'health', 'point_of_interest', 'establishment']","3601 Jamboree Rd #18, Newport Beach"
7,33.668401,-117.764456,Sand Canyon Barber,4.3,"['hair_care', 'health', 'point_of_interest', 'establishment']","6642 Irvine Center Dr, Irvine"
8,33.6584767,-117.8854288,True Blue Barber Shop,4.3,"['hair_care', 'health', 'point_of_interest', 'establishment']","2675 Irvine Ave, Costa Mesa"
9,33.7050333,-117.7727961,Danckut's,4.7,"['hair_care', 'health', 'point_of_interest', 'establishment']","185 13925, Yale Ave, Irvine"
10,33.6556174,-117.9037234,Aces And Eights Barbershop,5.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","2346, ste b2, Newport Blvd, Costa Mesa"
11,33.6776904,-117.9189456,Floyd's 99 Barbershop,3.9,"['beauty_salon', 'hair_care', 'health', 'point_of_interest', 'establishment']","2900 Harbor Blvd, Costa Mesa"
12,33.7502815,-117.8094189,Floyd's 99 Barbershop,4.4,"['beauty_salon', 'hair_care', 'health', 'point_of_interest', 'establishment']","12872 Newport Ave, Tustin"
13,33.7478909,-117.8646264,American Barbershop,4.2,"['hair_care', 'health', 'point_of_interest', 'establishment']","320 E 4th St a, Santa Ana"
14,33.637171,-117.920873,Floyd's 99 Barbershop,4.2,"['beauty_salon', 'hair_care', 'store', 'health', 'point_of_interest', 'establishment']","124 E 17th St, Costa Mesa"
15,33.7476529,-117.8709663,El Catrin BarberShop,4.6,"['hair_care', 'health', 'point_of_interest', 'establishment']","400 W 4th St, Santa Ana"
16,33.7457715,-117.8804084,Muñoz Barbershop And Hairsalon,5.0,"['hair_care', 'health', 'point_of_interest', 'establishment']","1055 C W 1st St, Santa Ana"
17,33.757973,-117.8672102,NUMBER #1 Barbershop,3.9,"['hair_care', 'health', 'point_of_interest', 'establishment']","1501 N Main St, Santa Ana"
18,33.770604,-117.851762,Affiliated barbershop,4.3,"['hair_care', 'health', 'point_of_interest', 'establishment']","2525-2521 North Grand Avenue e, Santa Ana"
19,33.7736955,-117.8519871,Blazing Fades Barbershop,4.7,"['hair_care', 'health', 'point_of_interest', 'establishment']","2705 N Grand Ave, Santa Ana"
