,work_zip,home_zip,gender_values,age,race_values,income_values,days_last_values,time_between_values,products_values,spend_values,max_spend_values,how_find_values,review_values,price,convenient,atmosphere,amenities
0,92614,92614,1,38.0,1.0,1.0,1.0,3.0,0.0,5.0,5.0,3.0,1.0,4,4,4,1
1,92660,92677,1,34.0,4.0,5.0,6.0,7.0,0.0,5.0,7.0,2.0,2.0,5,3,3,1
2,92612,92602,0,35.0,4.0,4.0,0.0,7.0,1.0,5.0,0.0,3.0,2.0,5,5,4,4
3,92620,92780,1,35.0,1.0,4.0,1.0,3.0,1.0,5.0,6.0,3.0,3.0,3,5,4,4
4,97205,97205,1,38.0,4.0,4.0,1.0,6.0,0.0,5.0,5.0,4.0,3.0,4,2,3,2
5,92627,92697,1,33.0,4.0,3.0,1.0,4.0,1.0,5.0,7.0,0.0,1.0,4,3,5,2
6,92867,92602,1,24.0,1.0,3.0,5.0,4.0,0.0,5.0,0.0,2.0,2.0,2,2,5,5
7,92782,92782,1,54.0,4.0,8.0,2.0,0.0,0.0,5.0,7.0,2.0,2.0,3,4,3,2
8,94404,94115,1,38.0,1.0,7.0,4.0,0.0,1.0,5.0,6.0,2.0,2.0,4,2,3,3
9,92660,92661,1,48.0,4.0,6.0,7.0,7.0,0.0,5.0,5.0,1.0,2.0,3,5,2,1
10,92660,92627,1,32.0,4.0,6.0,4.0,4.0,1.0,5.0,5.0,2.0,2.0,1,4,2,2
11,90041,91730,1,37.0,1.0,6.0,2.0,2.0,1.0,5.0,7.0,0.0,2.0,3,4,2,2
12,92612,92620,1,35.0,1.0,5.0,1.0,3.0,0.0,4.0,6.0,2.0,3.0,4,3,4,4
13,90505,90703,1,31.0,1.0,5.0,1.0,3.0,0.0,4.0,4.0,3.0,2.0,4,4,5,2
14,92618,92620,1,38.0,1.0,8.0,1.0,3.0,0.0,4.0,5.0,2.0,2.0,4,5,3,3
15,92122,92037,1,32.0,4.0,7.0,3.0,6.0,0.0,4.0,5.0,1.0,3.0,2,3,2,1
16,94080,94080,1,35.0,1.0,6.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,3,5,1,3
17,92697,92656,1,36.0,4.0,6.0,3.0,4.0,0.0,4.0,4.0,1.0,2.0,4,4,3,1
18,92660,92618,0,0.0,0.0,0.0,2.0,6.0,1.0,4.0,6.0,3.0,2.0,3,4,4,4
19,94710,94107,1,41.0,4.0,0.0,3.0,6.0,0.0,4.0,5.0,4.0,1.0,4,4,2,1
20,91324,91770,1,22.0,1.0,1.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,5,5,4,3
21,92870,91776,1,22.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,2.0,3.0,5,5,4,3
22,91403,91733,1,21.0,1.0,1.0,2.0,3.0,0.0,3.0,3.0,2.0,3.0,1,5,3,5
23,92740,92647,1,33.0,4.0,5.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,4,5,4,4
24,92618,92618,0,33.0,2.0,5.0,7.0,0.0,0.0,3.0,0.0,2.0,3.0,2,3,3,3
25,92606,92701,1,28.0,4.0,5.0,1.0,4.0,0.0,3.0,3.0,1.0,3.0,4,5,2,1
26,92656,92602,1,24.0,1.0,5.0,1.0,4.0,1.0,3.0,7.0,3.0,2.0,4,5,5,1
27,90620,92780,1,0.0,3.0,5.0,7.0,3.0,0.0,3.0,7.0,2.0,1.0,3,5,4,3
28,94720,94609,1,38.0,1.0,4.0,4.0,6.0,0.0,3.0,4.0,2.0,2.0,3,4,4,3
29,91367,91344,1,26.0,1.0,4.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,3,4,4,3
30,92660,92626,1,28.0,4.0,3.0,3.0,6.0,0.0,3.0,4.0,3.0,2.0,4,4,3,1
31,92606,92691,1,26.0,4.0,3.0,4.0,6.0,0.0,3.0,3.0,2.0,2.0,2,3,3,4
32,92887,92887,1,27.0,1.0,3.0,3.0,4.0,0.0,3.0,3.0,1.0,1.0,4,4,1,1
33,92801,92805,1,21.0,3.0,2.0,1.0,2.0,0.0,3.0,3.0,2.0,2.0,5,1,1,1
34,92821,92630,1,37.0,1.0,8.0,1.0,2.0,0.0,3.0,4.0,3.0,2.0,4,5,4,1
35,92506,92887,1,40.0,1.0,8.0,5.0,0.0,0.0,3.0,3.0,1.0,2.0,3,5,3,3
36,92656,92629,1,37.0,4.0,7.0,3.0,3.0,0.0,3.0,6.0,3.0,2.0,3,5,3,2
37,98065,98065,1,31.0,3.0,7.0,2.0,2.0,0.0,3.0,4.0,3.0,1.0,3,1,3,2
38,92649,92663,1,31.0,4.0,6.0,1.0,6.0,0.0,3.0,4.0,1.0,2.0,2,5,1,1
39,92660,92618,1,35.0,4.0,6.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,5,5,3,1
40,92660,92626,1,31.0,1.0,6.0,1.0,4.0,0.0,3.0,3.0,1.0,2.0,4,5,3,2
41,91910,92104,1,31.0,4.0,6.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3,3,3,1
42,92821,92879,1,39.0,5.0,6.0,2.0,4.0,0.0,3.0,2.0,3.0,1.0,5,3,3,1
43,92108,92123,1,33.0,1.0,0.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,4,5,3,4
44,92660,92627,1,46.0,1.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,2.0,2,5,1,1
45,92606,92604,1,36.0,1.0,1.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,4,4,3,2
46,93117,95127,1,0.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,5,5,3,3
47,92126,92126,1,32.0,4.0,1.0,3.0,6.0,0.0,2.0,2.0,2.0,3.0,4,1,3,1
48,92614,92663,1,28.0,4.0,5.0,1.0,6.0,0.0,2.0,2.0,1.0,2.0,5,5,5,4
49,92660,92782,1,23.0,4.0,5.0,5.0,7.0,0.0,2.0,2.0,1.0,2.0,4,4,3,1
50,92656,92630,1,22.0,1.0,5.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,4,5,2,1
51,92612,92782,1,38.0,1.0,5.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,4,4,2,1
52,92618,90808,1,30.0,4.0,5.0,1.0,3.0,0.0,2.0,2.0,3.0,2.0,4,5,4,2
53,90810,91748,1,35.0,1.0,4.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,4,4,3,1
54,91910,91912,1,33.0,3.0,4.0,4.0,4.0,0.0,2.0,2.0,3.0,3.0,5,4,1,3
55,92821,91766,1,26.0,4.0,4.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,4,4,1,2
56,92618,92614,1,24.0,1.0,4.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,5,4,3,3
57,91010,91106,1,39.0,1.0,4.0,1.0,2.0,0.0,2.0,3.0,2.0,2.0,4,5,4,4
58,98052,8125,1,23.0,4.0,4.0,4.0,6.0,0.0,2.0,3.0,3.0,3.0,4,4,1,1
59,92618,92683,1,28.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,5,5,2,1
60,92121,92009,1,30.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,1.0,4,5,4,1
61,93003,93021,1,45.0,4.0,8.0,6.0,6.0,0.0,2.0,2.0,1.0,3.0,5,5,2,1
62,94301,94568,1,39.0,1.0,7.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,5,5,4,2
63,90745,90706,1,28.0,4.0,7.0,5.0,7.0,0.0,2.0,3.0,3.0,3.0,3,4,2,1
64,92832,92832,1,35.0,1.0,6.0,3.0,4.0,0.0,2.0,7.0,1.0,2.0,3,1,1,2
65,92822,92612,1,39.0,1.0,6.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,3,4,3,1
66,95054,94541,1,30.0,1.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,1.0,5,2,2,2
67,92131,92123,1,35.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,5,5,3,3
68,92843,92843,1,23.0,1.0,1.0,2.0,7.0,0.0,1.0,1.0,1.0,2.0,5,4,4,3
69,92708,92703,1,23.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,4,4,3,2
70,94024,94040,1,33.0,1.0,5.0,7.0,7.0,0.0,1.0,4.0,2.0,2.0,5,5,5,3
71,92675,90803,0,37.0,4.0,4.0,4.0,7.0,0.0,1.0,6.0,0.0,3.0,2,1,2,1
72,92806,92806,1,30.0,4.0,4.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,4,5,4,3
73,91746,92880,1,35.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,5,5,5,5
74,20815,20816,1,32.0,1.0,8.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,5,5,1,1
75,92612,90807,1,32.0,1.0,7.0,3.0,6.0,0.0,1.0,0.0,0.0,1.0,5,1,1,1
76,92647,92647,1,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,4,4,4,1
77,90025,90025,1,32.0,4.0,8.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,4,4,3,2
78,92618,92627,1,30.0,4.0,5.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,4,4,2,1
79,94105,94546,1,34.0,1.0,5.0,3.0,2.0,0.0,0.0,4.0,0.0,3.0,3,2,4,4
80,10019,10028,1,32.0,1.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,5,5,5,2
81,91745,91724,1,38.0,3.0,4.0,7.0,3.0,0.0,2.0,2.0,3.0,2.0,5,5,2,2
82,90245,90275,1,39.0,1.0,8.0,2.0,6.0,0.0,2.0,3.0,1.0,2.0,4,5,3,3
83,90010,91344,1,27.0,4.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,2.0,4,4,2,3
84,90401,90034,1,28.0,3.0,5.0,1.0,6.0,0.0,5.0,6.0,1.0,2.0,3,3,3,1
85,94583,94568,1,24.0,1.0,4.0,3.0,4.0,0.0,2.0,2.0,2.0,2.0,3,5,4,1
86,90630,92704,1,25.0,5.0,5.0,3.0,6.0,0.0,4.0,4.0,3.0,3.0,5,5,4,2
87,28262,28202,1,27.0,4.0,6.0,5.0,7.0,0.0,2.0,2.0,1.0,2.0,5,2,1,1
88,91342,91423,0,29.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,2,5,1,4
89,91342,91342,1,30.0,4.0,4.0,3.0,6.0,0.0,0.0,2.0,0.0,2.0,5,5,4,1
90,91789,92805,0,50.0,3.0,0.0,6.0,6.0,1.0,5.0,6.0,2.0,2.0,5,5,5,5
91,21108,21108,0,25.0,1.0,4.0,0.0,7.0,0.0,3.0,3.0,1.0,1.0,5,5,4,5
92,92683,92804,1,21.0,1.0,3.0,4.0,0.0,0.0,3.0,3.0,3.0,2.0,2,2,5,5
93,94080,94578,1,35.0,1.0,6.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,3,5,4,4
94,92780,92627,1,32.0,1.0,4.0,1.0,4.0,0.0,2.0,3.0,1.0,2.0,4,5,3,2
95,1730,1801,1,32.0,4.0,7.0,3.0,3.0,0.0,3.0,3.0,0.0,2.0,3,5,5,1
96,92705,91748,1,32.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,5,4,2,2
