work_zip,home_zip,gender_values,age,race_values,income_values,days_last_values,time_between_values,products_values,spend_values,max_spend_values,how_find_values,review_values,price,convenient,atmosphere,amenities
92614,92614,1,38,1,1,1,3,0,5,5,3,1,4,4,4,1
92660,92677,1,34,4,5,6,7,0,5,7,2,2,5,3,3,1
92612,92602,0,35,4,4,0,7,1,5,0,3,2,5,5,4,4
92620,92780,1,35,1,4,1,3,1,5,6,3,3,3,5,4,4
97205,97205,1,38,4,4,1,6,0,5,5,4,3,4,2,3,2
92627,92697,1,33,4,3,1,4,1,5,7,0,1,4,3,5,2
92867,92602,1,24,1,3,5,4,0,5,0,2,2,2,2,5,5
92782,92782,1,54,4,8,2,0,0,5,7,2,2,3,4,3,2
94404,94115,1,38,1,7,4,0,1,5,6,2,2,4,2,3,3
92660,92661,1,48,4,6,7,7,0,5,5,1,2,3,5,2,1
92660,92627,1,32,4,6,4,4,1,5,5,2,2,1,4,2,2
90041,91730,1,37,1,6,2,2,1,5,7,0,2,3,4,2,2
92612,92620,1,35,1,5,1,3,0,4,6,2,3,4,3,4,4
90505,90703,1,31,1,5,1,3,0,4,4,3,2,4,4,5,2
92618,92620,1,38,1,8,1,3,0,4,5,2,2,4,5,3,3
92122,92037,1,32,4,7,3,6,0,4,5,1,3,2,3,2,1
94080,94080,1,35,1,6,4,4,0,4,4,3,3,3,5,1,3
92697,92656,1,36,4,6,3,4,0,4,4,1,2,4,4,3,1
92660,92618,0,0,0,0,2,6,1,4,6,3,2,3,4,4,4
94710,94107,1,41,4,0,3,6,0,4,5,4,1,4,4,2,1
91324,91770,1,22,1,1,3,4,1,3,3,2,2,5,5,4,3
92870,91776,1,22,1,1,2,4,1,3,3,2,3,5,5,4,3
91403,91733,1,21,1,1,2,3,0,3,3,2,3,1,5,3,5
92740,92647,1,33,4,5,3,0,1,3,3,1,2,4,5,4,4
92618,92618,0,33,2,5,7,0,0,3,0,2,3,2,3,3,3
92606,92701,1,28,4,5,1,4,0,3,3,1,3,4,5,2,1
92656,92602,1,24,1,5,1,4,1,3,7,3,2,4,5,5,1
90620,92780,1,0,3,5,7,3,0,3,7,2,1,3,5,4,3
94720,94609,1,38,1,4,4,6,0,3,4,2,2,3,4,4,3
91367,91344,1,26,1,4,4,0,0,3,3,2,2,3,4,4,3
92660,92626,1,28,4,3,3,6,0,3,4,3,2,4,4,3,1
92606,92691,1,26,4,3,4,6,0,3,3,2,2,2,3,3,4
92887,92887,1,27,1,3,3,4,0,3,3,1,1,4,4,1,1
92801,92805,1,21,3,2,1,2,0,3,3,2,2,5,1,1,1
92821,92630,1,37,1,8,1,2,0,3,4,3,2,4,5,4,1
92506,92887,1,40,1,8,5,0,0,3,3,1,2,3,5,3,3
92656,92629,1,37,4,7,3,3,0,3,6,3,2,3,5,3,2
98065,98065,1,31,3,7,2,2,0,3,4,3,1,3,1,3,2
92649,92663,1,31,4,6,1,6,0,3,4,1,2,2,5,1,1
92660,92618,1,35,4,6,1,0,0,3,3,1,2,5,5,3,1
92660,92626,1,31,1,6,1,4,0,3,3,1,2,4,5,3,2
91910,92104,1,31,4,6,3,3,0,3,3,3,3,3,3,3,1
92821,92879,1,39,5,6,2,4,0,3,2,3,1,5,3,3,1
92108,92123,1,33,1,0,2,2,1,3,3,2,2,4,5,3,4
92660,92627,1,46,1,0,4,4,0,3,3,0,2,2,5,1,1
92606,92604,1,36,1,1,2,2,0,2,4,2,2,4,4,3,2
93117,95127,1,0,1,1,2,2,0,2,3,2,2,5,5,3,3
92126,92126,1,32,4,1,3,6,0,2,2,2,3,4,1,3,1
92614,92663,1,28,4,5,1,6,0,2,2,1,2,5,5,5,4
92660,92782,1,23,4,5,5,7,0,2,2,1,2,4,4,3,1
