,BusinessName,BusinessCategory,YelpRating,ReviewCount,PriceRange($),PriceCategory,Address,Phone,Website
0,Supreme Clientele Barber Lounge,Barbers,5.0 star rating,32 reviews,$$,Moderate,"7800 El Camino RealSte CColma, CA 94014",(650) 242-9070,supremeclientelebarberlounge.…
1,Viks the Barber,Barbers,5.0 star rating,36 reviews,$,Inexpensive,"139 School StInstaglam Hair StudioDaly City, CA 94014",(650) 731-4329,no website
2,The Cutlery Barber Shop,Barbers,4.5 star rating,48 reviews,$$,Moderate,"417 Gellert BlvdDaly City, CA 94015",(650) 878-4555,no website
3,Fresh Cuts,Barbers,4.0 star rating,62 reviews,$$,Moderate,"2750 Junipero Serra BlvdDaly City, CA 94015",(650) 755-6332,no website
4,The Tailormade Barbershop,Barbers,4.5 star rating,74 reviews,$$,Moderate,"7321 Mission StDaly City, CA 94014",(415) 585-6332,no website
5,Black & Gold Barber Lounge,Barbers,5.0 star rating,124 reviews,$$,Moderate,"6755 Mission StDaly City, CA 94014",(650) 550-4180,no website
6,R&B Barbershop,Barbers,4.5 star rating,34 reviews,$$,Moderate,"667 El Camino RealSouth San Francisco, CA 94080",(650) 583-0716,no website
7,Fine Line Barbershop,Barbers,4.5 star rating,79 reviews,$,Inexpensive,"6135 Mission StDaly City, CA 94014",(415) 494-5519,no website
8,City Fades Barbershop,Barbers,3.5 star rating,15 reviews,$$,Moderate,"1198 Hillside BlvdDaly City, CA 94014",(650) 550-4976,no website
9,Nate’s Barbershop,Barbers,5.0 star rating,160 reviews,$$,Moderate,"203 Broad StSan Francisco, CA 94112",(415) 573-6445,no website
