Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
4/5/18,0.403809524,Positive,0,5.0 star rating,5,"Rob is the man! By far the best cuts on the West Side. Shop is always clean, good pricing, and extremely fast service. Highly recommend to anyone looking for a fresh haircut."
4/6/18,0.021173469,Positive,0,1.0 star rating,1,"I never took a time to post a review but this here is a different story While telling the guy what I wanted he decided to start talking with his friend without listening to what I said All I asked for was a little trim from the top and keep the front long He f*ck it up the left side one inch ( used to be 3 ) and the right side is 2 inches He didn't even used his hand to hold the hair, he used the cone instead I'm an actor and had an audition that day I couldn't look any worse"
2/20/18,-0.102777778,Negative,1,5.0 star rating,5,Thanks to active barbers my boyfriend is always looking fresh and clean he's been going with Steve for four years now and he's never seen anyone else. They always accommodate his crazy work schedule and the ambience is always dope. Stop by you won't be disappointed.
1/30/18,0.273611111,Positive,0,5.0 star rating,5,"Walked in for the first time and Napo hooked it up!  Gave me a clean haircut and beard trim - a little pricey $30 - but he paid a great deal of detail to his work. Also, its a true ""man cave"" which was cool.Would come back again."
3/3/18,0.047135417,Positive,0,1.0 star rating,1,"Used to be a great haircut spot but has been getting progressively worse and worse. The barbers began caring less about doing a good job. They always charge me different prices for doing the same thing. My buddy went in the other day and got charged $30 just for getting his beard lined up - the cost was supposed to be $15! Anyway, just my two cents."
3/17/18,0.184027778,Positive,0,5.0 star rating,5,"Best place to get your hair cut on the west side. Chris usually gets my hair, and I haven't found anyone that can do a better taper. Come here. $30 is a little on the pricey side, but compared to some of the other places on the west side, that's a decent price."
4/11/17,-0.144602273,Negative,1,1.0 star rating,1,"I came here with a friend after looking through yelp and was repeatedly disappointed. To begin, parking is extremely difficult with no public parking available for customers. As we were waiting for the two male barbers, we discovered a sign that said ""Cash Only"" and had to leave the property to withdraw cash at a nearby bank. Upon waiting 30 min (there are only 2 barbers working at a time), I explained to my barber the type of cut I wanted and even provided multiple photos at different profiled angles to help. I could tell he wasn't even listening and he immediately began shaving my head without even fading the sides like I asked him too. I sat there in utter shock and I continually glanced at him through the mirror to find him only focused on watching the television in front of him. I even specifically told him of the direction of my calic before the cut and he ended up cutting it in the wrong direction!! He also gave me a horrible line-up all along my head, which I didn't ask for, and had a rash for several days afterwards. In the head my head was practically bald on the sides and the back and a whole lot of hair sprouting on the top of my head aka. I still tipped the man because I just can't get myself to leave no tip regardless of how much I like the cut. He provided me with a service so I still tipped him $5 but overall, I am extremely disappointed in the minimal effort and lack of attention given to me and my friend by this establishment. I have uploaded a photo onto this yelp page for proof that this shop doesn't understand what a comb-over fade is. Would not recommend x5"
1/19/18,0.393055556,Positive,0,5.0 star rating,5,My boy sal hooked me up today... Has to be the best barbershop in LA. Go to Active Barbers and I guarantee you'd get exactly what you ask for. Job well done!
12/28/17,0.211111111,Positive,0,1.0 star rating,1,"This place is a joke. Napoleon thinks he's a genius and a master at cutting hair and just goes to town doing whatever he thinks is best. Not once listening to the customer or asking any questions. By the end of the cut I realize he nearly shaved my entire head off with a buzz cut and says ""best haircut you ever got"". HA, please. Charges $30 for haircut and only accepts cash. No thanks - find some place better where they actually listen to what you want."
2/3/18,0.170833333,Positive,0,5.0 star rating,5,"First time at a barber shop and I am definitely glad I stopped by. I was tired of the same hairstyle for the past 18 years so i stopped by at Active Barbers and I do not regret it one bit. I went in and just said ""do whatever you want"" and luckily my man Napoleon knew exactly what to do. He gave me a perfect taper fade and left some on the top for me to work with. I recommend this place to anyone in need of a cut. And will definitely be back soon. Shout out to Napoleon!"
12/30/17,0.205194805,Positive,0,5.0 star rating,5,Sal gave me a fresh cut and sick line up. Friendly staff and fun environment. Thank for you great hair cut for the new year. Meow!
1/8/18,0.255357143,Positive,0,4.5 star rating,4.5,"Came here for a haircut and a beard trim while visiting LA for the holidays.  I got a great cut and my beard was carefully trimmed, and I only paid around $40.  The barbers were very friendly and it was fun to listen to their banter.  This feels like a ""guy's place,"" fun, no nonsense.  Will be back."
12/28/17,0.412045455,Positive,0,5.0 star rating,5,"Best cut I ever had. After a lifetime of begging barbers to use their judgement and make me look good, I finally found the place. Very intimate, energetic environment. The guy cut my hair in a way that gave me a whole new look and made me feel better about myself."
4/2/17,0.075,Positive,0,1.0 star rating,1,Came in for a haircut and sat in the small waiting area for 45 min and no one cared that I was sitting there.... the barbers kept cutting and yapping away and not caring the line was getting longer and longer. People don't have all day to wait and sit and the people here need to do a better job of understanding this and get people in and out faster...As for the cut. It's totally not worth the $30. They on two occasions messes my cut up after sitting and being ignored. It does not take 45 min for a haircut and people don't have all day to wait and be ignored Come here if you want to be ignored and made to feel like a patient in a doctors office.  It's a complete turn off. The atmosphere as well as the barbers. Once they learn how to have proper customer service and understand people have things to do and a life and offer me a free haircut I will be back.They also play offensive things on the TV that is not appropriate for children and more appropriate for the hood. This is Wilshire Blvd.
6/24/17,0.167592593,Positive,0,5.0 star rating,5,"Always a pleasure coming here! Moved from Cleveland Ohio few months ago n my man Luis has always looked out! Day 1, he really took his time to make sure I got the haircut I exactly wanted or similar from back home. Needless to say I've been coming to him to get my cut since that day! He's a pleasure to talk to, easy going and a real good guy."
6/15/17,0.558888889,Positive,0,5.0 star rating,5,"Highly recommended ! I'm being the customer of this barbershop for more than a year now and I'm very happy with Steven's work, he is a very nice person and a fantastic barber ! Tuesdays are free to walk in and no need appointment, Enjoy the nice haircut ! :)"
1/12/18,0,Negative,1,2.0 star rating,2,"I wanted a cheaper barber, and got a cheap-looking cut. If your hairstyle is very simple and generic - these guys will hook you up, but if you have preferences, if you are trying to explain something - forget about it, you will walk out with a generic haircut."
11/19/17,0.249285714,Positive,0,5.0 star rating,5,My 10yrs and 6yrs old boys won't let anyone else cut their hair but this young men's. They do such a nice job specially with kids. Thank you!
1/9/18,0.425,Positive,0,5.0 star rating,5,"Steven, Rob, and the entire crew are the best barbers in LA. It's difficult to find a spot where each barber will give you a perfect fade. These guys are true professionals and have built a name for themselves for good reason."
7/25/17,0.118831169,Positive,0,1.0 star rating,1,Go somewhere else if you aren't already a regular. Used to be wonderful but I hadn't brought my kid in for a while and we were treated like shit when we tried to come back. So rude and inconsiderate. Steven knows my kid has special needs and HATES haircuts but we were still made to wait an hour after being skipped for a regular customer that came in after us. I sat and watched the most involved freaking fade in the world for 30 minutes before I got up and walked out. Really disappointed that my effort to support a young entrepreneur backfired so spectacularly. Won't make that mistake again.
1/25/17,0.451664371,Positive,0,5.0 star rating,5,"Walked in on advice of a friend. I wasn't really sure what I wanted. I just new I need a good fade and fresh look. I sat down and told Luis I trusted him. At first he was hesitant .. I assured him I knew he was a pro. ""Do what you think is best"". He took his Time gave my hair so much detail... Honestly this might be one of my best hair cuts ever!If you are in Santa Monica. And Need a hair cut stop in talk to. Luis or  Saul true professionals!"
7/21/17,0.458666667,Positive,0,5.0 star rating,5,"1st time customer, got a clean fade and beard clean up by Sal. I highly recommend. The shop has a nice atmosphere, all the guys here seem to do great work."
