Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
3/25/18,0.166666667,Positive,0,5.0 star rating,5,"I love KEITH! He is friendly, he listens to what I want to do with my hair- he really listens! And then he does it!!!!I know it sounds simple but I have long curly hair and sooooo many bad cuts by others.Keith is a dream, so glad he is back"
2/14/18,0.252886905,Positive,0,5.0 star rating,5,"I was looking for a barbershop that had more than just fades and high and tight haircuts. I wanted a decent scissor cut, nothing fancy. I found Berkeley Barbers on Yelp and decided to try Valerie based on the reviews. She was friendly and listened to what I wanted. I ended up with a perfect haircut. I'll definitely be back as a regular customer."
2/25/18,0.482,Positive,0,5.0 star rating,5,"Great, fast, cut. I showed a picture and got exactly what I wanted + some great conversation! Highly recommended."
12/11/17,-0.008333333,Negative,1,1.0 star rating,1,Went in over the weekend -- dirty stations and rushed jobs. Lots of other good barber shops in town.
10/20/17,-0.113492063,Negative,1,2.0 star rating,2,"I know there are multiple barbers at Berkeley, but the guy that cut my hair should definitely change professions. He got offended when I tried to tell him how I wanted my hair cut and when I could tell he was going in the wrong direction, he was confrontational when I asked if he knew how I wanted it to look. He absolutely butchered it, Worst haircut I've ever had hands down! I would NEVER go here again and would avoid any place that has people like this working there. Good thing about haircuts though, 3 or 4 weeks and its like it never happened."
11/1/17,0.124415584,Positive,0,1.0 star rating,1,"Valerie cut my hair. I knew I came to the right place as soon as I sat in the chair because she was very detail oriented, and asked me every step of the way when she was unsure with how I wanted something. As a result, my haircut came out just the way I wanted it to. I've always had trust issues with new barbers, but I think I found my regular.  Definitely would recommend this place."
2/8/17,0.323796296,Positive,0,5.0 star rating,5,"Great place. I've become increasingly bald so I usually just shave my head but decided to give having hair a shot again. Got a haircut and beard trim from Cat and she actually helped me feel good about having hair again... Nice work! Definitely recommend this place. Classic barbershop feel, very friendly with very reasonable prices."
3/22/17,0.321590909,Positive,0,5.0 star rating,5,"Love Valerie! I've seen her twice now, and she has done a great job both times. She is very friendly and fast. I am very particular about my hair because I have a strong cowlick, and she has cut my hair in a way that makes it lay flat. It is also only $25, which is great for WLA. I will definitely be going back!"
12/27/16,0.073333333,Positive,0,1.0 star rating,1,"I stopped by randomly a while ago, because I needed to shape up my sidecut. When I walked in, I was attended to by an older, unfriendly gentleman. Now, the total time of service was probably 2 minutes. I was charged $25. I've never paid more than $11 to trim a sidecut. Maybe it's because I'm a woman. Maybe it's because they needed to meet a quota that day. Absolute robbery."
1/15/17,0.60625,Positive,0,5.0 star rating,5,Val B. is the best! She makes my hair look even more fab than it already is! Mahalo for the great cut - I'll be back!
12/13/16,0.426041667,Positive,0,5.0 star rating,5,My boyfriend was in need of quick haircut.  No where could accommodate until we called Berkeley Barbers and Val said it would be a short wait.  We showed up and didn't have to wait at all.  She gave him a fast cut - great fade. My bf loved it! Thanks for the awesome service Val - we will be back to see you!
1/15/17,0.569166667,Positive,0,5.0 star rating,5,Val B. is awesome! Fast quick great priced cut! Thank you! Your skills and service is appreciated! You rock my world!
4/7/16,0.6375,Positive,0,4.0 star rating,4,Valerie gave my son the best haircut! She was able to do exactly what he wanted -- and was done in record time. What a great experience.
8/2/16,0.40125,Positive,0,5.0 star rating,5,Val Bentancor provided me with a quick and perfect cut! She accommodated me with little notice and did an excellent job with lining me up. Val is also very funny and laid back - which helps make a trip to the barber even better! I love the quick shoulder massage the haircut experience comes with after she shampoos your hair! I'll definitely be back because of Val!
8/31/16,0.08495671,Positive,0,5.0 star rating,5,5 stars because of Val Bentancor!  I was a little hesitant since my regular LA hair stylist was not available so thanks to Yelp! - I found Berkeley Barbers and Val! She cut my hair really fast and it was on-point.  Haircut was $25 and it came with shampooing and quick shoulder massage service.  Val made me feel comfy being with a new stylist.
7/22/16,0.41375,Positive,0,5.0 star rating,5,I had an AWESOME experience!  I needed to get my boyfriend's hair did on short notice and Valerie was able to accommodate and my god - did she do an AMAZING job! Thanks girl for the great cut and for making him look FRESH again.  You rock! We will definitely be back soon! So fast and very affordable! Thank you!
9/14/13,-0.028863636,Negative,1,5.0 star rating,5,"I was a bit nervous going to a barber shop to get a haircut, but my Yelp buddies said Leslie was a-ok.  I had to make a drastic change and cut off my long locks for a new look.  11 inches and $35 later, I donated my hair and feel great.  Thank you, I shall return.  And ladies, fear not!  You will be treated well and not ripped off like sooo many other places I've been to in the past.  Bad haircuts are the worst and I can't imagine that happening with Leslie because she really listens to her customers."
9/5/15,0.361111111,Positive,0,5.0 star rating,5,"I've been coming here for almost 2 years and have been enjoying the great hair cuts that Tracy has been giving me. Every time I walk in with a huge head of hair because I'm lazy to get a consistent cut, but Tracy always gives me a consistent cut and great conversation to make the time pass by fast.Free parking in the back, can't ask for more than that in West LA."
10/1/15,0.190925926,Positive,0,4.5 star rating,4.5,"I have been a fan for about 5 years now and have been with both Leslie and now currently Keith as my barbers and I have to give them my highest recommendation. As Leslie is no longer available at Berkeley Barbers this review will mainly pertain to Kieth. First of all a standard haircut is only $23 dollars which is completely worth it if you consider the quality of the cut, personal conversation, shampoo washing, straight razor to the neck and sometimes if time even a massage! This place is a dream and Kieth is always friendly and entertaining. He is so down to earth and easy to schedule an appointment with. I don't know if I can ever go anywhere else.Every once in awhile though, I think I will track down Leslie who operates now in the valley somewhere. :)"
11/8/15,0.475,Positive,0,4.0 star rating,4,"This place is now Angelos Barbershop or one of the locations.  I got a cut from Frank - it was great.I think Tom also did good cuts, but I went with Frank for a first try here.  Going to stick with him.angelosbarbershop.com/#!…"
2/11/15,0.049702381,Positive,0,1.0 star rating,1,"This review is strictly for Valerie as I have not tried the other barbers there , but I probably wont try after my experience with valerie.I went in with no appointment and valerie was the only one available. So I read a few reviews on here about how good she was and was sort of excited.So let me to you about my experience. The haircut lasted 5 mins. I always ask for a faux hawk with a one on the side. So valerie gave me a one on the side super fast. Then she use scissors to cut the top. The top was so choppy it was horrible. I mean if you are going be fast on a haircut I have no problem with, but at least look at the hair after you cut it."
