Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
10/23/17,0.577777778,Positive,0,5.0 star rating,5,"Keith is a great Barber - Stylist. I love his honesty, steady hand and ability to interpret what I wanted to accomplish when I came in at the end of a very hectic day.He made some great suggestions and gave me an excellent cut. Not to mention the price was amazing.Thank you and cannot wait to color my hair Sat!XOJK"
3/18/18,-0.107291667,Negative,1,1.0 star rating,1,"you would be hard pressed to find a worse barber shop in the area... and most of the barber shops here just don't cut it. i actually hate myself for even going here.if you like unprofessional receptionists, late barbers for appointments, and HAVE NEVER NEEDED TO TRIM YOUR BEARD IN YOUR LIFE, you'll love this place. BECAUSE CLEARLY, NOT ONE OF THE ""BARBERS"" IN THERE HAS EVER TRIMMED A BEARD. this place is for the fantastic sam's and supercut rejects, who cut hair because they need a check. they should close up so as not to lure any other optimistic neighbors to your pathetic excuse for a barber shop.  the rent's got to be expensive, right?*disclaimer - i just got home from being butchered there. came in with a beard the vikings would be proud of, and left looking like i trimmed my beard eyes-closed with a blindfold and my hands tied.just re-read this and i decided i dont care if i look bitter. this place legitimately sucks."
3/9/18,0,Negative,1,1.0 star rating,1,They are liar they told me on the phone price for the hair cut but when I finished the overcharged me and the lady she can't used the razor and they charged me as they did my beard the price was on the phone $25 for haircut and $10 for beard but I paid $47 at the end
1/21/18,0.037440476,Positive,0,5.0 star rating,5,"It's difficult to find a stylist that you can trust, but you just can't go wrong with Nandu. I have a thick hair, but she always manages to make it look nice. She also provides some advice on how to style it and is super friendly! If you are looking for a trustworthy stylist, I highly recommend Nandu."
1/5/18,0.334063853,Positive,0,5.0 star rating,5,"Nandu has been cutting my hair for over 5 years and is the only person I trust to give me a haircut. Nandu knows how to perfectly style my hair and does an excellent job. Even though I don't live in LA anymore, I always wait to get my hair cut when I come to visit my parents. She's also super friendly!"
12/30/17,0.216666667,Positive,0,5.0 star rating,5,I needed a haircut and I saw this place so I walked in on a whim. It wasn't busy and William was available. I've been going to the same barber for a few years so I don't know what to expect here. In the end William gave me the best fade i've ever had and I will be coming back here to see him from now on.
3/23/18,-0.325,Negative,1,1.0 star rating,1,Do not get your haircut from William! He didn't follow my simple instructions and I ended up with the worst haircut of my life. I didn't even bother having him try to fix it because I had zero confidence in him after seeing the mess he created. There are plenty of other barbershops in the area -- choose one of those instead.
1/26/18,0.714285714,Positive,0,5.0 star rating,5,Just wanted to say Nandu is an awesome hair stylist.  She listens to what I want and does a great job.  Always has some tips to make my haircut look nice and neat and stylish.  I'm glad I found her and would recommend her if you are looking for a great hair stylist.  She has always done great by me.
1/28/18,0.216666667,Positive,0,5.0 star rating,5,Ask for Nandu. I have been following her wherever she goes! She can cut long hair for men or do great fades. She also has a great personality and we always get into interesting conversation. Give her a try and you won't be disappointed.
1/15/18,-0.033503401,Negative,1,2.0 star rating,2,"Don't go here :(I went here for what has to be one of the easiest haircuts ever, other than a straight buzz. I asked for a fade with about an inch left on the top. When the guy was ""done,"" it was totally uneven. I had to point out spots where it was clearly longer than others, sticking out all over. When he touched these spots up I can't say he was exuding confidence.Upon further inspection when I got home, the left side of my head is way tighter than the right. The right looks like there's a chunk missing. I am early anticipating a few weeks from now when I can go to an actual barber and get this fixed. Semi-related: the equipment was not professional at all. He used the same clippers you or I could find next to the gloves at TJ Maxx. Not at all comparable to other barber shops in LA. Sad!"
9/26/17,0.502222222,Positive,0,5.0 star rating,5,The best barber in town hands down goes to Rita she's perfect. Fresh and clean always
6/13/17,-0.069871795,Negative,1,1.0 star rating,1,"Do not go here if you are looking for a proper barber or a fade. I just had an experience where the barbers clippers weren't working. It was pulling my hair so she put oil on it but it kept on pulling my hair. It was very uncomfortable. She then tried to fade it by hand. She told me how most barbers that go to school can't fade by hand and that she is a ""real"" barber.Then she proceeds to ask me how many barber shops I've been too which was an insult to say the least. Regardless I asked her to not touch anything else on my head. Probably the worst attempt at a fade I've ever had. It's lopsided and completely uneven. Save your time and money and go to a proper barber shop.I don't want to say anything about the other barbers there. My experience was with An older, taller, blonde haired female."
11/24/17,0,Negative,1,1.0 star rating,1,Showed very specific pictures of what I wanted and instead cut into parts I'd been purposely trying to grow out.
10/18/17,0.027777778,Positive,0,1.0 star rating,1,Nope. Move along. Most sloppy haircut I've ever had. Won't be coming back.
8/12/17,0.333333333,Positive,0,5.0 star rating,5,Ask for Keith. He is a SUPER hair stylist.
