Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
11/4/17,0.296875,Positive,0,5.0 star rating,5,Jordan is fantastic. I showed him a picture of the look I was going for & he did it with perfection! I've just moved to the Bay area & have been here for a little over a month. Jordan is my barber from now on. Perfect fade & looks sharp.
3/4/17,0.633333333,Positive,0,5.0 star rating,5,"Good cut, best price, excellent service. I'm very happy to find this diamond in the rough. Don't bother with the glitzy barbershops. They're overpriced. ASK FOR JORDAN. He is fast and thorough."
3/26/17,0.20530303,Positive,0,5.0 star rating,5,"I recently moved to Millbrae after living in the East Bay my entire life and I thought finding a barber here would be a nightmare. Luckily I stumbled upon Fine Line while on Yelp and decided to give them a shot. I haven't looked back since, Jordan has been a true blessing. I have extremely sensitive skin around my neck/beard area which could get a bit difficult for barbers to cut through without causing irritation. Jordan takes his time with his craft and has great attention to detail which leaves me looking so fresh and so clean every time. Appreciate you Jordan!"
4/29/17,0.230208333,Positive,0,4.0 star rating,4,"No frills locale barbershop, worth the trip from my area in San Mateo. Got probably one of my best fades since moving here from NY for a decent price compared to other cuts I've gotten. Got referred here by a friend and Nate hooked me up on a last minute phone call. Will most likely be coming back!"
1/29/17,0.537142857,Positive,0,5.0 star rating,5,"Good barbers, good service. I've tried so many barber shops in the city, and this is my favorite right now."
1/5/17,0.271428571,Positive,0,5.0 star rating,5,"This is a really cool spot. Really hard to find a barbershop that's affordable and does a great job. Far removed from all the yuppies in DT SF, which makes it even better. No $40.00 haircut here with a PBJ, just a straight up real barbershop that offers clean cuts. Jordan does a great job. Idk the other barber's name, but I've seen him do great work as well. Also open 7 days a week!! Hit this place up. Appointments only."
12/4/15,0.2,Positive,0,1.0 star rating,1,"Made an appointment 3 days before. I get there, and the barber is not there. Another guy walks in and turns out he's there at the same time for an appointment with the same barber.The barber double-booked us, and wasn't even there. It would be nice to have some bit of professionalism and customer respect."
9/8/16,0.266666667,Positive,0,5.0 star rating,5,My barber was Nate.  He's an up-and-coming barber.  Very polite and detailed in his work.  Highly recommended spot!
5/13/17,0.384060847,Positive,0,5.0 star rating,5,"Fine Line! Lives to the name. First time there and Jordan was a great worker and made sure every detail was right. They take care into your hair. Place is smaller than expected, but the good vibes, music, and people will have me coming a lot more"
9/1/15,0.1375,Positive,0,5.0 star rating,5,A.D's been cutting my hair. Always does a great job. He's chill too. Killing it for a young guy in the barber game.I've officially found a barber who I can just sit in the chair and leave exactly how I was expecting my hair to be.
6/12/15,0.182616487,Positive,0,5.0 star rating,5,"I work in the woods and havent had a chance to post this review but I just wanted to say, this place is run and owned by some good and genuine people. This is a shout out to my barber Nelly. My first interaction with Nelly was actually on the phone. Even though he was booked with appointments and couldn't cut my hair he went out of the way to connect me with his old barber college in Daily City. He made sure I was in good hands and I had a fantastic cut from the barber college. Fast forward several months later, I had the privilege of seeing Nelly in person. He's professional, down to earth and I have so much respect for his art. The way he trims, his dedication and how he integrates his style was apparent in my cut. Now, my hair isn't easy. I got some thick Asian hair with two hair whorls but Nelly managed to do an excellent job event though we went over time. He's a great person to get to know, very approachable, and appreciated how much dedication he put into my hair. Cutting hair is not easy and Nelly did such a fantastic job with my crazy ass hair and couldn't have asked for anything more. Thank you so much Nelly, looking forward to seeing you again. Keep doing you and your art. Peace"
8/11/16,0.694444444,Positive,0,5.0 star rating,5,Be sure to hit up Jordan! He took his time and did a great job with my hair ! Would recommend this place to anyone looking to get a clean cut !
3/4/16,0.352272727,Positive,0,5.0 star rating,5,"My barber is Pete. Great guy, does great work really takes his time to make sure you are getting the cut you want. He will even give his recommendations based on how your hair is, give you advice or show you how to overcome some kind of hair issue. He is also an entertaining guy with personality and character. I feel like the barbershop would be dull without him. Pete still keeps it professional, always answers back when I text him about appointments. When you go to fine line ask for him first."
2/2/16,0.241666667,Positive,0,5.0 star rating,5,"Took me a while to find a good barber shop in the hood.  I finally found one.  There are others but Fineline is bar none.  Friendly and professional service.  Been coming here for a while now.  All the folks at FineLine are super legit.  Pete usually hooks me up with a nice fade and taper.  Austin and A.D. are there also and cut you up with the freshness.  These cats are always busy.  Better call and make an appointment.  Without one you'll be waiting a while.  The conversation, music and cuts here are always good, can't go wrong."
12/1/14,0.201315789,Positive,0,5.0 star rating,5,I was in need of a last minute cut. Came in asked if they do walk ins and he said no but his earliest available appointment was at 4:00 and it was 12:00 so I said oh yeah I'd come back. He took my name and number and shook my hand. I was like wow very professional!Came back and he was ready. The seats are really comfortable! I was able to find out so much about the barber in only 50mins because that's how long it took. His name was Pete. Really friendly and great with clippers.I was expecting the cost to be like $25-30 but he said only $20 so it was reasonable.I would defiantly come back to Pete and the shop only because he really made me feel welcomed and comfortable.
7/26/15,0.7,Positive,0,5.0 star rating,5,No words can explain how awesome they cut hair. My barber pete has true craftsmanship when it comes to hair. He is good with scissors and sheers!!! Great guy and does a great haircut. I will be making him my permanent barber. Thanks pete!
2/26/16,0.391666667,Positive,0,4.5 star rating,4.5,"Been comin to this barbershop for the past year or so and they havent disappoint. Shoutout to my man Pete Garcia for always hooking it up with a fresh ass cut. Great barber and even better person. Much respect to you and your team, y'all got a great thing going."
4/26/15,0.451234568,Positive,0,5.0 star rating,5,"Moved back to the bay area, and I was so glad I found Pete. I have never had my fades this good. When I leave Pete over at Fine Line I feel like El Gallo Negro from blood in blood out. Chala I say. I wouldn't want to go anywhere else. So glad there's good people out there like him. His skills on the blades and his ability to make people comfortable in the chair are hands down the best!"
11/23/15,0.247727273,Positive,0,5.0 star rating,5,"Best barber place I've been to so far. Pete was my barber and he gave me exactly what I was looking for. I could tell he put lots of time and effort into my cut. Definitely coming back again, my new go to barber."
9/11/15,-0.034722222,Negative,1,5.0 star rating,5,This place is legit. First time here and Pete hooked it up! Super chill dude that takes his time in cutting your hair!
