Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
3/9/18,0.325,Positive,0,5.0 star rating,5,I have been going here for just over a year now. Have found few shops and people that can not just cut my hair but my two sons. I look for convenience but quality and Fresh Cuts And Omar are that for me! He is able to get me in most the times I need and gives 3 of us quality cuts!
3/8/18,-0.001491228,Negative,1,1.0 star rating,1,"I made an appointment with Omar.  When I arrived, he was finishing up a client.  When it was my turn, I showed him a picture of the haircut I want.  A conservative haircut, short on the sides but leaving enough length on the top to comb back.  Think Humphrey Bogart, James Cagney, or Brad Pitt in Inglorious Basterds.  I'm a middle aged man and I like looking my age.I asked him, ""Can you do this?  Short on the sides, just a trim off the top"".  He shook his head and said,""yeah, yeah. Trim off the top"".I sat in the chair and started to talk about sports.  I realized that he wasn't talking back because he was texting on his phone while cutting my hair. I kid you not.  He even made a call while cutting my hair.Then I realized that I couldn't see the mirror from where I was seated.When he finally finished and showed me the mirror, he chopped off 5 inches off the top, leaving me with only less than 1 inch of hair.  The back of my head had something called ""a high taper fade"".  I never heard of such a thing and I definitely didn't ask for it.  I just wanted it short, instead I see skin nearly to the top of my skull.I paid and got out of there before I let my anger get the best of me.  I would have complained to the shop manager only I don't think there is one.  It wasn't until I got home and looked in the mirror that I realized that he nearly gave me the same haircut as the client before me.  This only leads me to believe that he can only do one type of haircut.So, I'm going to wear a hat for the next several weeks because I'm stuck with a haircut I hate until it grows out. Now I cannot speak of the other barbers, their reviews look solid.  But a lot has to be said about a shop who keeps this guy around judging from the other Yelp reviews (which I should have read before coming).Nothing is worse than a barber who doesn't listen to his clients."
3/11/18,0.1625,Positive,0,1.0 star rating,1,"If you're gonna take appointments, keep them. Delay is ok but cancelling is not cool."
3/9/18,0.2,Positive,0,5.0 star rating,5,Last second haircut for a wedding Omar saved me did a great job too will be coming back forsure.
11/25/17,0.019002268,Positive,0,1.0 star rating,1,"Barber: OmarService: FHaircut: FOverall Grade: F       Customer service: Omar has zero phone etiquette. Grunting words like ""huh"" ""uh"" ""coo"" and ""yup"" he's not very welcoming in person either. Didn't acknowledge my presence. He looked right at me when I came in but didn't greet me or say anything. He was late on our set appointment by 15 minutes and when I finally made my way to the barber chair I seen his eyes were blood shot red and it all this made sense. While he was cutting my hair he was pre occupied with his phone. Kept taking breaks to check his phone and text without giving me any notice. Haircut: haircut was not up to par. I've had way better haircuts at other shops. He went way too high with my fade and the shear work is below average. He left the top uneven. I was unhappy with the final product. If I'm dropping $30 plus a tip I want my barber to be engaged, and trying to do a good job not high and smelling like weed, Omar seems to be disengaged with his profession. He is more focused on his phone. I work hard for my money and I feel like maybe he should too. Crazy to think this guy was at his job lol."
8/29/17,0.261979167,Positive,0,5.0 star rating,5,"Pete is my go to here but all of the  barbers here give excellent cuts. As usual, it's an appointment culture here, very hard to get a walk in. Pete takes care of me almost all of the time. He's efficient and gives a quality cut. Besides giving a good cut he usually keeps a good conversation, which I believe is an underrated component of getting your haircut. If your going to sit in the chair for at least 30 min you should be having a good time while your there!"
1/6/18,0.375,Positive,0,5.0 star rating,5,5 star for omar of fresh cuts... salute and respect for you bruhdaah!
9/4/17,0.548148148,Positive,0,5.0 star rating,5,"Have been going here for over a year and have never been let down by Pete. He is always accommodating, punctual and does a great job. Best barber in town to get a cut from!"
1/4/17,0.152083333,Positive,0,4.0 star rating,4,"Unless you have an appointment, don't bother coming in. These guys are booked throughout the week. The atmosphere is that of a brotherhood, everyone is super chill. I'd recommend this place to anyone who is looking for a detailed cut, by barbers that care about their profession. Still one of the only 2 shops I would go to in SF. 4 stars because of the of barbers flaked on me even though we made an appointment via text. Ended up getting cut by one of the other barbers."
5/24/16,0.20971917,Positive,0,5.0 star rating,5,"Neli is an amazing barber! He really takes care of you, is fair, and incredibly honest. I hit him up because my coworker had this amazing, clean fade that Neli did and I was like, ""Hey man, who does your hair? Hook me up."" You will not believe how many people have complimented me on my hair these past two days, it is ridiculous. I've also been called brave which is hilarious. That aside, Neli scheduled me at the end of all his other appointments because he knew going from normal female hair length to shorter than some men's hair was going to be a challenge. Straight off the bat I could tell I was dealing with someone who not only understood customer service, but actually gave a shit about me. He told me about all the research and advice he acquired to make sure I would be happy with my cut. He took his time and my hair looks sick. I don't recommend him to any woman who wants to take the plunge into near baldness (because this was a very long process and cutting female hairstyles is not his forte), but if your hair is already boyish short or you just want to add an undercut/fade definitely go to Neli. He really cares about his craft and about his customers. Honesty and kindness are the only traits I look for when I pay for a service and he treated me with utmost respect from the moment we connected to the moment I stepped out the door. PS: When I told him the haircut that I wanted, he referred me to a friend of his who might be able to get my hair done perfectly. WHO DOES THAT? I've had so many people compete for business that they will chop my hair into a mess before letting someone else do it. But when she declined due to logistical barriers, he agreed to cut my hair and did an amazing job. PRO TIP: So many people tried to walk-in during my haircut. Always make an appointment, these guys are busy. Plan a week in advance so they can fit you in."
