Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
4/4/2018,0.3322222222222223,Positive,0,5.0 star rating,5.0 ,"I started going to Kevin about a year ago and haven't had any issues with him cutting my hair since. If you got any questions or don't really know how you want your hair cut, just talk to him and he'd be more than happy to help you out with that. I have referred a couple of my friends to him and they have all had a great experience. He responds to you very quickly and makes it easy to set up an appointment with him and even willing to see you the same day, if time permits. Overall, Great cuts, professional, and a really nice guy. If you need a haircut and you are around Irvine he is definitely worth visiting for a clean cut."
3/29/2018,-0.23333333333333328,Negative,1,1.0 star rating,1.0 ,Tried contacting multiple times at different hours to set up an appointment to no avail. Bad customer service.
6/23/2017,0.465,Positive,0,5.0 star rating,5.0 ,"Kevin does amazing work, I've gone multiple times now for my haircuts , color and highlights and he does an amazing job, I've referred many of my family members as his work is outstanding !"
12/22/2017,0.22048611111111116,Positive,0,3.0 star rating,3.0 ,"Before you come here.Kevin is a really nice guy and I'm sure he's a capable stylist. However, when I got my hair cut here he cut one side of my top hair way to far up and left the other top side super long. I guess he was trying to give me the ""comb-over style"" but it's taken me about a month to regrow that length of hair. I prefer the hair to fall down but he just went with the buzzer from bottom all the way up if that make sense. I said not to touch the length and just the sides but I guess he misunderstood. Again very polite guy. If you want that kind of haircut (comb-over) go for it. Maybe he's good at other styles not sure. Just not what I wanted/expected from the reviews."
7/11/2017,0.3223809523809523,Positive,0,5.0 star rating,5.0 ,"This review is for KEVIN. Kevin is the absolute best- when the Haircutters closed in the same center, Kevin was hired by Interfashion and I'm so glad he is there! I've gotten to know Kevin over the past several years and he is just a great guy, always does a great job with my hair every time. When I took another job in another county, I STILL drove to Irvine for a haircut because Kevin is that good, and reliable. Super friendly, and very professional."
10/24/2016,0.20867965367965366,Positive,0,5.0 star rating,5.0 ,"As a male UCI student, I first went to Kevin in 2010 and continue to return to him for his skill, efficiency, and flexibility. He listens to each person's requests and consistently provides quality haircuts. He is easy to get in contact with to set up an appointment and will always find a way to accommodate your availability. I have referred multiple other males to Kevin and they have all been very satisfied with the results. I highly recommend Kevin's services if you are a male looking for a friendly, affordable, and stylish haircut experience. Regarding female hair services, I have also brought my girlfriend to Kevin for styling and hair coloring (hombre). The process was quick and the results exceeded expectations. Furthermore, we were prepared to pay a hefty fee but were delighted with how surprisingly reasonable his prices were for such a skillful job. As women's haircuts and coloring generally require large financial and personal investments, be sure to put your trust in Kevin's hands to guarantee that your requests are done correctly by a professional."
8/27/2016,0.3539102564102564,Positive,0,5.0 star rating,5.0 ,I was looking for a place close to home to blow dry and flat iron my hair for a wedding. I found Kevin on Yelp and decided to give it a try. He was very nice on the phone and set an appointment for me. When I arrived I didn't have to wait too long to see him and he did a wonderful job with my hair. I left looking exactly how I expected and was very happy with the result! Even the ladies next to me complemented my hair after Kevin finished his job. I plan to come back for some highlights soon! Very pleased! :D
10/4/2016,0.4202380952380953,Positive,0,5.0 star rating,5.0 ,"As a 3rd year student at UC Irvine, I have been getting my haircut by Kevin for almost 3 years. Till this day, I can never be more satisfied when Kevin cuts my hair. What makes Kevin an excellent hair stylist?-He has skills. With over 10 years of experience, Kevin is a professional in styling hair, and knows which haircut suits me. He has everything at the touch of his hands to give you the look that you want.-He is consistent. My haircuts from Kevin has never changed because he remembers his clients and what they want.-He is trusted- With many clients always coming back, Kevin makes sure that he does not disappoint you. You can trust him because he knows what is better suited for you.-He is professional. Not only do you get a great haircut every time, but you also enjoy Kevin's friendly conversations that in a way gives you a break from your day.I have been getting my haircut by Kevin for 3 years, and he definitely makes me look good. When I look good, I feel good, and I do good. =)"
11/10/2016,0.35970899470899476,Positive,0,4.0 star rating,4.0 ,Great haircut for a very reasonable price. I showed up a bit early but he was still able to see me right away. The haircut was quick and clean; no complaints! I'll gladly go here again in the future.
11/17/2016,0.175,Positive,0,5.0 star rating,5.0 ,Kevin will cut your hair EXACTLY the way you want it. Thank you so much for being the first stylist to actual listen to me and cut my hair the way I want it!
9/6/2017,0.5885416666666667,Positive,0,5.0 star rating,5.0 ,"Kevin has great technique, attention to detail, and a friendly demeanor. He doesn't just go through the motions, but really thinks about how to bring out the best in your hair and offers great suggestions. It was easy to schedule a haircut and I was very happy with the result."
10/12/2016,0.33375000000000005,Positive,0,5.0 star rating,5.0 ,"Amazing hair cut every time. Kevin is always a pleasure to go to. Not only is he always flexible with my schedule, Kevin is fast, accurate, and friendly. Thank you Kevin!"
6/2/2017,0.2695,Positive,0,4.0 star rating,4.0 ,"My first time going to him. He's nice and very attentive to what you want. My hair cut came out looking awesome. The only thing i wished was that he used a heat protectant spray before blow drying my hair, which is what other hair stylists have done in the past for me. That would be the only con. Overall, had a good experience."
10/19/2016,0.20583333333333334,Positive,0,5.0 star rating,5.0 ,"I highly recommend Kevin, he is Amazing. Nobody can cut my hair, expect my aunt living in Denver. When I moved to California, I tried a hair cut at a salon where is near Da Lat supermarket, and you know, my hair was terrible. After that, I was looking for a hairstylist on Yelp, I found Kevin. He cut my hair, change my hair's color, and talked to me friendly. I must to say this is the best haircut that I have ever gotten. Try that!"
12/30/2016,0.0,Negative,1,5.0 star rating,5.0 ,I've been getting my hair cut and dyed by Kevin since I was a second year in college........it has been 7 years and I don't know what I would do without him! He has kept my hair conditioned and well-kept! He always makes time for you and is flexible with scheduling and he never disappoints!!!!! Thank you Kevin!
9/20/2016,0.09126984126984126,Positive,0,5.0 star rating,5.0 ,"If you are going to go to this place, you can always depend on Kevin to give you a haircut. I have been getting a haircut from Kevin for one year and he never goes wrong. When you want a specific haircut, he double checks with you if you want that haircut or something different. Also, when setting an appointment, he always replies quickly and ensures you get what you want. He also recommends and gives you an unbiased opinion on what would be the best for you. He never lets you down!"
7/5/2016,0.4616666666666667,Positive,0,5.0 star rating,5.0 ,I've been going to Kevin since 2010 and no one else has cut my hair since. Appointments with Kevin are easy to make and he is consistent and my wife is always impressed when i come home with a fresh cut from Kevin. He takes pride in his skill and also the equipment he uses as well!  Highly recommended!!
7/5/2016,-0.16666666666666666,Negative,1,4.5 star rating,4.5 ,"I've been going to Kevin for years and have never been disappointed. He's reliable, consistent, and takes appointments by text. I can't recommend him enough."
