Date,SentimentScore,Sentiment,SentimentNum,StarRating,Review
4/8/18,0.464444444,Positive,0,5.0 star rating,Amber and the staff are great. Easy going place. Highly recommended to anyone in the area
4/9/18,0.396428571,Positive,0,5.0 star rating,Mike is the man.  I've been going to him for years now and he always gets it right.   Could not ask for better service. Good old school barber shop.
3/31/18,0.4375,Positive,0,5.0 star rating,Even my beard was giddy to get its first trim! Zach did a great job. Very chill spot.
4/7/18,0.472820513,Positive,0,5.0 star rating,This place is amazing! We were greeted immediately by Greg and he was so engaging and charismatic. Loved the feel of the place and the look. This place is super rad and the staff and customer service was even more rad! They are mostly appt only but we came in as a walk in to check it out and they made an exception and took my boyfriend as a walk in. Very professional and inviting and friendly. Service and experience was super awesome! Would recommend anyone and everyone to come here! :)
3/2/18,0.091666667,Positive,0,5.0 star rating,If you're looking for a quality cut this is the place to be. Mikes been cutting my hair since this place has opened and I'm NEVER disappointed. If I can give more stars I would.
1/24/18,0.21875,Positive,0,5.0 star rating,I used to have a basic hair cut until I came to Harbor Barber.  Cool hip spot with lots of character.  Armando is the guy to ask for when getting your hair and beard trim.  Yes they trim beards. Need to make my appointment tomorrow!
2/24/18,0.414713542,Positive,0,5.0 star rating,"After many years of eating (beer) at the corner establishment, my BF finally decided to get his hair cut here.  His first comment, "" they gave me a beer while I waited."" Score!!!  then, they fixed his inadvertent mullet he was getting at a cheap chain establishment for years.  Two thumbs up from him and his happy GF!!"
10/6/17,0.491666667,Positive,0,5.0 star rating,Happy to say this place rocks! An old school joint where you can get a cut and shave with a beer in hand. Friendly service and family oriented as well. I'm so thankful to have a spot like this in my neighborhood.
2/6/18,-0.073660714,Negative,1,5.0 star rating,"These guys are awesome and treat you right. I just moved away and I'm really sad about it, but while I went there, it was a pleasure. I'm a bit sad that they raised their prices quite a bit. Now we have guys paying the same girls pay for their cuts. I decided to let my hair grow just so I can save some money. Other than that, I'd be spending $70 a month on average on just cutting my hair."
3/18/18,0.17375,Positive,0,5.0 star rating,"Went to Harbor Barber for the first time the other day, told myself I'd never go into another barber shop from constant bad experiences but these guys changed my mind, Greg cut my hair exactly how I wanted it and gave me the best haircut if had in a long time, they are very friendly and know how to cut hair, will be back for sure!"
1/9/18,0.35,Positive,0,5.0 star rating,Amazing barbershop with amazing talented  barbers. Going for a Beard cut is scary but at harbor Barber they know beards as well as cuts
9/29/17,0.347222222,Positive,0,5.0 star rating,"I've been looking for a barber since I moved to Huntington. It took me a few tries at other shops, but this place is great. Great atmosphere, fun and talented barbers, and a beer if you'd like.Bob is my guy - I'll go to him as long as I can. Very happy with the service here."
6/10/17,0.354285714,Positive,0,3.0 star rating,"So this happened today... there is a first time for everything right? My fiancé has a good buzz right now, so it's funny. I can't promise what he will think tomorrow."
11/29/17,0.061111111,Positive,0,3.0 star rating,"This barber is overall amazing, the style and vibes they give off. Unfortunately every place has an unreliable person. When someone makes an appointment for 9am and your barber says if you can be here early like 8:45 you better be their at 8:30 or they will give your 9am appointment away (I showed up at 8:50). Disappointed in you Mike, I though you'd be amazing because we share the same name. I'll be back to this barber shop just won't make an appointment with Mike."
