Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
10/3/17,0.096428571,Positive,0,5.0 star rating,5,Dennis was meticulous and did a great jobGreat price for a great haircut. Thank goodness there is still a barbershop like this. Sick of overpaying for a lousy haircut at some fru fru hair salon.I found my go to spot
3/19/18,0.366005291,Positive,0,5.0 star rating,5,Lalo hooked me up with fresh cut today. Clean fade with a straight razor for a nice finish. I was able to walk in and got service right away. 21 bucks plus 10 for tip. ALWAYS leave a decent tip for good work! If i lived in the area I would come back.
3/3/18,0.336111111,Positive,0,5.0 star rating,5,Chino's been hooking up the best fades in Santa Monica for years. I've been going to him for 20+...Now I take my 3 sons to the shop with me..Cant go wrong with any barber there ask Eli or Joslyn...Hands down best Shop in town!!
9/16/17,0.313444444,Positive,0,5.0 star rating,5,"Lincoln Barbers is the quintessential, old school shop that has expert barbers who are dedicated, talented and professional at their trade! Very clean and inviting, Lincoln Barbers has a loyal following of men and their kids who pack the place almost all of the time. They have renovated barber chairs and the staff keeps the place immaculate!All of the barbers are excellent and their prices are remarkably reasonable given the gentrification that has taken place in that part of Santa Monica. They always have sports on the television with magazines for reading as well when waiting. They also have a drinking fountain and the barbers are precision cutters who have the talent to keep the line moving and the wait fairly short when you consider the volume of heads!Today I arrived at closing and they were nice enough to let me in and get a quick cut. Lincoln Barbers value their customers and they are rewarded with loyalty as they have many regulars!Lincoln Barbers is a 5-Star quality establishment that will quickly earn your business and loyalty. I can't say enough about this place!"
1/30/18,0.025555556,Positive,0,5.0 star rating,5,"Really solid, inexpensive, low key neighborhood spot. I went in with a mop full of ridiculously curly hair and an unclear vision of what I wanted it to look like. They were able to see me immediately on a weekday afternoon and Eli worked some serious magic on it. The only thing to keep in mind is that it's cash only, but that definitely helps to keep their prices as reasonable as they are. Ill be going back to Lincoln for the foreseeable future."
8/11/17,0.30625,Positive,0,5.0 star rating,5,They were nearby so I went for it. Walked in they were welcoming but serious about the craft. My hair is pretty easy; zero all the way. My dude used the soft brushes and stuff yeah!Then he finished with the straight edge and warm shaving cream. Now I gotta shave the rest of my face :) good times
7/16/17,0.311904762,Positive,0,5.0 star rating,5,Soto did an absolutely amazing job with my fade with a hard part. He actually recommended something other than what I asked for and I am so glad I trusted him. He did a great job and everyone's been noticing how good the haircut was. Fully recommend Soto - as well as making an appointment.
8/22/16,0.01875,Positive,0,4.0 star rating,4,"I always feel anxious about going to barber shops, but I was really surprised and delighted by Lincoln Barbers. I feel like the girl cutting my hair really cared and paid attention to detail. The haircut was only $18, cash only, and they're conveniently open on Sundays."
1/24/17,0.65,Positive,0,5.0 star rating,5,I love this place! My man Chino is always doing a great job! Appointments only! Be sure to get with chino! He ALWAYS does a great job!
9/10/17,0.25625,Positive,0,5.0 star rating,5,Quick service! I had a hard time finding a barber near my home. Jasmine did a great job with my son's haircut.
