Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
12/29/17,0.26462585,Positive,0,5.0 star rating,5,"Excellent service, clean , modern salon. Love it!Not expensive, they asked the right questions . My son will come back."
2/14/18,0.051313131,Positive,0,1.0 star rating,1,"I was exited to get my beard shape and trim at this place but the barber with full of tattoos  was a little rude, no personality at all, I asked him to shape my beard, he said trust me ! Well I did, and I end up with a fuck up beard that took me long time to growth, he gave me a scotch terrier look, with one mustache longer then the  other one. Ruined my haircut because he gave me a cholo lines on my sideburn. I had to have a new haircut and beard trim again. I don't understand why barbers in town has so poor attitude and skills.they act worse that a gay diva hair stylist ! Well at least those bitches made their job good. I will never come back to that place. If you are happy with number 1 at side and 3 on the top of your head that is the place for you."
1/21/18,0.15719697,Positive,0,4.0 star rating,4,"The website states that each $30 haircut comes with a hot lathered-straight razor trip around the ears and back of the neck and any little extra that might need some attention (ears, eyebrows,). I came to treat my 13 year old son to that...a real barbershop experience. I was disappointed that it was not even mentioned. It was our first time here and based on reviews, I had wanted to bring him in for awhile. While I love the cut, perfect fade and so clean looking I feel $30 plus a $5 tip is pricey for a haircut."
8/20/17,0.440805785,Positive,0,5.0 star rating,5,Visited Logan Bros with my family to get haircuts for the boys. My husband said it was the best cut and experience he had ever had and appreciated the time Nate took in detail. Kevin did a great job on my oldest son and was helpful in talking about the products he used. We have two little ones and the whole shop was kind and patient with all of us. The shop has a great vibe and great overall aesthetic. I would say we found our new favorite barber shop.
10/8/17,0.541666667,Positive,0,5.0 star rating,5,Dropped by for a clean cut.  Met graciously by my barber and offered a drink. Great music on a Sunday and a better haircut. Kids and family enjoyed it.
10/16/17,0.316666667,Positive,0,5.0 star rating,5,"Literally the best haircut I've ever gotten. I came straight from the beach, stopped by while walking past; I had no shoes, no shirt, but I still got service. 10/10 would shave again"
5/21/17,0.161111111,Positive,0,5.0 star rating,5,"I have never given a yelp review in my life, but the cut Kevin gave me was worth the praise.I've been to every shop in OC basically in my two years of living down here, and I'm glad I finally found someone who knew what they were doing. Go out of your way to get a cut from him, you won't regret it....also the shop is immaculate and location is 10/10"
3/18/17,0.322222222,Positive,0,5.0 star rating,5,I took my one year old for his first haircut. Kevin  is fantastic! He had a lot patience and great hair cutting skills. He also has great shop talk. He did great job with my son. After I got a head shave and a hot towel shave. I would definitely recommend this place and Kevin to cut ur hair.
8/4/17,0.17630854,Positive,0,5.0 star rating,5,"Was needing a haircut badly and walked into Logan Bros. Kevin was fantastic. Suggested parting my hair a different way because the hair laid better. Gave me a fresh new haircut and new look. Love it. Look younger and feel fresh and clean. Thank you Kevin. If in town, go in with confidence to get your hair cut well."
7/1/17,0.335714286,Positive,0,5.0 star rating,5,"My son loves barbers since a kid we have been traveling around getting our hair cut. Today we had a great day with Nate ""the broken hand barber"" great fade and cut on my son.  But his terrible boxing skills prevented him from using the straight blade.  So mark "" the magician"". Stepped in for strait blade magic.    Both great barbers and your in for a great quality cut.  Sports clips is . This place is the ticket for a great day outing with your son . You can grab a cold brew and enjoy.    Big shout out to Nate and Mark.  Mark is now called the magician because I watch him transform jaba the hut into a backstreet boy.    Great day , great hair barbershop ."
6/9/17,0.4,Positive,0,5.0 star rating,5,Love this place! Staff is really mellow and def a fun place to come get a haircut/beard trim/shave!
8/25/17,0.75,Positive,0,5.0 star rating,5,"Kevin gave me an awesome haircut today and shave, PLUS a beer! What more can you want?"
