Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
1/24/18,0.526530612,Positive,0,5.0 star rating,5,"I think I've finally found THE best place in OC to get my hair cut!  Finally!  Awesome cut, awesome experience. Normally it takes going to a hair stylist for a while to get it right-- nailed it on my first visit."
11/4/17,0.102083333,Positive,0,5.0 star rating,5,"Yelena is all heart and skill, a true professional. If you'd like to be treated like a person and not a number, this is the place to go. Yelena will style your hair the way you want, and you won't get the hard sell on product. She creates an environment that is relaxing and truly first class. She loves what she does and it shows."
10/14/17,0.324125,Positive,0,5.0 star rating,5,I've been a client with Yelena for almost 12 years and can't imagine going to anyone else.  She's great at what she does and is very professional.  She's busy and I highly recommend booking appointments in advance.  It's what I do!  Thanks Yelena!!!
9/9/17,0.328021978,Positive,0,5.0 star rating,5,"A-M-A-Z-I-N-GThis place is simply amazing, Yelena is incredible talented, passionate about her business and an incredible human being. I discovered Yelena last year and since then I don't let anybody to cut my hair. She gives an ultimate upscale 5 stars attention to her clients from the moment you walk in to the moment you leave. She's simple a ROCK STAR!!!!!!!!!!! she's smart and her skills are out of this world. I always say: Once Yelena, you can't leave her. If I could give her more than 5 stars I would totally do it. She deserves more than that."
6/17/17,0.539777778,Positive,0,5.0 star rating,5,"I have been one of Yelena's clients for over 5 years. I am happy every time. Yelena takes the time to understand what look I'm going for and comfortable with. She offers great suggestions. Also, she is reliable and on schedule, as well as a great person with a fantastic sense of humor. I very highly recommend if you want to look your best and work with a true pro."
5/23/17,0.5,Positive,0,5.0 star rating,5,"Best hair cut you can get! Professional, attentive and personalized service. Once you give Yalena a chance you will not need another stylist again."
5/6/17,0.325,Positive,0,5.0 star rating,5,First visitors. We made it a family event.  My son and I got the royal treatment.  He had a juice box and string cheese while he waited.  The space is well decorated (restoration hardware). The stylist  was fantastic.
4/27/17,0.1375,Positive,0,5.0 star rating,5,Yelena has been my stylist for nearly a decade.  She is a true professional and is someone who cares deeply about what she does.
4/10/17,0.370238095,Positive,0,5.0 star rating,5,"Like many others I discovered Yelena at her previous salon years ago.  It's a testament to her skill and personality that virtually all of her appointments were from regular customers and not walk-ins.  She has passion for what she does and it comes through in the personal attention she gives her clients.  I am so happy for her that she made the leap of faith to open her own space, and did such a great job of making it a well decorated and comfortable place.  I love the way my hair looks when she works her magic, she knows exactly how to make it look it's best. I wouldn't go anywhere else."
4/5/17,0.393333333,Positive,0,5.0 star rating,5,"I've been going to Yelena for years and she's one of the best in the business. She is very, very good at what she does. No kidding: I had a professional hair & make-up artist comment on my hair cut recently and point out how well it was done. She's a first class professional."
3/9/17,0.314718615,Positive,0,5.0 star rating,5,"Yelena is the best in the business. I've been with her for almost fifteen years and every cut has been fantastic. As a stylist she is unmatched but over the years she has become an invaluable friend as well. The new Made Man Salon offers a relaxed, classic and comfortable atmosphere. I can't recommend it highly enough."
3/4/17,0.299444444,Positive,0,5.0 star rating,5,"Yelena is the best hair stylist I've found after searching and trying many barbers, stylists, and salons throughout OC.  That's why I've been coming to her for the last 7 years.Her skill is second to none and her service is always top notch.  She puts her clients first on everything she does.  From hairstyle, to scheduling, and down to the very chair you sit on.If you are looking for someone to make you look good, there's no need to search any further."
3/3/17,0.450616883,Positive,0,5.0 star rating,5,"I've been in Orange County for 7 years now and I've never gotten better service from anyone in the whole county.The first time Yelena saw me, she asked me about how I wanted to present myself to the people who are going to care about how I look (by way of conversation).  When I came out of there, I got compliments from everyone at work, at home, from my family, etc.The best part about it is that I never had to tell her how I wanted things.  She suggests what she knows will look good and I just say yes or no.  I knew right away she is a master craftswoman.I've been going to Yelena ever since and I refuse to see anyone else.  I'm so happy she struck out on her own.  Her new place is swanky!"
3/3/17,0.36,Positive,0,5.0 star rating,5,"Yelena has my complete trust when styling my hair. I have been going to her for several years now and have always received great haircuts from her.She is the 'hair whisperer' as her knowledge of all things hair is truly incredible. She also helps with hair loss issues, color, etc.And, the ear and nose waxing is a must.Yelena sets the standard that all stylists should aim for. She gets a 10+ from me."
2/28/17,0.398705357,Positive,0,5.0 star rating,5,I've been going to Yelena since I first moved to California 4 years ago and couldn't fathom having another stylist cut my hair again. Yelena's not only a master of her craft but she has the personality to match. The world would be a better place if there were more people like her in it! She recently opened up her own salon in Tustin (which is totally unique and comfortable) and I highly suggest you give her a shot she's 100% worth it. She has me feeling like I'm hot stuff everytime I walk out her door!! Lifetime customer for sure... Congratulations Yelena!! You are the absolute best!
2/22/17,0.178787879,Positive,0,5.0 star rating,5,"I have been going to Yelena for years and her new salon is awesome, she's a master when it comes to cutting your hair and customer service."
2/19/17,0.481385281,Positive,0,5.0 star rating,5,Yelena is the best! I love the new location. Super comfortable and welcoming environment. Yelena always makes me feel so at ease while she cuts my hair. I've trusted Yelena for years now and will continue to do so for many more.
2/12/17,0.290952381,Positive,0,5.0 star rating,5,"Yelena doesn't just cut hair, she treats everyone's hair like a piece of art. She takes her time asking your preferences while listening very carefully, and then follows through with surgical precision. She uses the best equipment and highest end products. Her barber chair is hand made with the finest leather and stitching, not your typical basic vinyl chair that you can't wait to get out of. You will sink into comfort and luxury while enjoying the best half hour of your day. Go treat yourself, you will see the  difference immediately."
2/12/17,0.010416667,Positive,0,5.0 star rating,5,"Yelena has been my go to stylist for many years, she always delivers exactly what I'm looking for! If you have difficult to manage hair and need an expert to tame it, she's the one to do it!"
2/7/17,0.47,Positive,0,5.0 star rating,5,Yelena is awesome!!!!!!! Such a great master at her craft. I would highly recommend her. I walk out of that seat so happy every time. Her place has such an awesome man cave feeling. Definitely a lifetime customer.
2/4/17,0.306168831,Positive,0,5.0 star rating,5,"I have been going to Yelena for 2 years now, and can honestly say I couldn't be happier and won't be switching anytime soon. I followed her from her previous salon to her new suite and all I can say is... WOW! It's elegant but comfortable, clean but with character, classy without being aloof. She truly cares about her clients and works tirelessly to make sure you have a fantastic experience each and every time. I've changed by hairstyle several times while seeing Yelena and she does a fantastic job (that earns me compliments!) every time! I couldn't recommend her more highly!"
