Date,SentimentScore,Sentiment,SentimentNum,StarRating,Review
3/21/18,0.440340909,Positive,0,5.0 star rating,"Cody did a great job. It was my first time and I needed a new barber. Cody, if you can find Toppik for hair let me know, I'd buy from you! Thanks again, love the haircut and ambience of this place! 5 Stars!"
2/27/18,0.480952381,Positive,0,5.0 star rating,Great place when you need to be looking your best. My son will only go here for his cut and clean ups. Overall the best legit barber in the area. Highly recommend!
12/13/17,0.216666667,Positive,0,5.0 star rating,This an old fashioned yet hip style men's barber shop.Mike is super friendly.And knowldegable.knows every style.
12/30/17,0.55,Positive,0,5.0 star rating,Great owner. Great cuts. True barbershop. They have Playboy magazines. Enough said. Great spot for a cut.
5/13/17,0.75,Positive,0,4.0 star rating,My three boys all come here for their gentlemen haircut. They love it here. Great customer service!
1/26/17,0.6325,Positive,0,5.0 star rating,"Walked by this shop and popped in to see if they could do a women's undercut with a design, and they happily obliged. Mike and Cody did an awesome job and were both very friendly and funny. I absolutely love my hair!"
12/13/16,0.293027211,Positive,0,5.0 star rating,"Best..haircut..ever! It's wild how noticeably better of a haircut I received from Mike at Main Street than I've been receiving from my regular barber, and I thought my regular barber always did a great job. Excellent fade work right into my beard, and the hard point is spot on. I had just trimmed my beard this morning, and thought I did a decent job of it :/ Mike finished what I started and it made a world of a difference. Guess I should leave it to the pros. Excellent work guys I'll be back for sure!"
11/14/16,0.083273359,Positive,0,1.0 star rating,"Are you looking for a drunk to cut you hair really really fast while not paying attention? Are you looking for a place to pay extra for a beard trim and for them to completely mess up your facial hair? Or how about being talked down to and being told to shut up or he'll shave you mustache off? Or maybe you're interested in hearing how high this guy was last night and how he thinks he might STILL be high? Well if you are looking for all that and more, this is the place for you! There's a reason this place never has a wait! Do yourself a favor and drive to Sunset Beach and go to Harbor Barber!"
7/29/15,-0.043181818,Negative,1,1.0 star rating,"Terrible Experience! I came here because my barber, Luis, who works at another shop now, couldn't see me but I needed a cut fast for an event.  When I came back I told Mike that Luis couldn't see me and when I asked if he could fit me in he goes off on me for coming to him because I couldn't see Luis. I then left and said I can go somewhere else. To this, Mike replied ""I don't give a f**k"" and I said as I left ""goodbye"". Mike then storms out of the store and berated me saying ""What did you say? What did you say?"" as I was leaving.  I remembered why I was so excited to see Luis at his new shop because Mike makes clients uncomfortable. EDIT: after the harassment I recieved online from Mike I'm downgrading my review to one star."
9/15/17,0.433333333,Positive,0,5.0 star rating,"Best hair cut! $20 for a regular men's cut. Mike is fantastic. A talented barber, businessman and entertaining guy. I'm now a regular. He offered me lunch. I just eat so I passed."
10/21/16,0.364772727,Positive,0,5.0 star rating,"I've been coming here for 5 years. Mike is friends with anyone that sits in his chair. This is what separates a barbershop from anything else. Add to the friendly service, great attitude of Mike and the cool memorabilia adorning the walls, the most important thing here is that Mike has the gift! Best fade you'll ever find and absolute precision on the cut. I can't even believe it took me this long to review this place! Today my 2 year old son got his first haircut in the same chair I've been coming to since before he was born. Mike is the man!"
9/29/16,0.746428571,Positive,0,5.0 star rating,Mike and his shop are the best in SoCal. In a word - awesome. I moved an hour away about a year ago and still drive to Seal Beach to get my hair cut. LA traffic? For a haircut? That's right. Boom. Mic dropped. It's that good.
4/16/16,0.316666667,Positive,0,5.0 star rating,I've come to this barbershop on and off for a couple of years.  I had a barber I really clicked with that moved away a couple years ago.  He was great.  Meticulous and really paid attn to detail without a heavy hand.  Today was Max's first day at the barbershop.  I this cut and shave are exactly what I was looking for and Max has great technique!  I haven't been so happy with the results in months and I really enjoyed meeting him.Max definitely goes the extra step!  I'd recommend him and I will definitely go back to him!
1/20/16,0.061979167,Positive,0,5.0 star rating,Strolled in a little over a year ago for a clean up and 2 things keep me coming back:The environment. It's a classic barber shop where everyone is at home sitting back with a cold beverage while shooting the breeze.Attention to detail. Mike and his barbers provide an impeccable grooming experience because their knowledge and recommendations are tailored to each individual customer. Unlike big chain haircutting businesses where you are just another transaction.
8/10/16,0.203787879,Positive,0,4.0 star rating,"I've only been there a couple of times, but so far so good.  They really do a good job.  I'm very picky about cutting my hair and have been through numerous barbers looking for a good barber.  They are clean and friendly.  Parking sucks though..."
8/31/15,0.17892316,Positive,0,5.0 star rating,"Writing this for my husband:""Hadn't found a good barber since living in Oakland but, walked into this place and the owner cut my hair, right away I knew I had found my new barber. It is small but, decor is awesome, and you are offered beer, which really gives you the feel of an old school barber shop.Every time I've been there, both, employees and customers are engaged in barber-shop-conversation which to me, is kind of important as I find it awfully awkward just sitting in a chair staring at yourself with no kind of rapport between oneself and the other person. Also, military-friendly"""
6/3/15,0.278787879,Positive,0,5.0 star rating,"You get what you pay for, $20.00 and a quality cut by good people. I found my new local place for haircuts."
1/17/15,0.299592075,Positive,0,5.0 star rating,"Came here with my girlfriend today, didn't really know what to expect but from the look of the people coming out of the shop you could tell they knew what they were doing. Mike cut my hair and he's been a barber for many years so his technique really shows, my girlfriend said I looked like a new man and I had to agree the hair cut was super fresh. Picked up some pomade and grooming spray for reshaping because my hair grows REALLY fast.    If you're looking for a great haircut in the Seal Beach area this place is practically a must for you. Affordable prices, accepts walk-ins, not a long wait time and a legit haircut puts this place at 5 out of 5 stars.   On a side note this place has quite a bit of history and heritage and inside and out you can really tell that it's an authentic old school barbershop with genuine style and decor."
4/20/16,0.053809524,Positive,0,5.0 star rating,"I have the craziest thick set of hair i havnt had much luck with barbers till now , Mike nails it every time. I've been going to Mike now for a couple years. His shop is bad ass and very clean with a cool vibe, not to mention the sweet big screen tv u get to watch while mike goes to town on your hair ! Def 5 stars"
2/29/16,0.232857143,Positive,0,1.0 star rating,Average very over priced.  The place has a very trendy trying to be a hipster vibe. So many better local options don't waste your time or money.
9/28/16,0.452380952,Positive,0,5.0 star rating,"Great place to get a haircut, one of the most pleasant experiences I've ever had. If you're military and need a good and quick haircut for a reasonable price, this is the place to go. 10/10 would go again"
8/29/14,0.325,Positive,0,5.0 star rating,"Agree with all the other 5 star reviews!went there for the first time and Mike does a great job and is pretty entertaining...makes the haircut a lot more enjoyable.  if its busy, grab a magazine and just hang out. i'm looking forward to trying out a shave"
5/15/14,0.52,Positive,0,5.0 star rating,I went there a couple days ago and it was my second time at this great barber shop.  Luis is a great guy and he will make you look awesome! I will definitely keep coming to this place to get my haircuts!!
1/9/16,0.4275,Positive,0,5.0 star rating,Just found this place through great yelp reviews. High quality hair cuts and amazing straight razor shaves. Highly recommended this place if you are looking for more than just a barber. This guy is an amazing friend and makes you feel comfortable in.his shop. Has my business for life now
