Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
2/22/18,0.15771645,Positive,0,5.0 star rating,5,"Looking for a barber that you can trust with your hair is a daunting task especially if you are new to the area.  I tried numerous barbers my first 5 years living in LA and I was never really content with the finished product. Fortunately, I met Tony 3 years ago and refuse to see anyone else. Tony knows how to cut and do tight fades while also making recommendations based on your head shape and hair (I have Asian people hair).  I walk out feeling confident and comfortable with my hair, kind of a like a brand new man!    The Venice location is convenient because they have parking in the back and the people greet you with water or other beverages when you first walk in.  I trust Tony with my hair and also the stories we share!"
1/4/18,0.19469697,Positive,0,5.0 star rating,5,"I have been exclusively trusting my hair to Tony for years now. He consistently delivers elevated stylish haircuts that help keep me at the top of my game! I am so particular with my hair. That being said, I cannot give a higher recommendation. The equal expertise with a buzzer and scissor is a rarity. That balance is evident in every cut I receive. I'm frequently asked where I get my haircut. From Echo Park to Venice there is no one better! The shop is always stocked with must have grooming products too. Judah and Angel have occasionally cut me and are also experts of their trade."
12/29/17,-0.05,Negative,1,4.0 star rating,4,"Update: owner called and offered to personally take care of my cut tomorrow and make up for the inconvenience. Can't ask for more than that Showed up on time for my appointment and took a seat because my barber was still cutting another guy's hair. 45 minutes later I was still waiting and no one bothered to say anything, like maybe a ""hey man, sorry we're running behind but he should be ready for you around ___"" or ""Hey this barber is busy, do you want to try someone else?"" which would have helped since a walk-in that showed up after me got a chair five minutes later. Walked out without getting a cut. Pretty frustrating waste of my Friday free time."
3/7/18,0.368055556,Positive,0,5.0 star rating,5,Finally found a barber shop that I can trust to always leave with a good cut. It is hard to find a good barber and they all seem good here. Plus free beer.
7/16/17,0.170941158,Positive,0,5.0 star rating,5,"I'm SO glad I found this place earlier this year. I've been meaning to write a review since our first visit - my boyfriend has thick hair that grows LIKE CRAZY. I wanted to find a barber shop that not only got the job done, but was aesthetically more his speed/style. I could not have been more pleasantly surprised!! I've accompanied him a few times and it's hit the mark every single time. We met and have worked with Judah, who has been absolutely amazing every visit, and then we met the new addition to the team, Kelly, for yesterday's appointment. This group is attentive, really listens to us and what we're looking for, and above all else, EXTREMELY kind and friendly! Kelly worked her magic yesterday (we were looking for an even shorter cut than usual because of the unbearable heat) and he was thrilled with the results!Please, if you're considering this place, hesitate no further. It's such a special experience. Luckily we won't have to wait very long to go back!!"
12/16/17,0.330178253,Positive,0,5.0 star rating,5,"When I first walked into Manly & Sons I was overwhelmed by how amazingly clean it was! I've been to lots of barber shops and most of them are no where near as clean as this one. The tall dude at the front desk was super friendly and welcoming the second I walked in. My barber Judah faded me up nice and clean and he was super quick as well. In my opinion, going to a barber shop should be a fun, chill experience and I got that and more at Manly & Sons. I would for sure recommend this barber shop to anyone in Venice. And as a fan of Christmas, I was stoked to see the decor and Christmas music playing as well. If you need a new barber, I highly recommend Judah Leary he's a boss"
2/10/18,0.9,Positive,0,5.0 star rating,5,Very happy.  Frankie did a great job both times I've gone.
1/23/18,0.45,Positive,0,5.0 star rating,5,"The Vibe in the building is the first thing you feel, and see. Was in LA for my 21st birthday needed a last minute cut, ended up here and couldn't be more thankful! Great barber, great cut, and good beer! Thanks Ross!"
11/30/17,0.335635769,Positive,0,5.0 star rating,5,"So as I adopted a shorter cut, I was looking for a place to call home. Manly & Sons had just opened up, but I thought I would shop some of the other local barbershops. All in all, Manly ended up being the hands-down winner.Why? The people are great. The environment is great. I sit down and have a beer with my cut. Where in the world do you get that kind of experience?But most of all, the cut is spot on. After I went to this one the girlfriend told me, ""Yes, this place from now on."" I go to Frankie. But don't go to Frankie. Because as much as I love supporting great people that do amazing work, I really don't want to have to fight to get my spot in his chair. He's a Thursday / Friday guy but I think he recently added a new day. Bottom line is if you're looking for a laid back place to get a great cut and feel like a proper man, this is it."
12/12/17,-0.241666667,Negative,1,1.0 star rating,1,"Worst haircut I've ever had. Asked for a bald faded pompadour. Because of how long my hair is on the top (about 7-8 inches) the lack of  symmetry is so obvious. When I tie my hair up in a bun it's even worse. It looks like a blind man with epilepsy cut my hair. If you don't have a eye for accuracy and balance, get out of this industry. I've been wearing beanies for weeks after this cut."
