Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
3/20/2018,0.39768055555555554,Positive,0,5.0 star rating,5.0 ,"So I made the mistake of thinking I'm a hairstylist and coloring my own hair. It turned orange, then with purple shampoo turned grey/purple!I thank god found Jon Paul and he came to my house and fixed it the next day. It wasn't an easy task that's for sure! But he sure made it look easy and it looks amazing! Every time I've ever had my hair colored I never really thought it looked that great, this truly is the first time I've LOVED my hair!!! He's found a client in me for life! And I will be recommending him to family and friends. Best of all like a lot of women I have little children so the convenience of him come to my house was amazing! I even had to leave during the treatment to pick my son up from school and he said that was no problem, he just waited in hi late car reading. Very sweet and down to earth. I can't recommend Jon Paul enough. I'm very happy!!!"
3/28/2018,0.15178571428571427,Positive,0,5.0 star rating,5.0 ,"I was looking for an easier option to get my grandmother's hair cut. Getting her up into a salon chair poses a safety risk for her in a salon, and salons are so cramped, back and forth between shampooing is just too much for her.Enter Jon-Paul. I can't believe I didn't think of this sooner! We were able to make an appointment only 2 days away, he was very communicative on how he works as well as keeping us updated on his ETA. Once he was here, he washed his hands and was all set up within a few minutes. Jon-Paul is very personable, and someone you can relate to. My grandmother loves him! We're going to have Jon-Paul come to us to cut her hair from now on, as well as style my grandmothers hair for my wedding!"
12/4/2017,0.08802083333333335,Positive,0,5.0 star rating,5.0 ,"Jon-Paul is amazing.  He's on time, professional and does a fabulous job.  I have to have conservative hair due to my employment, but Jon-Paul always finds a way to make it a little sexy.  My husband is particular about his hair and Jon-Paul nails it every time.  Call him.  You won't be disappointed."
11/4/2017,-0.44999999999999996,Negative,1,5.0 star rating,5.0 ,Jon-Paul has been cutting my hair for over a decade and I've never had a complaint. He's my go-to guy and I haven't thought otherwise.
11/19/2017,0.5248333333333333,Positive,0,5.0 star rating,5.0 ,"If your looking for a true hair extension expert, you've found the one! JP is very attentive to detail, thorough, and ensures your expectations are exceeded. Thank you for the exceptional service. I've already recommended to many friends and colleges. :)"
10/27/2017,0.3237719298245614,Positive,0,5.0 star rating,5.0 ,"After my old hairstylist moved out of Orange County , I was skeptical about finding someone else thinking my hair wouldn't look as good as before.  Gave JP a shot after reading his reviews on Yelp and I am more than happy with his services.  First of all he cuts my hair exactly the way I ask him.  Showed him a picture of what I wanted and he matches it perfectly.  Secondly, JP comes to me.  I own a business in Mission Viejo ,so it's often hard to find times to get in my car and travel.   Lastly , JP himself is a great guy.  He makes you feel comfortable, very good social skills and very informative about what I should do with my hair as far as shampoo, conditioner , product.  He has everything you need if you're looking for a great hairstylist.  I'm not a fan of giving everyone 5-star reviews but JP surely gets one for his services."
11/5/2017,0.18856292517006804,Positive,0,5.0 star rating,5.0 ,"Had a black tie event on a Friday on the morning of my original hairstylist called in sick and was unable to do my hair. A friend of mine recommended JP being a little hesitant on a mobile hairstylist I really didn't have a choice boy was I happy that he did, he came out within an 1.5 hrs of my call and gave me the most elegant hairstyle for my event!  He really takes attention to detail.  Since then I have dumped my original hairstylist and have JP come to.my house for my monthly trim who dosent wanna be in there jammies in the comfort of there own home for a quick trim.  Thanks again JP..."
2/14/2017,0.5285714285714286,Positive,0,5.0 star rating,5.0 ,Thank you so much Jon Paul for the wonderful haircut for my fiancé! I made an appointment last minute and he was in need of an emergency haircut by today! Jon Paul was able to accommodate me and did a wonderful job!If I was able to give more than 5 stars I would.
5/30/2017,0.3484573002754821,Positive,0,5.0 star rating,5.0 ,So Greatful that Jon Paul was able to come to my house at 9:30pm on a Friday in order to give me a fresh new cut!He was very nice to speak to and overall the experience was nothing but pleasant!  Thanks again for coming on such short notice and for doing such a great job!
10/24/2017,0.27677655677655677,Positive,0,5.0 star rating,5.0 ,"Jon Paul did my hair last night and with a last minute emergency he was able to come through and save the day! He had everything he needed to do my hair in the comfort of my own home. I felt that his prices were exceptional for the quality of work that he does, he installed my extensions as sewn in and beaded wefts and they feel secure and tight, he also trimmed and blended them into my hair to give the appearance of naturally long and thick hair. I highly recommend Jon Paul, he's fun and friendly and great conversationalist- getting my hair done by him was a blast!"
