Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
1/13/18,0.157924107,Positive,0,5.0 star rating,5,"I'm writing this review after 1 full year of Nate cutting my hair.  First off, WOW - I've never seen anyone like Nate.  No other shops out there will open as early as 6:00AM-6:30AM to make sure you're ready for a crazy week at work.  He responds at light speed on appointment requests.If I could give Nate's Barbershop more than 5 stars, I would.  Nate is an incredibly talented hair stylist.  I'm very particular with my hair.  Beyond common belief, short hair is very difficult to get right.  I've gotten my hair cut from many places in San Francisco, but Nate's is the BEST.There are three adjectives I would use to describe Nate:- Consistent: Nate has locked-in exactly what haircut I want.  I just sit in that chair and he does his magic.- Precise: Nate's attention to detail is incredible.  He's the only haircutter I know that can work this fast and with this much attention to detail.- Passionate: Nate started cutting hair from way back when.  He has a natural knack for it.  He has a passion for making people look good and feel good.It's $45 (or $50 for early bird), but worth every cent for the professionalism and craftsmanship of Nate.  The quality of his work always shines through.Lastly, SUPPORT a local business!  Nate is doing many renovations and he's working hard to expand and provide an even better experience.  The remodeled shop has a Keurig, TV, and many other perks for customers.I just got my haircut this morning to kick-off my weekend.  As always, thank you, Nate!"
3/15/18,0.093923611,Positive,0,4.0 star rating,4,"While working long hours and with my shared custody order  its hard to find a spot that can accommodate last minute for a haircut. Not Nate, on the same day I sent him a message requesting an appointment for my son to get a haircut and he responded quick with the time that worked best for me. As Nate was cutting my son's hair, he was detailed, took his time,keeping everything even, sides cut even, hairline clean. My teen son commented that he felt comfortable in the shop and felt comfortable with Nate cutting his hair. Its hard to find people that you can trust to do hairThe location is a little hard to see but its one of those places that is a hole in the wall that unless you walk in you will not know how great they are. Nate was  very respectful, quiet, detailed work, clean. Nate has skills and you can tell he likes doing what he does. At other barbershops/salons I have taken my son to other barbershops or salons, people can be rude and not always listen to what their client wants.I think that this will be the place where I will take my son from now on."
12/23/17,0.452272727,Positive,0,5.0 star rating,5,"Wanted my boyfriend to get a haircut while he was in town visiting family and friends. He came back looking great and said the service was really good. Nate is a friendly and humble dude.  Didn't have an appointment but reached out to Nate through yelp and got a 10:30am appointment on a Saturday before the Christmas holiday, no problem.The cut was fast but the quality was still really excellent. He came back with a nice bald taper and all the edges looked great and the fade on the sides was good. Would recommend to anyone who is in the area."
4/11/18,0.729166667,Positive,0,5.0 star rating,5,Great dude! Very friendly and good skill He been doing his thing for 15 years+ soo u can trust him.
3/15/18,0.326623377,Positive,0,5.0 star rating,5,Great haircut! I got in on early Tuesday afternoon so   having made the appointment thru the yelp app. Pretty happy I found this place as I've been looking for a barber shop that's close to where I live (outer mission). He accepts credit cards which is great.Will definitely come back for another haircut.
1/25/18,0.3,Positive,0,5.0 star rating,5,Nate responded to my request for an appointment within 5 mins . The Lady That cut my 3 yr old  son hair did a really good job . Actually the best hair cut he had . Definitely coming back once his hair grows out .
3/25/18,0.369444444,Positive,0,5.0 star rating,5,"Nate is a super nice dude. I called for an appointment and 15 min later I was already getting my hair cut. Quick, and does a good job even on my first time coming to him."
3/24/18,0.320454545,Positive,0,5.0 star rating,5,"Nate's Barbershop is the place to go.This is the first time I ever got a haircut at a barbershop and I have been treated like a regular here. The environment was friendly, everyone was comfortable and, even though this was my first time here, I felt comfortable. I asked for a combover with tapers on the side and came out with exactly that, simple but the cut was amazing. I walked out of there feeling real good about my haircut, definitely recommend this place."
2/27/18,0.110416667,Positive,0,5.0 star rating,5,I have an interview tomorrow and decided that I needed to get my goatee cleaned up.  Sent Nate a note and he responded in less than 5 minutes and told me he could get me in now!!  Walked in and had to wait 2 minutes as he finished up with his current cut and then boom I was in the chair and he cleaned it up in just a few minutes and I was on my way looking good for tomorrow.  Thanks Nate!!
4/7/18,0.305555556,Positive,0,5.0 star rating,5,"Nate offers great service, it was really easy setting up an appointment. I'm glad I went to his shop, I'd go back next time"
3/13/18,0.352777778,Positive,0,5.0 star rating,5,"Found this barbershop on yelp as well as had a recommendation to go see Nate, when looking for a place to get my sons haircut. It was a pleasant experience to go into a shop where the barber is professional and has a cool conversation. He was quick, efficient and you can tell he enjoys his craft because it shows in his work. My son liked his haircut as well as I did too, that I brought in 3 of my nephews the following day!"
2/12/18,-0.083333333,Negative,1,5.0 star rating,5,"Nate is an efficient, no frills barber. Go here for a solid haircut finished in 30 minutes or less."
3/31/18,0.557142857,Positive,0,4.0 star rating,4,Nice barber. Nice cuts.  Nice clean shop.  Super pricy. Good on the hair cut but not so good on the beard.  Keep in mind there is no parking in the area you might have to park 2 blocks away on the streets. I do recommend him tho.
2/20/18,0.136136364,Positive,0,5.0 star rating,5,I'm fairly new to the area so I've been looking for a barbershop. I was looking online and saw Nate's Barbershop. It's open early so you don't have to plan your whole day around a midday haircut.  He also accepts walk-ins which is a big plus since I'm not really one for appointments. Nate's Barbershop is very convenient for me. I received my long overdue haircut and he did a really good job too! Definitely recommend others to check out this spot.
7/14/17,0.396666667,Positive,0,5.0 star rating,5,"This was my first time here, he was awesome very nice and sweet. He did as I asked him to do, my design is dope, and he had a credit card machine double plus. I will be back!!!"
12/21/17,0.506076389,Positive,0,5.0 star rating,5,"Phenomenal haircut for my son! We were in the area and luckily stumbled upon this hot spot for guys! Nate is quick, has attention to detail and his fades are hands down the best I've seen. I'm a perfectionist and can honestly say Nate gave my son a great cut! 10 stars! Thank you"
2/17/17,0.647619048,Positive,0,5.0 star rating,5,Nate squeezed me in last minute on a Thursday before I was headed out of town. I was in and out in under 30 mins. Great haircut! Did an excellent fade and excellent job lining up my beard as well. Location is convenient right off the M muni line for any SFSU students looking to get a nice haircut close to campus.
9/10/17,0.330235043,Positive,0,4.0 star rating,4,"I got a great haircut from Nate. The place might not look like much, but when I was waiting for my haircut (about 45 minutes, good time for there being 3 people before me waiting for one barber!) it was really comfortable and fun listening to Nate talk to some regular customers. He didn't flinch when I sat down and asked him to shave about 7-8 inches of hair down to a buzzcut (clipper length about 4 at the top). He knew what length would suit my face, which is great for a girl who's never gone that short. It took maybe 15 minutes and the cut is super even! I watched him do really crisp cuts on the guys before me like it was nothing too. He knows what he's doing!"
12/26/17,0.08,Positive,0,5.0 star rating,5,"Quick and clean cuts. One of the few places that still accepts walk-ins. I was a bit confused on the pricing, but cut is actually worth the price."
