Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
2/22/18,0.347727273,Positive,0,5.0 star rating,5,"Looked up a few barber shops on yelp and this one seemed to have the most consistent reviews, so I came in and was not disappointed.  Ken was my barber and was very knowledgeable, and even gave suggestions based on my hair and style.  Prices are competitive with a standard commercial shop, but the experience was more in line with a specialty shop.  I would recommend giving this place a try; great cut, good value, and good conversation.   to Ken for representing this establishment at a 5 Star level."
4/7/18,0.72,Positive,0,5.0 star rating,5,"Great barbershop, barbers welcome you and make you feel at home. You can always expect a good laugh and Men conversation. Perfect definition of a barbershop."
3/28/18,0.366666667,Positive,0,5.0 star rating,5,"This place is amazing!!! You get exactly what you ask for.  Good vibes is everything, very knowledgeable staff! Would definitely come back again."
3/8/18,0.1625,Positive,0,5.0 star rating,5,I used to get by Austin from way back in barber school days then to headshots in San Mateo. Took a long hiatus but I get back in every now n then. Been cut by Derrick too. Always all good.
3/16/18,0.65,Positive,0,5.0 star rating,5,Excellent and consistent quality service for a fair price. I found the shop one day and haven't gone anywhere else since.
3/9/18,0.475645342,Positive,0,5.0 star rating,5,"Cant say enough about this place its great ! Austin and Derek live up to the name of their shop Richness and Blessing ...Hands down great barbers but not just that great guys , love the vibe and heart of this place and all the barbers(Ken also)..Austins my barber he's fantastic I  always leave feeling great ..."
3/23/18,0.111111111,Positive,0,5.0 star rating,5,Missed my flight and had some extra time to get a cut and was lucky enough to find this shop!!! I'm a barber as well so have a lil eye for talent!! All their barbers were on point
12/23/17,0.295684524,Positive,0,5.0 star rating,5,"I work for a group home of teenage boys and I've been searching for the best barbershop in the area for me to take them to. Since we found this place, this is the only place they seem to like coming to. They willingly take walk-ins which is a big thing for my group of boys as they are always on the go with sports and meetings. The man in the first chair, Ken, is always welcoming and respectful. Their customer service is A+ and makes my boys and I want to continue coming back. ""He's really chill"" -as one of the boys describe him. My boys are at the age where their appearance matters. It makes me feel good seeing how much more confident  (and handsome) my youth are after getting their haircut by Ken at R&R barbershop. And yes, he can cut ""black"" hair!! (Inside joke)"
12/30/17,0.7,Positive,0,4.0 star rating,4,Went there twice got Beard lined up in and faded my side's  on my hair  got a good haircut  Customer service has been good in South city.....
11/3/17,0.65,Positive,0,4.0 star rating,4,"All the barbers at this shop can cut. I've been going to Ken for 10+ years now! Go see him for a fresh cut... Oh yeah, its always good to tip your barber!!!"
12/1/17,0.441666667,Positive,0,5.0 star rating,5,"There is a great set a guys in here. I came in without an appointment was able to still get some great service. Ken was my barber and he did great work. He listened to what I asked, and gave some advice. I don't usually do reviews but anything I can do to help these guys stay local."
5/30/17,0.264722222,Positive,0,5.0 star rating,5,Very cool guys and definitely reputable barbers. Came in as a walk in and Derrick accepted me. Asked for a simple 1 and a half bald fade and he delivered. Great price and will be back.
5/25/17,0.526666667,Positive,0,5.0 star rating,5,Very Nice haircut！Walk-in and wait for about 10 minutes，they did great job！Will come here next time！
9/20/17,0.336111111,Positive,0,5.0 star rating,5,"So happy for Derrick and Austin on opening there own shop. Personally I have gotten cut by both, and both do an amazing job on their craft. Other than their skill to make you look ""fly"" for any occasion, both of their personalities blend together to set up a comfortable atmosphere in the shop. I have been getting cut by Derrick for the past 3 years now and have not been disappoint. I highly recommend R&B BARBERSHOP!"
5/13/17,-0.05,Negative,1,5.0 star rating,5,My barber couldn't come through so I tried these guys out and I couldn't believe the attention to detail. Not my usual barber but these dudes do a great job. Walk ins on Wednesdays and Saturday. The barber was on point just can't remember what he said his name was? (Chair by the window.) I will be back again as you saved me from horrible pictures at a wedding hahaha.
4/1/17,0.027083333,Positive,0,5.0 star rating,5,"Want to get what you paid for? Come here to R&B Barbershop, hard working guys here early on the weekends to get YOU ready for your weekend, hang out with Derrick and Austin, and chill, be patient if you're coming early Saturday, cause people are always waiting for their turn, otherwise set up an appointment."
12/21/16,0.117416226,Positive,0,1.0 star rating,1,"Place sucks. I call the guy, he tells me they are busy I begged told him I'll pay him twice the price so he says come through. I sit on the chair, the guys gets a call on speaker scheduling people for later that day. I'm like wth this guys was acting like he was packed on the phone now he's taking down appointments for the day? Then I explain to him that I coil my hair from right to left and my sides I like faded. He literally fades my sides with 2 most obvious drops and doesn't even touch the top of my head. I explained to him that my hair was un even and if he could trim one side a bit more he acted like it was the first time he ever heard that. Then after 5 minutes of explaining his partner finally explained to him and he half assed it for 1/2 a minute then handed me the motor. Also through his phone call he asks me beard on or off, I said off. Too busy talking so he didn't even touch it. I figured the guy just wanted to send me on my way. My hair will grow back.. but my one star review will stay :) FYI his price is $25 I handed him $60 told him Merry Christmas and left. Never again."
