Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
2/6/18,0.323095238,Positive,0,5.0 star rating,5,"For a consistently great cut, go to Joel.  If you're like me, it can be hard to communicate exactly what you're looking for. I have an idea of what I want, but, not the right words to convey it.  He's always understood the look I wanted and the end results have been better than what I was hoping for.  Joel is the barber most people wish that they had. He always finds time to accommodate schedules too and he's an all around good guy. I highly recommend him. It's a cool space, prices are fair, and there's convenient parking, behind the alley."
11/3/17,0.333291997,Positive,0,5.0 star rating,5,"This shop is great. It's clean, it smells nice, and, best of all, it's not intimidating--this has always been a problem for me: either it's loud music that makes me feel like I'm not cool enough to be there, or else I get poor to no service because I'm a masculine-presenting afab person. This shop has none of that.Long, the owner, was great. He made me feel welcome and he really listened to what I wanted instead of rushing ahead and making too many assumptions. Also, he let me come back the following day when something wasn't sitting quite right, so now my hair is perfect. Thanks, Long!!"
4/7/18,0.4,Positive,0,4.0 star rating,4,"They do a quality job. I literally said do whatever you want, I don't care, and 30-40 minutes later I had a great style and a cleaned up beard looking good. I'll for sure go back."
4/1/18,0.316666667,Positive,0,5.0 star rating,5,"Joel and Long are some of the best stylist I've had the pleasure of doing business with. The barbershop is located in a great spot to get a nice clean cut and hot shave before heading out for drinks. The inside invites you to stay, but the stylish cuts force you to show off the fresh dew. Cold beers and a chill vibe is what keeps me coming back."
2/28/18,0.1625,Positive,0,5.0 star rating,5,My husband has been going to Long for years and he's never had a cut he didn't like. His technique for fades is impeccable. Definitely recommend Long to anyone that is picky with their hair.
3/26/18,0.2475,Positive,0,5.0 star rating,5,Monday at 4PM ! No appt ! Long got me in and out ! Not only was it a great cut but he was very personable as well ! Thanks !
4/4/18,0.290178571,Positive,0,5.0 star rating,5,Great place to get cleaned up before going out or to make as your go to barber. Friendly people and environment in a sick location for a good price.
3/3/18,0.5225,Positive,0,5.0 star rating,5,Great environment and awesome haircuts. Long and Joel take great care of everyone that comes into the shop and offer an experience like no other barber shop I have ever been too
2/5/18,0.08,Positive,0,5.0 star rating,5,"Found this place by accident, Guys there are legit. Highly recommend trying them out for your next cut."
2/18/18,0.29,Positive,0,5.0 star rating,5,"Always my top choice to go for a haircut. The quality of the cut is on point every time, and the atmosphere is perfect for a chill time. Long's got some mad skills, ask for him for that top tier cut!"
3/3/18,0.3525,Positive,0,5.0 star rating,5,"These guys are the best at what they do. Joel is the man and you won't be disappointed with your haircut. Awesome environment, highly recommend."
8/10/17,0.177222222,Positive,0,5.0 star rating,5,"Excellent haircut for my teenage son.  He's been looking for a barber who understands his ""fashion sense."" Long not only listens but recommends styles and cuts that works for his hair texture.  Extremely satisfied that his initial cut took about 30 minutes.  At a typical barber, he would be in and out in less than 15 minutes. The location is on the 2nd floor to the left of Goat Hill Tavern.  Highly recommend Ronin for cuts.  BTW, my daughter got a beautiful undercut here as well."
2/11/18,0.315,Positive,0,5.0 star rating,5,Great service awsome barbers I highly recommend going here and will be going back. Parking is slim worth the walk if needed
