Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
2/14/18,0.230357143,Positive,0,4.0 star rating,4,"Keep your haircuts simple and you'll be satisfied, the more detailed you get the you might have little issues. All in all solid work from a cheap place. You get what you pay for ( decor, etc )"
2/6/18,0.384722222,Positive,0,2.0 star rating,2,"I would give this place a 2.5 if I could. I rate this based on expecting a barber cut, but it was more like a basic hair salon. That's more than good for some people, who just get a basic crew cut or a 2 blade all around.When I first walked in, literally none of barbers looked at me which made me feel very unwelcome to be honest. It wasn't until the Asian women barber called me over that I was addressed. She was actually really nice and had a good balance of friendly and not talking too much.The cut wasn't one of my best. She tried her part but I don't think they specialize in ""fr3sh kutz"". I mean, neither do I, but it's somewhere in between. I believe the haircut was $12 pre-tip, which is more than I thought it would be. I think when I was a kid this place would be perfect, but my haircut requires a little bit more finesse now."
10/10/17,-0.009160284,Negative,1,5.0 star rating,5,"Emma is a Rockstar! Buckle up boys and girls while I tell you my wild experience. I let my hair grow for the summer and figured I'd stop in today for a trim as I've always had a decent cut here. Place was busy and friendly as always, a new lady finished her cut and had me sit down. Trouble started almost right away after I got poked twice with the scissors....both times she apologized. She starts cutting my hair and I'm looking like L'il Beaker the rapper.....not the look I'm going for. Emma looks over and says "" What are you doing "" and the new lady kinda shrugs....""oops"".     Emma says come over to my chair and this one is on the house. She proceeds to fix my rapper look into something closer to the old surfer I am, Thank you Emma!Feel bad about the new lady but she needs to retire those scissors before someone gets hurt."
9/23/17,0.31,Positive,0,5.0 star rating,5,It is a simple barber shop with a good haircut for a small price.  Pleasant conversations and clean.
8/27/17,0.479166667,Positive,0,4.0 star rating,4,Nice friendly place and good value for money.  Monday mornings are really crowded so probably best to go at a different time.
8/6/17,0.173888889,Positive,0,4.0 star rating,4,"So awesome to have found a local barber shop open so early on a Sunday morning. Price was exactly as advertised; $10 for a short fade/gentleman's cut. The lady that cut my hair was super friendly, as were the other ladies in the shop. I was in and out of there in about 20 minutes without compromising the haircut. It's not exactly like going to a barber shop where they give you the full service; cut, straight razor and a hot towel. However, it's a terrific place for the price. I'd go there again if I was short on time."
8/3/17,0.2125,Positive,0,5.0 star rating,5,"I have been taking my son here for 7 years. You can't beat the fantastic haircuts for an unbelievable price! Gemma has been an amazing barber and has been patient & helped him come up with his own personal style throughout high school! We even moved to Newport Beach, but still drive back during 405 rush hour traffic so that she can continue to cut his hair."
7/3/17,0.131785714,Positive,0,5.0 star rating,5,I moved to HB about 5 years ago. My son in law goes here and recommended it. I've got to say I'm amazed. I've never had a bad haircut here in the last five years. And I get a flat top. Not the easiest haircut to do. Everyone that works there is very friendly and competent. I highly recommend this place.
3/4/17,0.241666667,Positive,0,5.0 star rating,5,Have come here twice now and I'm definitely never going back to supercuts again. Staff is super friendly and the prices can't be beat. :)
8/26/16,0.75,Positive,0,5.0 star rating,5,Emma rocks! She was taught by Rochelle who also is awesome. I have had both cut my hair but Emma is my girl. She remembers how you like it done and does it well. I wouldn't go anywhere else and always recommend them. I'd pay a lot more so the price is just a bonus.
7/16/16,0.353333333,Positive,0,5.0 star rating,5,"I have been going to the same person to cut my hair for my whole life, but I needed a quick cut, so I figured I would give this place a shot considering it was close to my home. Shauna cut my hair and did an amazing job. I am extremely satisfied with my hair cut. I spoke with her and Rock the whole time and had a really good time chatting with them. I will definitely be coming back. Thank you for the great hair cut Shauna!"
6/1/16,0.543055556,Positive,0,5.0 star rating,5,Steve usually cuts my hair and can hook up the fade! He is efficient and will occasionally trim my beard too. Gemma and Sarah are awesome too. They have cut my kid's hair and done great. It's got that old school barber shop feel and great price for $10. Free candy for the kiddos too! Awesome place awesome people!
3/21/16,0.775,Positive,0,5.0 star rating,5,Just returned from 2 years in China.......finally a great haircut!Sara did an amazing job....first time to Springdale Barbers....great experience!
2/6/16,0.341666667,Positive,0,5.0 star rating,5,This place is the best. I just showed my main man Willie a picture of what I wanted and he hooked it up! I'm so pleased with the price and I'm definitely coming back every time
1/13/16,0.225031002,Positive,0,5.0 star rating,5,Tried this spot today. Super friendly and professional. Tight cut!!! Highly satisfied and highly recommend!!!!
1/12/16,0.017272727,Positive,0,2.0 star rating,2,"$10 haircut! ...but the insults are FREE!!  I wanted to try a new place and their signs on Springdale got me in the door.  Their rude and unwelcoming behavior will keep me from coming back. If you want a $10 haircut that looks like a $10 haircut and don't mind the negative vibe, this is your place!"
9/10/15,0.516666667,Positive,0,5.0 star rating,5,"Richelle was professional , pleasant and prudent with our $$ !! She gave my boy an excellent cut at an excellent price . FINALLY we found a barber we can use regularly ."
8/22/15,0.354079254,Positive,0,5.0 star rating,5,"This place is amazing.  Probably one of the best haircuts I've ever had, and I've been to some fancy, expensive salons.  Sarah did a fabulous job.  I'm very particular about my hair, and she did exactly what I requested.  I find that the stylists at the fancier salons view themselves as artists and your hair as the canvas upon which they'll paint their next masterpiece.  Thanks, but I would rather you just do what I want.  It's my hair.  I need to live with the result.  You will get a great haircut at Springdale Barbers.  The fact that it's also fast and affordable makes an already great place even better."
3/27/15,0.32514881,Positive,0,5.0 star rating,5,"That T.S. Person's review below mine is nonsense... I literally just had the best barber shop experience of my life. Get ahold of your kid and stop teaching him to be an entitled brat JESUS Christ. Anyway. First off all I had was quarters and they welcomed me with open arms regardless. They kept their doors open after closing and still took their time and gave me an OUTSTANDING HAIRCUT. I'm actually at the club right now and literally babes can't keep their hands off me. I had to take a bathroom break to escape the onslaught of hotties and I thought I'd write a review to pay respect to the wonderful hair cutter chicks that made this night possible. Bottom line, if you want an AWESOME DOO, and you want it for a GREAT PRICE, then look no further. I actually had Sarah cut my hair and I still have both my ears...you know why? Because I was raised by decent parents who used corporal punishment on me like good parents do. Sorry getting fired up about that jerk reviewer again. Well this place rocks, stop by for a cut."
2/28/15,-0.091601563,Negative,1,1.0 star rating,1,"Went there today to get my son's haircut. He's been there once before. Today the blonde (who said she just moved her spot from the front to the back of the shop) cut his hair. He's 5 and does well with haircuts with an occasional squirm. Well within the first two minutes she cut his ear with the clippers!!! I understand he tilted his head a little but my biggest complaint is that not once did this lady say sorry. Instead she kept telling him that if he didn't move he wouldn't have been cut. Needless today my son cried profusely. I'm now worried because the shop and all the tools were dirty. No signs of any form of sanitizing or cleaning the clippers, scissors or combs. We will never come back here again. I hope that no one else has to experience what I did...watching your child have his ear cut because she couldn't do her job. I say this because I've taken him to many different barbers and salons along the years. Not all have been the kids salons and he has never ever been manhandled like this."
12/23/14,0.211904762,Positive,0,5.0 star rating,5,I brought my Mum in for a much needed grooming she didn't have to wait long and the haircut is great not to mention super reasonable I'll have her tip double next time.
3/30/14,0.433333333,Positive,0,5.0 star rating,5,"Been coming hear for over 20 years always a good gig.  They had a few chumps but they are gone and the girls do a great job, and are friendly.Hope it stays with these folks"
