Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
4/10/18,0.135127592,Positive,0,5.0 star rating,5,"After I found out my barber of 5 years hung up the clippers, I embarked on the dreadful journey of finding a new barber. I was forced to check out yelp and ask friends for recommendations. Luckily, my best friend referred me here and lemme tell you how that dreadful journey turned into a perfect ending. Upon calling the shop, I was greeted with a friendly voice as Tina easily set me up with an appointment the same day. The shop is kept organized with water and snacks provided as you wait for the chair to open. I'll admit that I was nervous, trying out a new barber for the first time, but once I explained her what I wanted, she got to business. Her skills and warm personality made me feel at ease and I knew that I found my new go-to spot. I'm extremely happy with my haircut especially since she knew how to work with my Asian hair. I will be referring all my friends to get their cuts here byIf you're like me who lost their barber or still searching far and wide, stop what you're doing, book your appointment and rest knowing Tina's got you."
4/7/18,0.40625,Positive,0,5.0 star rating,5,"I had an amazing experience getting a haircut here, they are incredibly friendly and did what I asked them to with my haircut. I'm very pleased and will come back here again."
4/6/18,0.3,Positive,0,5.0 star rating,5,"I've been a returning customer of Stonecreek Plaza Barber Shop for a long time now. Before this, I've been hesitantly going to other barber-shops around the OC area, always nervous that I would not get a result that I would be happy with. Tina, the store owner here, is always so inviting. She offers her customers water to drink and snacks to eat upon their entry. She really takes care of her customers' hair and never rushes it--she makes sure you look good and that you leave satisfied. Her staff is also reliable, since she hires them herself and would not let anyone unworthy to work for her. If and when you come to Stonecreek Plaza Barber Shop for your next haircut, you will leave with a smile!"
4/6/18,0.335416667,Positive,0,2.0 star rating,2,"I came here because I needed a quick haircut when I visited my family in Irvine. I saw the good reviews and came here and got my hair cut from Tina. The fade was good but she just butchered the top of my hair. I've been to a lot of expensive and cheap, but experienced hair stylists and watching her aimlessly shove her scissors into my hair was not acceptable. I don't usually write reviews but this business is not 5 stars"
4/3/18,0.45,Positive,0,5.0 star rating,5,"Magnificent ""mom & pop"" shop in Irvine that is second to none. Terrific customer service and even better haircuts. I am happy that I found this establishment, and I am a permanent customer of this fantastic barber shop."
3/23/18,0.109198836,Positive,0,5.0 star rating,5,"5 Stars for Tina and company! Boom! Tina is a Rockstar, multitasking killer barber with competent business instincts. Always does a bang up job and makes sure you're satisfied before you leave! Can make an appointment or walk in; if you walk in, they will make you wait and Tina will stay late to make sure your needs get met. I almost felt bad for her as she had two walk ins upon closing up so Inevitably she stayed late to make sure they got their cut. Only negative is that they Always have boring television programs on. Tina let's get some ESPN running or maybe a little CNN news! Haha Great place and super friendly!!!"
3/15/18,0.270416667,Positive,0,5.0 star rating,5,"I have been coming here for 5 months now since I've moved to the area and Tina has ALWAYS given me exactly what I ask for, every time. She can always squeeze me in with her busy schedule which I really appreciate. Tina and her employees are super friendly and welcoming to everyone who walks in the door. There is plenty of bottled water and snacks to have while you wait as well. I will not go anywhere else!- George"
3/12/18,0.082692308,Positive,0,2.0 star rating,2,"This place is getting popular. Sad thing about small businesses is that their capacity to run the business is small as well. With just Tina and few others doing finances, setting appointments and running the whole store, they are getting over loaded with more customers than they can take care. Of coarse they want to make more revenue so they accept all appointments at near as possible times that the clients request but they won't be able to start you on time and the quality of the cut is getting sloppier and sloppier. Not to mention the two other hair cutters except Tina are amateurs. Time to find another place."
3/5/18,0.464285714,Positive,0,5.0 star rating,5,"Tina or Angie. Either 1 of them is probably the best hair stylist you'll find in Irvine (For me, they are even better than the hair stylist in LA). They even have a free snack bar for you while you wait. Great customer service, great skills, and i'll be back.  ohhh.. the PRICE = small damage to you wallet"
2/24/18,0.433333333,Positive,0,5.0 star rating,5,This is my second time visiting here. They have done a great job. I am quite satisfied with my hair.
2/12/18,0.3625,Positive,0,5.0 star rating,5,"This was my first time visiting Stonecreek Barber Shop, and I couldn't be more satisfied. Tina was awesome and extremely accommodating, but most importantly did a fantastic job with my hair. She even followed up with me after my haircut to see if I was entirely satisfied. If you're looking for a quick and clean haircut, give this place a try.Tina is a true professional, and I'll definitely be back again!"
