Date,SentimentScore,Sentiment,SentimentNum,StarRating,Review
2/28/18,0.413494318,Positive,0,5.0 star rating,"Found my new salon! I came in with a hair disaster and Justine worked her magic and gave me the most beautiful balayage/ ombre coloring ever. Justine won't let you walk out of the salon until you're happy and to say that I was happy is an understatement; I was over the moon ecstatic with the results of my hair. Everyone, and I mean EVERYONE of my friends and family commented on my hair the days following (and still do!). If you're thinking of adding excitement to you hair, Justine is your gal!"
1/19/18,0.224475108,Positive,0,5.0 star rating,"I don't really write reviews but I am over the Moon happy with the results of my new doo! I've had long, dyed hair my whole life and was extremely skeptic at first if I should go through with cutting my hair or not but after a previous bleach job that fried my hair I decided I needed a change. I read a bunch of reviews and searched through dozens of pictures. After reading through some reviews about Ashley Sue I decided to book my appointment. I got a call next day from her and she talked me through the process and asked me to send photos and gave me great feed back if this was the right look for my facial features. I didn't want someone who just agreed with everything I asked for and wanted my business but someone who will give me real critical feedback. Ashley Sue was straightforward and honest with me about everything from color, length, and even showed me how I can style short hair afterwards!Go to Ashley Sue! She does amazing work! What a wonderful experience."
3/23/18,0.321428571,Positive,0,5.0 star rating,"To all the blondes out there scarred to let anyone touch your hair, look no further. Justine is amazing and did a fabulous job on my hair. My hair was left undamaged and the color looks the exact same from 6 weeks ago. They also use all the best products and sell them at the front. Check out Justine's instagram @justineraestyles for proof of her talent and dedication ‍"
2/22/18,0.411607143,Positive,0,5.0 star rating,I went there to get my hair done by Ashlee sue she is amazing and I'm so happy with my haircut and color she's totally approachable and really friendly. She knows what she is doing! I was going for an icy silver look and I'm really happy with our first session and how it turned out!
1/14/18,0.390740741,Positive,0,5.0 star rating,"My experience here was awesome! Justine did a beautiful job!!! I came in with about 2 inches of dirty blonde regrowth and solid yellowish hair beyond the regrowth and I left with beautifully blended, bright creamy blonde hair with great dimension. I am so happy with the results, they'll make you say WoWza for sure. Thanks again Justine!!!Also, the salon is super cute and booming with a cool atmosphere and nice people. I will definitely be back!"
2/9/17,0.102941176,Positive,0,2.0 star rating,"What I had: long (like to my butt), thick, coarse Asian hair in the shape of a V but with too many layers in the middle.What I was looking for: about 2 inches taken off to give it a healthy look and to also even it out so there weren't so many layers in the middle but to keep the same V shape. Bang trim and some thinning.What I got: short, blunt cut. V shape was gone.What I got (2nd chance): short, choppy, uneven layers. Still no V shape.Pretty bummed. Was hoping this salon would be my go-to, but unfortunately won't be back. Looks great in a pony tail! So that'll be my hairstyle for the next 6 months before I let anyone take shears to it again..."
11/30/17,0.417857143,Positive,0,5.0 star rating,Justine Rae is amazing!!! You can tell she really cares about giving you exactly what you want and doesn't mind putting in the extra work. She did an amazing job on my hair and I have already gotten so many compliments! Thanks Justine and studio fifty fifty!
3/23/18,0.371428571,Positive,0,5.0 star rating,Love love love my hair. Sarah R was amazing. She was able to transform my hair in one session. Definitely recommend her and will be coming back to her.
2/19/18,-0.009090909,Negative,1,1.0 star rating,"Went in hoping this could be my new place... I showed a very specific photo and what I wanted, and came out butchered... I stopped the hairdresser mid way through to say that this was not what I wanted and it was too short, and was assured it would be ok... It wasn't. I can't even get my hair into a ponytail to hide the bad cut.... will never be back..."
1/20/18,0.533996212,Positive,0,5.0 star rating,"first time i've ever colored my hair & i love it so much!!! Kirsten is such a great hairdresser, super nice & friendly. She's great at balayage! it came out perfect, couldn't have asked for a better experience!"
12/19/16,0.483333333,Positive,0,5.0 star rating,I absolutely LOVED the work that Kirsten did on my hair! She did an amazing job fixing my grown out color and damaged hair that a previous stylist did.I found my go-to person to do my hair and I love her!
12/13/17,0.206666667,Positive,0,5.0 star rating,Kean is great! Both my husband and I go to Kean. I feel bad because I can hardly hear when people talk to me as it is and with blow dryers and what not it makes it harder (since there are so many people and its so big) but other than that everyones been super nice and ive seen beautiful work done.
12/19/17,0.522466856,Positive,0,5.0 star rating,"Tara was amazing! She was super sweet, made me feel really comfortable and I knew my hair was in good hands! She gave me the hair cut I wanted and even scheduled me for a trim in three weeks! I'm super happy over my new Bettie bangs! It took me forever to find someone to do them correctly!"
4/16/17,0.004615385,Positive,0,1.0 star rating,"To keep it short and sweet. This place is way over priced and completely ruined my hair. I came here with high expectations bc of such great ratings. I had long dark brown hair expecting to get a blonde balayage but left with bleached streaks. I paid 210$ for literally 7 random pieces of my hair bleached and ""toned"". When I asked if the rest of my hair was going to get bleached my hair stylists said ""no"". My hair was fried and looked disgusting... Sydney did my hair. I showed her a picture of what I wanted (which I will post) and it turned out nothing like the image AT ALL. She was sweet but as a hair stylist I would not recommend going to her."
