Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
4/9/18,0.6,Positive,0,5.0 star rating,5,"For over 20 years, Randy has been my barber.  I reside in OC, and make the time for a haircut.  Great service, comfortable atmosphere, and affordable.  Thank you."
1/26/17,0.086344538,Positive,0,5.0 star rating,5,"So you're a dude looking for a haircut on the westside. You could go to a Lloyd's or Floyd's or similar chain designed to project the image of an old-timey barbershop, or actually go to the old-timey barbershop those joints are modeled after.Tel's is a family establishment. Grandpa Tel is a barber. His sons Randy and Brian are barbers. His grandson Andrew is a barber. Those four people occupy the chairs at Tel's and it's been that way for God knows how long. There is something really special about a place where three generations of men cut hair right next to each other. There are no chairs rented to some doofy kid with no experience. No matter whose seat is open, you're getting a guy whose last name is Trujillo and who's been cutting hair as the family business his whole life.There aren't frills, really. The haircuts are $20 whether they use scissors or not. They don't offer a traditional straight shave. They haven't updated the model photos on their walls since the 80s but each of them knows how to cut your hair the way you want it, I promise. The shop is lost in a bygone era but their barbering skills are definitely not.My guy is Randy. I like to think he's the most versatile of the crew, but I couldn't say for sure. What I can say with certainty is this guy can cut some hair. And he has a gift for understanding what you want and making it happen.If you're looking for an old-school barber who's up to date on style, this is your shop."
6/15/17,0.199702381,Positive,0,5.0 star rating,5,"My boyfriend ended up coming here based off reviews, I hope the name is right but the blonde blue eye gentlemen named Brian cut his hair and did an amazing job. My boyfriend is beyond picky and will wait till he travels back to Arizona to get his hair cut, however he found his guy and location. Yay.  I don't have to listen to him whine anymore ;-) thank you!"
8/5/17,0.520357143,Positive,0,5.0 star rating,5,Always a great experience there. Everyone is very nice and friendly. I've been going for over 20 years now. I wouldn't go any other place. Andrew is my favorite and does an excellent job. Thanks guys!!
10/27/17,0.437272727,Positive,0,5.0 star rating,5,Best haircut I've had. He took a look at my hair and new exactly what I needed. I left the shop looking and feeling great.
5/17/16,0.324479167,Positive,0,5.0 star rating,5,"Although Tel's is a usually busy place, there's many reasons for that. 1. Satisfaction: this family-owned business excel at meeting the needs of their customers. Very understanding and will work with you to ensure that you leave with a smile.2. Atmosphere: when I brought my father here for the first time he really enjoyed the friendly vibes and intellectual conversations that the barbers had for their  customers. The place also doesn't play any loud music and the layout of the store is simple and easy on the eyes (as opposed to Lloyd's barbershops) 3. Price: great if you are running on a strict budget. Tel's barbershop do not charge overwhelmingly for their services but their fine work always make me tip the barbers.4. Parking: it's not hard to find a parking space directly in front of the store, however, you can also park in the back alley but be sure to park in the spot designated for the shop. The locksmith next door nearly towed my car because I parked in their spot!5. Location: the store is in a nice, clean, and safe neighborhood. Across the barbershop is a park with basketball courts that you can use. It's always a good idea to take a walk around the area after your visit to show off your newly fresh cut.And even if the place is packed, remember that quality attracts customers. They deserve every penny heading their way. Looking forward to getting a cut from here whenever I need it."
9/28/16,0.42012987,Positive,0,5.0 star rating,5,"Great barber shop, amazing barbers. Asked for tight sides and scissors cut on top, went above and beyond with the fade. Will come again, definitely call in before hand because they are busy sometimes.All of their barbers are amazing but I had Bryan and he was great, amazing to talk to, and really great with fades."
6/13/17,0.163888889,Positive,0,5.0 star rating,5,Moved from San Diego to La and was spending double the price for average haircuts elsewhere. These guys are pros and do a great job. Be prepared to street park if you've never been in the area and also make sure you put enough in the meter just in case they're packed. I typically go in during my lunch break and I'm in and out within 30 minutes.
10/22/16,0.74375,Positive,0,5.0 star rating,5,Very friendly staff. They talk to you patiently and appreciate your input.  One of the best barbershops in Santa Monica.
2/24/16,0.030378788,Positive,0,5.0 star rating,5,"I moved here a few months ago and went to a few local places in Santa Monica before going to Tel's. The Haircuts were sub par at the other shops. I found this place on Yelp and decided to check it out. I waited briefly and had a super friendly barber. He did a solid job! As long as I live in Santa Monica, I'm going to Tel's!"
5/13/15,0.101771429,Positive,0,2.0 star rating,2,"I wish I could rate this family business higher.Very good vibe to this barber shop. I think they're all related (3 generations?). Always a friendly, quiet smile. Good clientele. I go when the wait is short - when you can see empty street parking. Solid conversation, if you want it. Half the time I go here, I get a good simple haircut. Not perfect but good for the price. Unfortunately, the other half of the time I visit, after I wash my hair it's very easy to see uneven spots - long sections that should have been easy to compare to the nearby hair during the cut.  After my last visit (probably the very last), I had to do some serious home-trimming to make it close to even.It's time for a family intervention. Do some test-cutting and discover that a certain someone needs to be reminded about that Comb-The-Hair-Up-And-Check-The-Length move that we've all seen."
8/12/15,0.308888889,Positive,0,5.0 star rating,5,"Stopped into Tel's one day because my hair was getting long and I needed a quick haircut to relieve me from the 90 degree weather. I was not disappointed and have found my newest barber!Tel's is very old-fashioned (in a good way) and all the barbers there are friendly, personable, and able to have a good chit-chat while you get your hair cut. Every time I've been to Tel's, they cut my hair EXACTLY how I want it which is pretty incredible. Compare this to other barbershops who cut your hair for the sake of cutting it, whether it comes out how you want it to or not. Tel's really cares about their customers, and I am confident I will get a quality haircut every time!"
8/27/15,0.233888889,Positive,0,5.0 star rating,5,I just moved up to LA and was nervous about switching barbers. However Brian at tel's barbershop did a great job. I told him a very detailed haircut my previous barber would give me and he cut it up the same way. I will definitely be back. Thanks Brian!
1/8/13,-0.010454545,Negative,1,2.0 star rating,2,"You know how you can tell you got a bad haircut? When you got to work and no one says ""Oh, did you get a haircut?"" It's almost like everyone was worried about drawing attention to it.The other way you can tell is when the barber spends 5 minutes with a scissors and a buzzer and pronounces you done.  Really, the shortest cut I have ever had in my life.  I had the young guy, who seemed nice enough, but I didn't really get to find out because our conversation consisted of ""Hi"" ""How's things"" ""You're done""It's so strange, cause these guys are obviously so highly rated.  Maybe I just got the wrong guy.  Either way, won't come back, wouldn't recommend."
10/24/15,0.365909091,Positive,0,5.0 star rating,5,"18yrs coming here...ALWAYS a great haircut, great chat with both the fellas and patrons, great periodicals while I wait and under-priced for what I get IMHO.  I'll empty my wallet to add a few bucks gratuity because it's worth every bit. Tel's is the best barbershop I've ever visited.  The only way to make it better is to serve drinks!  But then of course they'd never get a lot of us out of there...The Daily Pint is close by!I think I've written two Yelp reviews; I don't write this one lightly.Cash Only."
9/26/15,0.366666667,Positive,0,5.0 star rating,5,I've been coming here for the last 5 years. Old school barber. They have always been great. They take the time and detail to get your hair the way you want. There's a reason why they are so busy and have been around for over 50 years. I've primarily been going to Randy and he does a great job everytime. Pro Tip: park across the street at the park so you don't have to worry about feeding the meters
5/20/16,0.313461538,Positive,0,5.0 star rating,5,"We moved to SaMo 8 MLS. ago, & yet to find a genuine, not trendy, barbershop til today when my husband had his 1st appt. w/Brian.  He was so happy (& the wife/me:) also--Brian was friendly, welcoming, the shop is low-key & comfortable, & on top of that? He gave my husband a great haircut.  Not a fade (tho the younger guys were getting theirs), but a good-looking, done by a pro terrific hair cut.  The shop, Brian & the incredibly reasonable price were a breath of fresh air in a sometimes just 'too LA/SaMo' town.  Hesitated to write this, cause don't want the place getting too busy, but they deserve it."
9/14/16,0.317156863,Positive,0,5.0 star rating,5,"My husband starting going here and my son asked me to have his hair cut at the same place.  I took my 13 year old to Tel's yesterday and he got a wonderful haircut.  He felt comfortable letting Tel (was his barber) exactly what he wanted; cleaned up on the side, not shaved and about 1/2 inch off the top.  He ended up with a nice clean haircut and felt like he was listened to with how he wanted it cut.  I will say that I do think they cut my husband's hair much better than other places and he doesn't look like he's about ready to go into the Army (they don't cut him too short :)  Great feel in this place, like an old-fashioned barber shop and I didn't feel like a silly mom waiting (I was made to feel welcome while I waited)."
5/18/15,0.232654672,Positive,0,4.5 star rating,4.5,"The Barber: Brian is the f*cking man. Super clean and super fresh fade, sharp lines and he'll even clean you up with the straight edge.The experience:I stumbled into this place by accident when I was trying to get to an appointment at the salon 2 doors down on Pico. When I went to my appt at the other place, the guy wasn't in yet and honestly I wanted to go back into Tel's just for the price I saw ($18). So I peaced the salon and went back to Tel's. Best deal in town. Super old school vibe-y shop, no bs and some down homies. Ended up with Brian by default and it was excellent- he knew exactly what I was looking for and did a great job- not to mention he's a great guy. Overall, great job on a pretty modern haircut. I'm usually skeptical of trying new places because they usually have their own variation on style, but Brian new exactly what to do with an old-fashioned cut and modern style. Thumbs up, gents."
6/16/16,0.057638889,Positive,0,5.0 star rating,5,"Moved to LA a little over a year ago and as soon as I found Tel's my search for a great haircut was over.  Tel, Brian, Andrew and Randy are awesome.  Price is impossible to beat and the wait isn't bad if you can sneak in weekday midday or early Sat."
11/28/14,0.096,Positive,0,2.0 star rating,2,"I've been here 4 times now (most recently when my usual barbershop was closed for the day),and unfortunately it is very hit-or-miss.Each time I've had a different barber; 2 were very good and 2 were absolutely terrible.I have a very simple standard haircut (nothing more than clippers), and the latter two did a very poor job indeed.Unfortunately the bad experiences outweigh the good experiences, as is often the case, hence the 2 stars."
4/5/14,0.476041667,Positive,0,5.0 star rating,5,"great place to get a haircut for a ""reasonable"" price in the West LA area. price is $18/cut which is as good as itll get around here unless you want a crappy college haircut in Westwood. Ive had my hair cut by Tel and Randy and theyre both great guys. Real nice and try their best to get you the hair you want. After coming here for a while though I realized that Randy has a real good feel for what I like so I always wait to get cut by him now.Only complaint is that the wait can be loooong. Like you may wait over an hour to get your hair cut but hey, they're busy for a reason! Cheers to great local small businesses!"
6/27/15,0.525,Positive,0,5.0 star rating,5,"Been coming here for years. Randy, Tel and Brian are true pros. They will give you the cut you want, just the way you want it. Attention to detail, good conversation, just as it should be."
8/25/15,0.5,Positive,0,5.0 star rating,5,This is the ONLY place I get my hair cut.  All these guys are pros and deliver excellent service with unbeatable value.
6/22/15,0.405092593,Positive,0,5.0 star rating,5,"My favorite barber shop hands down! I've been coming here for many years, always a good cut.Tel, Randy, and Brian all do a great job, but I miss old Charlie. I like the vibe here, and the chicks dig my due.Don't forget to check the parking meter!"
4/22/13,0.142490842,Positive,0,4.0 star rating,4,"I've become a regular here. My hair is difficult and I am often indecisive on what I want. Generally, they do a great job listening and cutting it the way id like. They are not an upscale salon so my hair never really comes out looking ""trendy"", but they don't make mistakes and the price is right. Sometimes the older gentleman styles my hair at the end in a way like the pictures on the wall (you know, from the 50's...). It's nice of him, but I usually fix it by the time I get back to my car lol."
10/26/15,-0.032361111,Negative,1,1.0 star rating,1,"Horrible. I went in to get a trim after growing my hair out for about a year as I wanted to change things up. I had told the barber I wanted to trim it down and make it shorter but not super short- just enough to the point where if I was to wear a hat, hair would be exposed in the back (about two inches below my ears I described). I showed him how long I wanted it by holding my hair up, and he cut it 5 inches SHORTER. he left me with about 2 inches in the front and top of my head, and about 6 inches in the back-- essentially a mullet. I am beyond angry and will never go back. These guys clearly don't cut ""hair"". Every other customer in there barely had hair on their head I don't know why they would even be in there. The only thing these barbers are good for is giving a buzz cut. If you actually have hair on your head I suggest going to a salon where people went to school on how to properly cut hair and make layers or anywhere else for that matter."
8/31/12,-0.02890625,Negative,1,5.0 star rating,5,"Real Barber chairs. actual Master Barbers.  The owner, Tel, gave me my first cut here bit based on how those other folks looked leaving their chairs you can't get a bad cut here.Santa Monica and their one hour meters are a problem though because this [lace is busy.  Expect to wait an hour on Friday afternoon when everyone wants to look sharp for the weekend.  No parking on the closely adjacent street on 3-5 PM on Friday.I won't get my hair cut anywhere else though from now on!"
1/19/13,0.325,Positive,0,5.0 star rating,5,"This is THE best place on the westside to get a haircut. The 4 guys are all great, they give a quality cut and the price is fantastic. $16 for a cut (although you should give at least $20 inc tip) gets you EXACTLY what you ask for, not some young kid chopping how he thinks looks 'cool' which is what you get in some places.If you want a quality haircut, go here. Simple as that."
9/22/11,0.298333333,Positive,0,5.0 star rating,5,"Tel's is the best, forget the rest!!! There are three generations of barbers there and three generations of my family have been getting haircuts there.  I make sure I get there 1st thing in the AM in order to avoid the inevitable wait since they are super busy most of the time. You can call ahead and see how many people are waiting though, so you can get an idea of how long your wait will be.Tel's is the model that Pico, Lincoln barbers etc. try to achieve but there is only one old school barbershop in SM."
7/20/14,0.2,Positive,0,3.0 star rating,3,The most basic of haircuts. No real styling. I think I will go back to Floyd's for a more fashion forward result.  But this place is solid if you are in a need of a real quick one
1/12/13,0.122420635,Positive,0,5.0 star rating,5,"I arrived at Tel's this Saturday morning at 7:27am.  There was already one guy getting a haircut.  Two others were waiting.  Two minutes after me, two more guys came in.  Tel's opens at 8am on Saturdays.  These guys must be doing something right. Since moving to LA, I've been to Tel's for all but one last minute haircut I needed when Tel's was closed.  That one time I paid over twice as much and the cut didn't look half as good.These guys are the real deal.  And for $17/cut, the price is unfair... to them.  I hope everyone tips well.The wait usually sucks, but there's usually a wait because you get the best haircut in LA in for the lowest price.  Plus, these guys are really nice."
12/30/15,0.39375,Positive,0,5.0 star rating,5,"I have been going here for 25 years.  Great cuts, reasonable prices and a friendly, family owned and staffed place to go. A part of the world that is fast fading."
7/30/14,0.46875,Positive,0,4.0 star rating,4,"My regular place.  I can recommend it.  Been coming here for years, even when visiting family before moving to LA.  Great friendly reasonably-priced family shop.  Good attention to detail in my grooming."
1/4/16,0.56875,Positive,0,5.0 star rating,5,"This place is perfect. Good haircuts, friendly people, reasonable prices. I still come here despite having moved to Jefferson Park."
9/27/12,0.338095238,Positive,0,5.0 star rating,5,I have been coming to Tel's for over 20yrs.   I made a recent visit and it's still the same; a great simple spot that still cares about you and they don't rush and they do a good job. It's a classic barber shop and a good price. I like these guys and I hope they stay around forever.
