Date,SentimentScore,Sentiment,SentimentNum,StarRating,Review
2/4/18,0.228205128,Positive,0,5.0 star rating,"Alisa is the best, she's like yoda, but real. And wiser. And younger, I think. I'm pretty sure.I can not imagine anyone leaving disappointed. I wouldn't want to meet that person. I am sure that they would not be pleasant to be around. I bet they're the same person that returns a drink at starbucks because the barista spelt their name wrong. You get the idea. Alisa does amazing work.I used to go to barbershops in LA that were $20/haircut and $15 with that ""i'm broke"" student id. The Sharper Look is well worth however much it is. She has an eye for detail. To make it easy, bring in a picture of what you want, Alisa won't disappoint."
2/25/17,0.232592593,Positive,0,5.0 star rating,"Pros: Quality haircut, good conversation, online bookingCons: None that I can think ofI needed a haircut so I decided to check out the Sharper Look. Luckily it's just down the street from my house. The Sharper Look is located in Sola Salons. Look for unit 21.I usually get a side part with a mid skin fade and Alisa did a great job on my haircut. She was very professional and was easy to talk to. I ended up opting for the VIP haircut so I got a nice towel wrap on my face at the end. Overall, a very relaxing experience.If you're looking for a quality men's cut, definitely check this place out."
9/20/17,0.331666667,Positive,0,5.0 star rating,"Alisa does a fantastic job every time I see her.  Not only do I trust her 100% with my hair,  she provides a relaxing atmosphere and good conversation.  Appointments are always on time and I can easily work them into my busy schedule as there are never any surprises.The Sharper Look won a customer for life!"
1/20/18,0.34375,Positive,0,5.0 star rating,Alisa is great at what she does. She's very methodical with her hair cutting and knows exactly what looks good on me. She's great at conversation and keeps a comfortable environment. Highly recommended!
9/5/17,0.328148148,Positive,0,5.0 star rating,"I don't trust anyone else besides Alisa with my hair. I have experienced my fair share of bad military barber haircuts so it is always a relief when I get a chance to sit down in Alisa's chair. She is always super sweet and makes you feel welcome. Her haircuts have got me numerous compliments in the year that I've been going to her, as well as compliments on my eyebrows, thanks to her brow waxing. She's great, listens to what you're trying to achieve with your hair and she is very good at what she does."
7/8/17,0.260893158,Positive,0,5.0 star rating,"My bf had a string of bad hair cuts, and so I went on the hunt for a new stylist. After looking all over yelp, I'm happy I found Alisa! (As a GF, I'm happy to see he finally has a great haircut!)She was attentive, meticulous, and professional. She's as sweet as she looks!! He's seen her twice and both times have been a great experience. Would recommend getting the VIP men's hair cut service. Guys, you won't be disappointed!Her studio is in the Sola Salon Studios, next to the recycling center. As you walk inside, take a right and down the hall, on the left side."
4/14/16,0.535714286,Positive,0,5.0 star rating,"Alisa has really impressed me and my friend Lincoln, who happened to be visiting from Beijing. In fact she is so good we've decided to export her overseas to China, so you poor chaps can kiss her and her yummy cookies good-bye . (Haha  jk)5 stars - for attention to detail, superb skills and a sexy voice for keeping a warm conversation!"
12/23/16,0.467006803,Positive,0,5.0 star rating,"It's not easy finding the right hair stylist you can stick with, but for me Alisa is the one I can't go without. I really look forward to my appointments at the Sharper Look. When you walk in she puts on your favorite music and you are pampered until you leave. Her cut is so perfect I love my hair weeks after my appointment. Alisa the perfect stylist. I wouldn't go anywhere else."
6/11/17,0.484761905,Positive,0,5.0 star rating,"Alisa is great! She listens to you, makes suggestions, and works with you to give you the haircut that you want. I have very straight hair, which makes the imperfections stick out after haircuts, but Alisa did a great job, and her attention to detail and skill put me at ease. As a bonus, she's also really pleasant to talk to, plays music that you want to hear, and offers you drinks and tasty treats. Definitely check out The Sharper Look if you want a fantastic haircut experience!"
11/24/15,0.210048025,Positive,0,5.0 star rating,"THEE BEST! I have recently moved from Bakersfield CA, to Newport and I was in desperate need of someone to give my brows a new look. Alisa over the past couple months has changed the shape of my brows and it they compliment my face much better than before.I have had trouble finding the right person to shape my brows, they were not the right shape before I started seeing Alisa, and now they look completely different! Especially now, we all know the importance of eyebrows and how hard it is to find the right person...trust me, I know! So thankful I found Alisa. Also, besides being a talented esthetician, Alisa is completely sweet and so understanding with booking appointments and getting you in with your time schedule! She is a perfectionist and takes her time with her work. I never leave YELP reviews, so trust me when I say she is the best."
