Date,SentimentScore,Sentiment,SentimentNum,StarRating,Rating,Review
10/5/17,0.036587302,Positive,0,5.0 star rating,5,"I set an appointment and they were really really flexible with the fact that I had school. My assigned barber, I believe it was Chad, was a bit behind on schedule and they were still able to get another one for me, in a very short amount of time! Tubbs was willing to get off his break to give me a cut. Which by the way, for what I requested, it took WAY less time than I thought. I didn't really know what I was doing seen as I don't go out to cut much and so I didn't really know what I wanted: but he got me a sharp hard part, an even fade, and a sick line up. All under 25 minutes and for $35! Definitely recommend. They're friendly, have a comfy couch and an aesthetic shop :)"
3/25/18,0.4,Positive,0,1.0 star rating,1,"This place states walk-ins are welcome, but I was told otherwise! I needed to make an appointment, what a waste of time."
12/27/17,0.279166667,Positive,0,5.0 star rating,5,"My boy Pete does a great job cutting my hair! He takes his time to give you the the perfect cut you asked for. He used to work at fresh cut and he was the only one available working on a Sunday and he was kind enough to take me, and he's been my barber since. He's a very busy person so  you gotta make that appointment!"
2/2/18,0.1,Positive,0,5.0 star rating,5,My man Pete always hooks it up with the fresh cut. He always takes me in whenever he has a last minute cancel or opening. You can definitely count on Pete and Tailormade to deliver with dope service and fire style.
3/7/18,0.006349206,Positive,0,5.0 star rating,5,I called in today and basically had no idea how to explain what I wanted. Pete basically read my f*cking mind and did it quick. Been trying to get this cut for years. Mf does it right.
1/6/18,0.511111111,Positive,0,5.0 star rating,5,Ive always preferred barbers. Tailormade is a nice spot to get my ears lowered. P.G. gave me a bada$$ fade. It was easy to make an appointment and the service is top knotch.
12/20/17,0.325,Positive,0,5.0 star rating,5,"Regarding my last review about Mark, he messaged me separately explaining why he wasn't able to make it to my appointment and I totally understand. Keep up the great work fellas"
12/17/17,0.17,Positive,0,5.0 star rating,5,"This review is for barber, Tubby of Tailormade barber shop. Tubby welcomes every customer with a greeting and never fails to provide assistance to anyone who walks in. Tubby has been cutting my hair close to 6 years now and each haircut is perfect! His passion towards every cut is shown through his work. With being a talented barber, tubby is also knowledgeable with hair products and grooming. Needless to say, i would recommend Tubby to anyone looking for a haircut without hesitation."
12/13/17,0.4525,Positive,0,5.0 star rating,5,"This place is great and professional. I've have cuts from barbers Pete and Tubbs. Both super talented and each time supplied great conversations along with a 5 star haircut. Everything you could ask for in a barber shop. The facility is homey as well. Got there a bit early one time and they have a comfy couch and usually some sports playing on the TVs. Good, clean atmosphere. Keep up the good work!"
12/15/17,0.2,Positive,0,5.0 star rating,5,"This is a spacious and professional barbershop where I've never walked out disappointed. I've been getting cut by the barber Tubbs for quite some time now.Tubbs is super responsive with setting up appointments, which is helpful when trying to plan out the rest of your week. Tubbs will help you figure out a hairstyle you'll be happy with, and not take the easy way out. He's suggested haircuts for me that are more time consuming than my usual buzz cut, which showed me that he's not trying to rush me out out of the shop. All in all, I truly feel respected as a customer/client here and I would recommend anyone to check this spot out. Easily, 5 stars."
5/8/17,0.265306122,Positive,0,5.0 star rating,5,"Local shop with talented barbers, welcoming to kids. Chad hooked up a nice cut and a design in the fade for my 3 year old. I'll definitely be back with my son and send my hubby in for an old school shave for a special occasion."
4/1/17,0.341666667,Positive,0,5.0 star rating,5,"Great place, clean, organized, knowledgeable guys, great customer service.Mark is the man he always works with my crazy schedule to accommodate an appointment for me."
11/11/17,0.180647383,Positive,0,5.0 star rating,5,We were looking for a babrbershop for my son in the area that was able to do haircuts that arent basic or old fashioned. We saw tailor made and decided to give it a try after looking at photos of customers on google etc. My son got a comb over with a line up and I must say Jay was amazing. My son now will go nowhere else but here to have his haircut. Hes been here three times in the past year to different barbers and just recently had chad cut his hair and we never have been disapointed. We now live in San Jose and make the drive up here just because our son trusts them with his hair! The Lines are clean and they know exactly what they are doing. Thanks guys!
9/15/17,0.18,Positive,0,5.0 star rating,5,There's cut and then there's art. Its distinction is clear with tailor made. Luis knows art. Thank you very much. Paul
