Date,SentimentScore,Sentiment,Review,SentimentNum
3/17/2018,0.2646428571428572,Positive,"Just went here with my fiancé on a whim because he desperately needed a haircut. We chose this place purely on the high volume of great yelp reviews. It did not disappoint. Not only is it a great ""guy feeling"" salon they have a great system that tracks all your previous haircuts with pictures so you can say ""do it the same as last time"" and they just pull up the notes and pictures. The best part in my opinion, was that the super burly dude that cut my mans hair actually took the time to teach him how to blow dry and style it himself so he could replicate it at home. I would highly recommend this place to any guy that needs a great cut.",0
3/12/2018,0.023135650581302774,Positive,"I've been getting my hair cut here for the past few months and I think it's time that I move on. I started off happy with the easy scheduling and friendly service, but the last 3 out of 4 haircuts I've had here have not been good. In fact, the last haircut I got here was downright bad. Bad enough that my wife ridiculed me for paying $40 for it, and bad enough that I'm annoyed every time I look at it. Here's why it was so bad.This location always has 4 chairs going and it's first come first serve. Two of the ""technicians"" are always very good, solid. The other two are really not very good. I've gotten the latter 2 the past few times I've come. I'm not trying to be mean, but the ""head mapping"" just doesn't work when the person cutting your hair is not very skilled. It's like giving an amateur artist some very detailed instructions, and expecting them to recreate an original drawing. My last 2 haircuts looked exactly like someone tried to trace a drawing. It was vaguely similar to what I wanted, but with no style, no technique, and plenty of uneven and missed spots. And no, you cannot request or decline a specific stylist.Honestly, I don't have time to sit there and try to fix everything that's wrong with my haircut. Even if I wanted to, how are you supposed to make it more even when it's already shorter than I want in many areas? How do you tell them to make it more even when they have been trying to make it even the whole time? I'm not even that picky about my hair, I just don't want it to suck. Unfortunately, this last one really sucked.Either way, I'm not knocking this place for what it is. It's a good place to get your haircut and they do a lot of things right. I just can't keep taking a 50% risk of getting an amateur, when I'm paying professional prices.",0
2/7/2018,0.024924242424242432,Positive,"I was excited to try this place from the reviews i saw online and the uploaded pictures. My first few times going in my haircut was amazing (it was done by the owner zac and one other girl - his second in command), however once i started getting cuts by the other stylists, i noticed the inconsistencies. My haircut started looking different and definitely wasnt amazing anymore. The last straw for me was when i got a new stylist and when i went home to take a shower, put gel in my hair, i saw a lot of uneven layers and then a major mess up behind my ear....to put the icing on the cake, that was my bday and i went out looking like an idiot. There is definitely an issue with their ""head mapping"" concept because what they dont understand is that even though no matter what stylist you go to your head shape stays the same, the perception of the stylist doesnt. everyone sees things differently and therefore no matter how many notes they take about your cut, it will translate a differently. When i wrote zac an email the person at the front desk (i believe his name is augstin) called me and asked me questions about my email (i expected the owner to reply especially since he is trying to create this business and should want to handle any issues personally) which included him telling me ""well why didnt you notice that the stylist messed up after he was done with your haircut? why didnt you say something at that time"". Unlike others, i like to go home, shower and style my hair because in the end i am going to be doing it on a regular basis and when i did do that time,  i saw the uneven cut and then the mess up behind my ear (which i wouldnt have noticed at the shop). he then said ok well i'll tell zac but unfortunately i never heard back. it was only until after i sent a second email zac called and heard me out. After i was done explaining my story, what i didnt hear from him in his response was anything like ""hey im sorry you had a bad experience, i want to make sure you are taken care of so i or (his second in command stylist) will cut your hair from now on."" Or something like ""hey why dont you come in and i will comp your next haircut and will have myself or someone monitor your haircut to make sure you get the same quality. From that point on i decided to go elsewhere for my haircut. It is unfortunate because i did like the place and the people seemed cool, yes the prices were a little high but if i get a great haircut i was ok with paying that amount.",0
4/7/2018,0.45,Positive,"Very impressed with this place. Best haircuts I've ever received. Extremely consistent even though you may never see the same barber. They have a system that allows every barber to cut your hair the same way. It is a bit pricey but you get what you pay for, quality.",0
3/1/2018,0.39999999999999997,Positive,Great experience every time! Very technical So always achieve desired look. Very accommodating at either location when making appt.,0
3/15/2018,0.08333333333333333,Positive,"Been coming here for a few months now. They take extra time the first visit so you get exactly what you want. Since then I've adjusted the length to match the 3 week gap between visits, now it only takes 15 - 20 minutes. I really appreciate their methodology and professionalism.",0
3/6/2018,0.4166666666666667,Positive,I've been going to Danckuts couple of times now and I love how consistent they are with their methods. I will be going there from now on and I'm so glad to have found them.,0
6/26/2017,0.13888888888888887,Positive,"Consistent. Efficient. Convenient.I care about my haircuts but I hate worrying about it! Since I started coming to Danckuts for over 2 years, I grown accustomed to the consistent level  haircuts and quick execution. And the best part, I can just schedule all the appointments in advance and never think about it outside of that again!",0
8/21/2017,0.12573529411764706,Positive,So the idea behind Danckuts is simple. You should be able to get the exact same cut you received before from any one of their barbers. If you're looking for a barber shop that's extremely entertaining and can dish out a mean cut this is the spot. I had Zac for my first cut and I can't complain at all. I walked in looking like a 3 and left a solid 8.. so if you understand how big of a difference a good cut is it's worth the price.The ONLY reason I'm not giving 5 stars yet is because the theory of Danckuts is to provide the same cut regardless of the barber. I will update this review with my full experience after the second (identical) haircut!,0
9/12/2017,0.021585648148148156,Positive,"The BEST haircut place I have ever been too in my life. Not only is the staff amazing, but the tech behind the haircut to have the exact same haircut every time is truly insane. Straight out of Jimmy Neutrons book and props to you Zac & the Danckuts team for the hard work everyone puts in!!",0
