Date,SentimentScore,Sentiment,Review,SentimentNum
3/28/2018,0.32676767676767676,Positive,"Holy crap they are good! Best of the best. Customer service is 100% Staff is 100% authenticPlace is SOOO cleanFirst time customers like myself get massage, hot towels on your face, and head wash!Most places try to cut down costs but these guys (thank you Spencer) go all out on their customers. Although I move to NYC now, whenever I go to Irvine, I will ONLY get haircut at this place. Or other Sports clips. Y'all the best. My head looking fresh and my rate with ladies increased too haha!",0
9/14/2017,0.12831632653061223,Positive,"Low integrity business. Haircuts are ok, but be careful.I used to go to this Sportclips in Woodbury, Irvine and had been going for years. I came here when Kristen and Rosie and Xuan were here, all of them gone now. I got to know the stylists. Recently, I found out stylists were leaving for multiple reasons. The owners put the screws on the stylists to do volume over quality haircuts. Their whole system is being reworked to give 20 minutes to complete an MVP haircut and the stylists are basically punished for actually spending time to do it right. Popular stylists would have really long wait times because they refuse to do appointments or even phone-aheads anymore.Finally i decided to leave but i had just bought a season ticket. Now they won't give me my money back. They took my name and number and told me the owner would call me about a refund. Yeah right. Never happened after months of waiting. I know other folks that went here too and same thing happened to them.",0
12/27/2017,0.41428571428571426,Positive,Got the MVP with M&M. She was the sweetest and most knowledgeable person I have ever had my hair cut by. She seems to really enjoy what she does and actually listens to what you want done with your hair instead of doing what she thinks is best. The best hair cut I've had in a while. Will definitely come back.,0
8/19/2017,0.75,Positive,I've been coming to this location for a while now and Sophia has always been the person I wait for as she is the best! She does a great job and is also very knowledgeable with the products you guys offer.  I have purchased what she recommended and I am very Happy.  It's always a pleasure to get my haircut since I know it will always be a fun/relaxing time! Thank you!,0
8/10/2017,0.5555000000000001,Positive,I've be coming to this SportsClips for a while now and I always have a good experience. Today I had my hair cut by Sophia and she made my good experience into an excellent one. She was very sweet and made sure I had the best experience possible. She's also very knowledgeable about hair and hair treatment. I learned how to keep my hair moisturized with the teatree products and I look forward to using the bottle I bought. Sophia made this an excellent visit and I look forward to seeing her in the future!,0
12/2/2016,0.1204861111111111,Positive,"I drop in here every once in a while for a haircut and have been greeted by an extremely friendly staff everytime! It does get packed on the weekends but they they have a lot of staff so you know that they are being as efficient as they can be.All of the stylists here are very personable and do a pretty decent job cutting hair. I personally have my favorite in Ruby. She is friendly, down to earth and knows how to cut my hair to my liking. I only wish they took reservations online or over the phone. Otherwise, two thumbs up!",0
10/27/2017,0.23301282051282052,Positive,"I've gone to approximately 7 sports clips in Kansas City area and other cities around the country. The one on Chipman Road in Lee's Summit run by Jenn has been the absolute best. The store is always clean and orderly and all of the stylists are very friendly. I've had the chance to use several different stylists and they all provide great haircuts consistently. Each time I go, I get the MVP service which includes the haircut, hair wash, hot towel facial, and neck massage. Each time I leave I look and feel like a million bucks. Thanks Jenn & team. Craig B.",0
7/12/2017,0.27222222222222225,Positive,Ruby does an excellent job. We have tried a few different hair styles and each time they end up looking great. I have spent a lot of money over the years at different upscale salons/barbers/hairdressers and Ruby gives a superior cut. Pick up the season pass if you go in. It is definitely worth it and will save you money in the long run.,0
7/3/2017,-0.03418367346938773,Negative,"Love this place! Anita cuts my dad's hair and thank goodness. She gets the right shape and length, which is apparently a lot more difficult to do than I'd have thought (he went through quite a few terrible hair stylists). Would recommend.",1
1/12/2017,0.8,Positive,Ever since I found Jennifer I will not let anybody else cut my hair. She is nice and does an awesome workI recommend her to everybody,0
9/14/2017,0.2291053921568628,Positive,"Stopped in Sports Clips Woodbury today for a much needed haircut.  Had a ""buddy card"" from a friend which entitled me to a free haircut with an ""MVP"" upgrade!  I've never been to Sports Clips before and I didn't know what to expect.  I t was pretty slow (lunchtime) so I didn't have to wait.  Barbie greeted me and showed me how to check myself in and explained what my ""buddy card"" got me.  She also told me all about Sports Clips and how they operate.  She was a great ambassador for the brand.  She also did a great job cutting my hair!  MVP package gets you a hot towel face massage as well as a scalp / head massage and a quick shoulder massage with a little hand-held massager.  Not the best massage, but heck, its a haircut!  I would certainly go back and ask for Barbie if I did, she was kind and easy to talk to and was very accommodating when I kept asking her to ""go a little shorter""!",0
7/31/2017,0.2125,Positive,"I had placed a one star review recently which I decided to delete due to the manager calling and apologizing. I appreciate good customer service and because of that I am changing the rating to a four star. Everyone makes mistakes but the important thing is how you fix the mistake. I hope the hair stylist who did my hair did not get in trouble, I don't want people to be fired just want them to be better trained.",0
9/6/2017,0.22326388888888887,Positive,"Sophia is amazing ,she is patient, professional and takes great care of me when she is cutting my hair and I'm super hard to please Hands down best hair cut I've ever had.",0
11/17/2016,-0.10479936729936726,Negative,"Only getting one star since zero stars isn't a choice.Horribly rude and just flat out terrible customer service to new customers or at least would've been a new customer but we walked out.Walked in and waited for the older gentlemen ahead of us to complete his transaction. With the 6 people standing at the front desk, not a single person acknowledged myself or my son. After about a minute, a lady walked in and was instantly greeted by the staff while we were still being ignored. THEN the kicker. A man walks in after her and he is also greeted and a sign in sheet is finally placed on the counter in front of him. We walked out after that. Just because we are there for a kids cut, which is cheaper, doesn't mean we should be ignored.",1
9/20/2017,0.9,Positive,"This is a great shop. Ask for Kristin, the  Londa from Utah. She is excellent an personable. The shop is at the corner if Irvine and Sand Canyon.",0
8/11/2017,0.38488636363636364,Positive,"I go to sports clips with my boys and RUBY always does a great job. She is very friendly, courteous, and professional! I can't say the same about the rest of the the staff. Some people are great others aren't.  5 star is only for RUBY!!  We also love to MVP options and free trim as well as the new check in automated system.",0
5/8/2017,0.7333333333333334,Positive,"Wonderful experience all the time but I have to say it's because of my stylist Pon! She is great!!! Everyone here at Sportclips is so courtesy, thorough, and helpful. Thanks again.",0
7/30/2017,-0.19480519480519481,Negative,"I have been going there for a while, but the last couple visits have been real bad. Today the stylist jammed the clippers into my head over and over again. Then when she went to trim around my neck she scraped my neck and I left with red scratches.  Not great. I am on to looking for a new spot.",1
4/29/2017,0.2663461538461539,Positive,"I've been visiting this location lately for two reasons.   1.) Ruby, and 2.) It's closer to my work and therefore it's more convenient.  Ruby started cutting my hair at the El Toro/Lake Forest Sport Clips a little over a year ago.   She does such a great job that it caused me to change locations.   The only thing I need to do is sit in the chair and relax.  I know she knows exactly how I like my hair, and she doesn't even need to ask.   Great personality, great stylist, great person!   Thanks Sport Clips and thanks RUBY.",0
4/13/2017,0.5590909090909091,Positive,They have great customer service and a great new check in system.  Ruby is one of my favorite stylist to go to.,0
8/16/2017,0.6545833333333334,Positive,"Excellent haircut by Sophia.  Very friendly and courteous.  Great location and everyone is very nice.  Even during rush hour, wait times are very reasonable",0
5/7/2017,0.4,Positive,My name is Christine Siegrist and I bring my entire family and I myself to Ruby. She is an efficient stylist and we leave happy every time. We come from Huntington Beach to see Ruby and she listens to what we want and delivers every time.,0
