Date,SentimentScore,Sentiment,Review,SentimentNum
4/10/2018,0.13512759170653907,Positive,"After I found out my barber of 5 years hung up the clippers, I embarked on the dreadful journey of finding a new barber. I was forced to check out yelp and ask friends for recommendations. Luckily, my best friend referred me here and lemme tell you how that dreadful journey turned into a perfect ending. Upon calling the shop, I was greeted with a friendly voice as Tina easily set me up with an appointment the same day. The shop is kept organized with water and snacks provided as you wait for the chair to open. I'll admit that I was nervous, trying out a new barber for the first time, but once I explained her what I wanted, she got to business. Her skills and warm personality made me feel at ease and I knew that I found my new go-to spot. I'm extremely happy with my haircut especially since she knew how to work with my Asian hair. I will be referring all my friends to get their cuts here byIf you're like me who lost their barber or still searching far and wide, stop what you're doing, book your appointment and rest knowing Tina's got you.",0
4/6/2018,0.3,Positive,"I've been a returning customer of Stonecreek Plaza Barber Shop for a long time now. Before this, I've been hesitantly going to other barber-shops around the OC area, always nervous that I would not get a result that I would be happy with. Tina, the store owner here, is always so inviting. She offers her customers water to drink and snacks to eat upon their entry. She really takes care of her customers' hair and never rushes it--she makes sure you look good and that you leave satisfied. Her staff is also reliable, since she hires them herself and would not let anyone unworthy to work for her. If and when you come to Stonecreek Plaza Barber Shop for your next haircut, you will leave with a smile!",0
1/29/2018,0.23138445071010866,Positive,"This place is hands down the best spot for men's haircut. No tricks, frills or fancy stuff. You get in, get out, CLEAN CUT every time. Being a full time financial advisor and full time Dad, I don't have the time or money to go to these fancy salons charging 30,40,50 dollars. I just need an efficient place where I can get a clean cut during lunch or after work. Believe it or not guys, I found just the spot!!! This is THE place. Professional, efficient, quick and consistent. How much does all that cost me?? $18 plus tip. Get the hell out of here...like no way right? In Irvine too? Let me tell you, this is real. If you aren't getting your cuts here you are missing out or spending too much money. Trust. The owner Tina is so nice. Always asks me how my day is going. Remembers my family and asks me how they are doing. One time I forgot cash and Tina didn't want me to waste money on ATM fee so she let me pay her the next time I saw her. Like who does that?!?! This place is a gem and if you are contemplating your next trusted barber get your butt over here and get cleaned up.",0
4/6/2018,0.3354166666666667,Positive,"I came here because I needed a quick haircut when I visited my family in Irvine. I saw the good reviews and came here and got my hair cut from Tina. The fade was good but she just butchered the top of my hair. I've been to a lot of expensive and cheap, but experienced hair stylists and watching her aimlessly shove her scissors into my hair was not acceptable. I don't usually write reviews but this business is not 5 stars",0
4/7/2018,0.40625,Positive,"I had an amazing experience getting a haircut here, they are incredibly friendly and did what I asked them to with my haircut. I'm very pleased and will come back here again.",0
4/3/2018,0.44999999999999996,Positive,"Magnificent ""mom & pop"" shop in Irvine that is second to none. Terrific customer service and even better haircuts. I am happy that I found this establishment, and I am a permanent customer of this fantastic barber shop.",0
1/22/2018,-0.3333333333333333,Negative,My husband went for a haircut on Saturday.  He came back home with bruises on his neck. I can't imagine what horrible hair dresser can make such a thing. I don't recommend going there! !!,1
1/9/2018,0.13965201465201466,Positive,"I'm a regular! and a regular with kids!This tiny little shop has nothing externally special about it, quite the opposite actually!  But the service is top notch and you find yourself endeared to the barber shop by the owner and hair stylist who always makes you feel at home.  I take my 3 year old and 1 year old and they do a great job with them and are very patient!  They both get lollipops after!  Hidden gem.",0
12/5/2017,0.3386666666666667,Positive,"I initially came in because of the reviews and the best pricing in Irvine.  I've stayed because Tina and her staff are very attentive, kind, and hospitable.  They also cut hair nicely and quickly.  And I've tried many different barbers...(FYI, I have typical Asian hair.)",0
2/24/2018,0.43333333333333335,Positive,This is my second time visiting here. They have done a great job. I am quite satisfied with my hair.,0
3/15/2018,0.27041666666666664,Positive,"I have been coming here for 5 months now since I've moved to the area and Tina has ALWAYS given me exactly what I ask for, every time. She can always squeeze me in with her busy schedule which I really appreciate. Tina and her employees are super friendly and welcoming to everyone who walks in the door. There is plenty of bottled water and snacks to have while you wait as well. I will not go anywhere else!- George",0
12/9/2017,0.3714285714285715,Positive,Great great Barbershop!! this is the second time iv came to this place and iv never been happier. They do an amazing job and i definitely recommend. absolutely coming back. Ask for Lee! He's the man of the hour!Thanks again guys !,0
2/3/2018,0.10000000000000002,Positive,Tina is always very accommodating and will work with you on what type of cut you want. I would recommend on making reservations on the weekend since gets quiet busy during the weekend.,0
11/22/2017,0.4875,Positive,"Best haircut and doesn't hurt your pocket, friendly owners!Haircut is $18 but I think it worth more than that! Will come back and recommend for sure!",0
3/23/2018,0.10919883578431372,Positive,"5 Stars for Tina and company! Boom! Tina is a Rockstar, multitasking killer barber with competent business instincts. Always does a bang up job and makes sure you're satisfied before you leave! Can make an appointment or walk in; if you walk in, they will make you wait and Tina will stay late to make sure your needs get met. I almost felt bad for her as she had two walk ins upon closing up so Inevitably she stayed late to make sure they got their cut. Only negative is that they Always have boring television programs on. Tina let's get some ESPN running or maybe a little CNN news! Haha Great place and super friendly!!!",0
10/16/2017,0.42656250000000007,Positive,Great barbershop for the price in Irvine. I'm not willing to pay $35 for a standard men's cut like some places charge so it was great to discover Tina's barber shop here which starts at $18 for a mens' cut. She gave me a great haircut and is very skilled at doing all kinds of fades. Tina was very friendly as well. Will be coming back.,0
12/1/2017,0.75,Positive,"Awesome service! 10/10 would recommend to family and friends!If anyone's in need of a precise haircut, this place is where it's at!",0
3/10/2017,0.5522549019607842,Positive,"We made an appointment for my son Kevin to have a haircut here and Tina was so happy to take us even though she was in between clients she was able to fit us in. Great 3 chair barber shop in stone creek plaza, Tina had 2 clients before us, she was so hospitable offered us something to drink while we wait, we decided to wait in the courtyard very peaceful setting. Her barbering skills are spot on she is great!! Love her style very much, we showed her a picture and then she modified it to our liking. Very pleasant experience Tina, I noticed you have a full clientele and we are so grateful you fit us in on such a short notice. Plus the thank you text was a nice touch what a awesome Barber! We will make this our shop for sure Kevin Love's His Hair!! Thank You Tina!!!!",0
1/22/2018,1.0,Positive,"Excellent, expedient and quality service from a 'mom & pop' shop.",0
2/12/2018,0.36249999999999993,Positive,"This was my first time visiting Stonecreek Barber Shop, and I couldn't be more satisfied. Tina was awesome and extremely accommodating, but most importantly did a fantastic job with my hair. She even followed up with me after my haircut to see if I was entirely satisfied. If you're looking for a quick and clean haircut, give this place a try.Tina is a true professional, and I'll definitely be back again!",0
11/22/2017,0.26865079365079364,Positive,Friendly staff - easy appointments The team is friendly and gives you ideas about what look will suit you. They focus on every single hair and make sure all are treated equally.,0
1/23/2018,0.36111111111111116,Positive,"I've been getting my haircut by Tina for the last year, and I've never been happier. She's an amazing barber who treats her customers with exceptional service. I'm writing a review because she goes above and beyond for her customers. Tonight, I had an appointment at 6, but didn't get there till 6:30. She greeted me as she always did with a smile, and gave me an amazing haircut.When you get there, let Tina know I sent you.",0
1/10/2018,0.26666666666666666,Positive,Tina is great. She told how to style my hair without making it a sales pitch. You'll recieve the same quality haircut as you would at a salon that charges $50. This is definitely my go to place now.,0
3/5/2018,0.4642857142857143,Positive,"Tina or Angie. Either 1 of them is probably the best hair stylist you'll find in Irvine (For me, they are even better than the hair stylist in LA). They even have a free snack bar for you while you wait. Great customer service, great skills, and i'll be back.  ohhh.. the PRICE = small damage to you wallet",0
9/20/2017,0.14129629629629628,Positive,"I've been cutting my own hair for the past 3 years but haven't had time to cut it lately because of my move to Irvine. I looked around on Yelp for places to go on Monday afternoon and decided to give this place a shot.I had my hair cut by Tina and she was very sweet and welcoming. At the end of the cut, I was very impressed with how clean everything looked. I'll definitely be coming back in!",0
12/30/2017,0.33982780612244895,Positive,"Short and sweet, regular cut for $18; CASH ONLY (Which I already knew). Lee was my barber and he was great! Asked me what I wanted and then trimmed a little to make sure I was good with the length. Tina was there and very friendly! Good atmosphere (To me). I went there a few days earlier and saw they had a wait; so I called for an appointment (Recommended). They took me right away. This is what I was looking for; just a haircut with no frills and a good price.Will be returning!!!",0
3/12/2018,0.08269230769230768,Positive,"This place is getting popular. Sad thing about small businesses is that their capacity to run the business is small as well. With just Tina and few others doing finances, setting appointments and running the whole store, they are getting over loaded with more customers than they can take care. Of coarse they want to make more revenue so they accept all appointments at near as possible times that the clients request but they won't be able to start you on time and the quality of the cut is getting sloppier and sloppier. Not to mention the two other hair cutters except Tina are amateurs. Time to find another place.",0
1/23/2018,0.5499999999999999,Positive,Best haircut for the price. Tina cuts my hair and has always been consistent and caring. She makes apts by text and always finds time to fit me in.,0
11/18/2017,0.2520833333333333,Positive,Tee does a great job with my haircut every time! She left her old spot where I met her and when she told me she's leaving to come work at Stonecreek I had to show love and bring my business here. Very confident with her cutting my hair she's been my barber for over a year now. I without a doubt recommend her for your barber if you want a proper and clean finish.,0
1/8/2018,0.5258333333333334,Positive,This is a great barber shop! They give you the perfect cut! They also present a very warm and friendly environment. Will definitely go back soon and recommend it!,0
12/21/2017,0.33916666666666667,Positive,I came here because I recently transferred to UCI and it has good reviews and pricing. I decided to stick with this barbershop not only because of how good the quality of the haircut was but also how warmhearted the owner (Tina) and her staff are. I was immediately greeted when I walked in and they offered a bottle of water while I was waiting. I was served by a lady and she was very responsible and efficient. I was not disappointed with the result and I would stick with this place for the rest of my school years.,0
9/1/2017,0.7458333333333335,Positive,"Great cut for a fair price! Ask for Tee, she did a great job on the style of hair I wanted. Great fade and good trim on top.",0
12/18/2017,0.4225,Positive,Love it! Tine was very friendly and did a wonderful job with my hair. I'll definitely come back!,0
12/3/2017,0.5213333333333333,Positive,Awesome barber shop and very clean cuts. Tina is the best. Definitely book an appointment if you're making your way over. It gets very busy.,0
6/17/2017,0.39714285714285713,Positive,"While waiting for my dentist appointment ,I spotted this barber shop. I was able to walk in without an appointment  and was cared for right away. Great service and barber showed meticulous attention to detail. I will be back. Side note , the barber shop filled as i was finished. I would recommend to try to call ahead.",0
1/9/2018,0.5111111111111111,Positive,"Tina is great. Really knows what she's doing, always pays attention to what you want and makes recommendations specifically suited to you. Super quick yet detailed. Best haircut for the price!",0
11/18/2017,0.36309523809523814,Positive,"I loved my bf cut. The service was great and cut was clean. Tina does great work, and so do the other barbers. He will definitely be going back.",0
11/25/2017,0.21780303030303028,Positive,"I wanted to try a new barber that was convenient and close to home so I decided to give this place a shot. It's a nice little barber shop with friendly service. They offer you water and candy while you wait. Trying to find a new barber can be a drag, but Tee took real good care of me. She gave me the cut I wanted. I couldn't be happier. Definitely will be coming back again.",0
12/7/2017,0.1,Positive,Tina is an absolute delight to work with!She took time to ensure that she understood what I was looking for and delivered everything I asked for and more!I will definitely be coming back!!!Thank you Tina!!,0
9/27/2016,0.4442254174397031,Positive,"My Dad was absolutely thrilled to discover his barber, Jim, came out of retirement (pictured right.)  With a new location, a relaxed & friendly atmosphere and the best prices in town, who wouldn't be!  The shop is thankfully a little closer to home and nestled in a picturesque courtyard - the ideal spot for me to read my book while Dad & Jim chat away.",0
3/1/2017,0.5974999999999999,Positive,"After trying so many Barber shops and salons, I can say with 100% confidence that Stonecreek Barber is the place to go.The shop is very cosy and the people very friendly, you are offered snacks and drinks during your wait. The hospitality is phenomenal.Tina gives great cuts and I've never been dissapointed with the result of my visit. The best fades in town!",0
5/22/2017,0.11120731120731121,Positive,Before coming here my boyfriend would just go to some random salon to get his haircuts but because some of the haircuts he received came out looking kinda funky we decided to try some place new and close to where we lived. And we definitely do not regret that decision.My boyfriend called in to schedule an appointment and even though we came in a bit early but they took us in right away. Everyone there was very kind. Their hospitality is on point. They offered snacks and drinks during the wait. Tina even offered me some donuts that she received as a gift from one of her customers! The shop is a bit hidden but it is definitely a gem when found. This place is now my boyfriend's new go to!,0
1/23/2018,0.4033333333333333,Positive,"I've been coming to this place for about a year now. Ever since I found out about it, I haven't gone anywhere else! Great haircuts (especially fades), not expensive, and always friendly and courteous service. Tina and Lee have always been very kind and professional. Make sure to call ahead and make an appointment! It can get busy sometimes.",0
