,body_review,date_review,id_review,location,possible_rating,rating,source,useful,user
0,"I've been waiting for my 3rd cut to post this, but Sue is such an amazing soul. I've never really enjoyed cuts from previous barbers, but I came to Kempt on a whim after seeing the Yelp reviews and I was not disappointed. Yes - it's a pricey cut. I wish I could cut it regularly every 5 weeks, but the price makes me wait longer. Though, you get a complimentary drink, a t-shirt to change it, wash and shampoo (and head massage!), consultation, and an extraordinary cut.Sue knows hair so well to the point where she can look at my head shape and offer recommendations for the perfect cut. She cut my hair three times and every single time is slightly different (which I asked for!) and it comes out better and better every single time. I come home so thrilled about the cut and it just makes me feel good every single time. She's also the most personable barber ever. We always have great conversations and she gives wonderful advice. (for those that want a cut + life experiences)Not only that - she remembers me! She remembers small details after coming back every 5-7 weeks, and that surprises me so much! She remembered that I breakdance, where my girlfriend goes to school, and even our conversation from the last cut. I've worked at a coffee shop before and it takes me forever to remember people's name let alone small details about their life even if they come a few times a week, so props to Sue. I appreciate it!Great cut, great service, friendly, natural, and all-around the best experience I've ever had with a cut. I look forward to coming back for more cuts! I can't imagine going elsewhere now but to Sue for the perfect cut.",5/30/2018,VQhZMCY6b7jKyr-HDbrRaQ,"Irvine, CA",5.0,5.0,yelp,None,Brian L.
1,"I have been to KEMPT twice and both experiences were pleasant. Coco cut my hair this time around and left me with a trendy haircut that feels polished. She was professional, and worked within her means to achieve the best look I described. Complimentary drinks are offered including water, coffee or beer. KEMPT offers an option to change into a fresh T-shirt they have in the changing room in order to avoid getting hairs on your own personal shirt you walked in with. This is great for business men who want to get a cut on their lunch break. The owners are always extremely friendly and the KEMPT vibes are genuine and welcoming.",5/2/2018,jaL8RSQ0SsxagLiNq0G1Pg,"Irvine, CA",5.0,4.0,yelp,None,Daniel E.
2,"I went on yelp, messaged 3 different salons and Coco was the 1st to reply with choices...the haircut was for my 17 yr old son...we have been to many Salons, but he was happy she gave him choices, appointment times and styles, with photos...Needless to say, we bought a 3 pack if haircuts and plan on continuing to go back beyond that...Thank you very much again CocoAdrian is happy",4/27/2018,O2hNoxxyvwPONcWoWkBp0w,"Santa Ana, CA",5.0,5.0,yelp,None,jesse n.
3,"Found this place for my boyfriend and let me tell you he's extremely happy!!! He didn't really know what to expect but he went in and was so happy with the service, his cut, and everything and couldn't stop raving about it when he got home. He says he literally won't go anywhere else lol. Definitely recommend this place!",6/14/2018,7b-FVnYllrQGBbivJlP4UQ,"Irvine, CA",5.0,5.0,yelp,None,Olivia C.
4,"Well i feel really satisfied with my new hair cut and sue was really good at making sure it was perfect, overall i liked my experience.",6/15/2018,8xg0pEpGQU1L8sNH2s6LCg,"Westminster, CA",5.0,5.0,yelp,None,José A.
5,Great place to get a haircut! Definitely recommend. As soon as you walk in you are able to choose any type of drink ranging from alcohol to cold coffee. Additionally the staff is super nice and understands when you want to talk while getting a haircut and when you are looking to sit in silence.,6/9/2018,lEB_NFVF0PxUc8lpcBLATg,"Phoenix, AZ",5.0,5.0,yelp,None,Anurag G.
6,"Booked this place for my hubby to get a haircut, after I noticed one of my co workers get a really cool haircut. Great service and his hairdresser Sue was wonderful! She gave him a really sharp look and was quick to understand our request and add her own magic on top of it. Would recommend that you ask for her. My husband's super happy that he found his salon and hairdresser!",6/4/2018,cAhaEQC1yX-hIenL1-t0Ew,"Newport Beach, CA",5.0,5.0,yelp,None,Mehak B.
7,"KEMPT is legit and worth every penny. I've been searching for the best haircut in OC for years and finally found the spot. Go see MELISSA at KEMPT, she'll take care of you. Very comfortable experience/Positive vibes",6/9/2018,pm3UDlmwD9q-NpoVZ6pU3w,"Huntington Beach, CA",5.0,5.0,yelp,None,Tyler K.
8,"I've had 3 cuts from Carley, and she's done an awesome job with my hair! She's very personable, and she takes the time to make sure your cut is the highly quality it can possibly be. It's been two weeks since the last time I came in, and my hair is growing in perfectly. Highly recommend!",6/20/2018,a1FOU8tMjfxYqtZj402nnQ,"Wheaton, IL",5.0,5.0,yelp,None,Robert B.
9,"Very friendly atmosphere. Went here after my last debacle elsewhere. I problem scared Sue with my explanation and complaining about my last butchered haircut.  But she was really friendly and took the time to understand the cut I was looking for. So far, so good. This will be my new Spot.",5/8/2018,6OGJYgu_sf7SrJAzFObpag,"Kapaa, HI",5.0,5.0,yelp,None,James S.
10,"Carly was awesome and so attentive. Great atmosphere! Every detail is thought out and considerate. Only negative is that I told Carly that I was retired military, but she didn't offer me the Veteran's discount mentioned on Yelp.",5/20/2018,Yx5I1KLOa7Aooc-8aEFXvg,"Ann Arbor, MI",5.0,5.0,yelp,None,Joe W.
11,"Melissa is excellent and I'm very happy with my 1st haircut with Kempt. She provided me tips about my haircut and how to take care it. Overall, 2 thumbs up for this spot!",5/2/2018,qF0xoxMCs-2aez1WvvFIXw,"San Diego, CA",5.0,5.0,yelp,None,Jay L.
12,"KEMPT hair? More like BEST hair cause this is the sharpest my hair has looked - ever. If you're looking for the best spot to get your hair cut, stop and go to KEMPT! Also: shoutout to Carly who cuts hair like a pro (: (If Carly is reading this, Carly, The Lab was fannntastic - thank you!)",3/28/2018,LJaiU2Z2KTgj-5cagWMjrw,"Fountain Valley, CA",5.0,5.0,yelp,None,Pranav D.
13,"I was in the area and decided to come back for help with my crazy hair.  I had grown it long, down to my shoulders.  It was thick, wavy and out of control.  I had Coco as my stylist this time.  I let her do her thang, only requesting for her not to go to short.  I was amazed how she cut and textured my hair.  She did an awesome job.  Looking more handsome than before! At least that's what my other half says. lol  Thanks Coco.",4/13/2018,j88I_PguokfVj_y4ZkRxVg,"San Diego, CA",5.0,5.0,yelp,None,D N.
