,body_review,date_review,id_review,location,possible_rating,rating,source,useful,user
0,"Le dip is one of my fav places at UTC. Love how there's lots of space around the store to hangout, study and chill.Yes agree with everyone below! Garlic chicken sandwich!! A must try and I promise you won't regret it. The bread of the sandwich is so gooooooood!",6/2/2018,GFal58tIzEOxcbUzYQunFA,"Santa Ana, CA",5.0,5.0,yelp,1,Angela B.
1,"The service is great here, as are the prices.Especially their happy hour deal for sandwich, chips and a drink, very much worth it if you are on a budget.Not a huge fan of their sandwiches, but i would return for their coffee.Both the Vietnamese and the sea foam were good, not the best ever, but surely worth getting when in the area.Food and drinks are made to order quickly, perfect if you don;t have much time.Rounding up for great service and fair prices.",6/17/2018,kw4IR5ElxJV9hPEalk196w,"Los Angeles, CA",5.0,4.0,yelp,12,Nijole T.
2,"Three words: GARLIC CHICKEN SANDWICH. Oh my goodness...such a simple sandwich but take one bite and your mind will be blown, guaranteed! I don't know what they put in that garlic sauce but it is freaking addicting!!! I can honestly probably eat here everyday. Add some sriracha if you like a little bit of a kick in your food and bam! perfection in your mouth :)Love this place & miss it every day. Bonus points: Its right across the street from UCI campus making it super convenient for students to pop in for a quick bite in between classes. Another favorite thing about this place for me back when I was in school!",5/30/2018,6Zkvr2rjyfzCz8CbHpsRvA,"Irvine, CA",5.0,5.0,yelp,2,Catherine N.
3,"I feel bad leaving a mediocre review. The service was great and all but the food/drinks were not the best. My co worker swore up and down this place had a delicious garlic chicken sandwich. So I guess I had already started out with high hopes for this place. Which isn't always a good thing. I should've asked what was inside the sandwich. I was picturing chopped grilled chicken with greens and some garlic aioli and just a light sandwich overall. Totally the contrary. This was just a simple sandwich. No greens. Only chopped chicken, cheese, and over abundant amount of aioli sauce. I had to squeeze that sauce out because it felt like grease in my mouth with the first bite I took. There was just way too much. The baguette was well toasted and I probably would've just preferred that alone. We also ordered their Vietnamese coffee. Totally mild even with easy ice! I would never get it again. Didn't do much for me with the light flavor.",3/27/2018,jk6qlYfaw77wVxZvsHPcSg,"Garden Grove, CA",5.0,3.0,yelp,28,Brenda P.
4,"Chicken, garlic, mushroom and broccoli, and chicken, garlic, eggplant and tomato sandwiches from my fav sandwich place across the street from UCIrvine, CA. If you're ever in the area, you gotta try these sandwiches; fresh ingredients, basically delivery vehicles for their AMAZING garlic mayo! I also got a side of their awesome ranch sauce and extra garlic sauce. SO good. Great/über friendly service (02/06/18 | 8:40pm-ish)....",2/23/2018,KdwFOQq_pnKVq4yfGTw0rg,"Midvale, UT",5.0,5.0,yelp,6,Joshua S.
5,"Le Diplomate Cafe is the perfect grab-n-go sandwich place. Located in UTC (the University Town Center), if you want a warm sandwich, this is the place to go! I love that they also sell Bahn Mi. I came here on a Sunday afternoon with my sister, and we both loved it. Food ordered:1. Chicken Broccoli Mushroom with garlic sauce (5/5): If you want a hot sandwich, this is amazing. I'm sure the garlic sauce on any sandwich is amazing, but I particularly loved how the melted cheese covered the broccoli and mushroom. As for the meat, the chicken is tender and perfectly cooked. With all ingredients placed in a fresh, warm, and crispy baguette, this sandwich was heavenly.2. BBQ Bahn Mi (5/5): This classic Vietnamese baguette sandwich comes with BBQ pork, pickled veggies, cilantro, and an optional jalepeno. I love bahn mi, so this sandwich was great. Although slightly pricier than most traditional Vietnamese establishments, it is close to UCI and satisfies my Bahn Mi cravings.Note: The prices on the menu on Yelp are not updated. I paid around $7 for each sandwich.",2/10/2018,_8NuAqkM6P-brqUnIRyVyg,"Irvine, CA",5.0,5.0,yelp,3,Alice W.
6,"I came here while I was still in school at UCI. I come back here 4 years later to try their sandwiches, and they still taste just as great!It's a small cafe so inside seating is minimal but there is plenty of outdoor seating. And no matter what sandwich you pick, you can't go wrong!",2/25/2018,SeG553GZ4Sh2s_zptx-nRg,"Irvine, CA",5.0,5.0,yelp,1,Charith S.
7,"Truly the most spectacular sandwich shop I have ever experienced in my life. I was lucky enough to go to a university right in from of Le Diplomate Café and I am lucky that I LOST weight during my four years at UC Irvine. Hands down, Le Diplomate has the best sandwiches at the best price. Go visit and just try their Garlic Chicken sandwich and you will leave satisfied and full!Le Diplomate Café is a small sandwich shop in the University Town Center (aka UTC). I think it has gone through the test of time because there have been quite a few restaurants that have opened and closed throughout the years. Le Diplomate is standing strong and I am incredibly happy. You can enjoy a 9"" sandwich for under $7. They also have happy hour specials which include a chip and drink for just $5-6. Perfect for college students and anybody who wants to dine on a dime! I've tasted a variety of their sandwiches and I have been happy with every single one of them. My absolute favorites are definitely the Chicken Garlic (ask for a side of extra garlic sauce - TRUST ME), the Chicken Cordon Bleu, and their Chicken Eggplant. What I love about Le Diplomate is that their sandwiches are simple yet flavorful and come out warm with a perfectly toasted French baguette. I think Le Diplomate Café is up there in my list of top restaurants. The food is delicious, the service is quick, and it is low cost. They also have drinks from teas, Italian sodas, smoothies, and coffee. It is a café afterall!",4/13/2018,ofF_b6MVWmVETd7DU6OJRg,"Kansas City, MO",5.0,5.0,yelp,2,Kent Jacob C.
8,"So disappointed that they are cheating on the orange juice! This is not acceptable. They claim the orange juice is fresh squeezed, and it is the most expensive drink on the menu. But today i saw the waitress just pouring the juice from the big bottle!!!????I wanted to point that out at the moment, but I remember waitress was having training last week. (Yes, I go there at least once a week)So I didn't want confront her and then I just left.  This made me so sad and disappointed! Cheating is a big deal! They lost a loyal customer and a lot of other customers who I have recommended to this place!",6/5/2018,pqpMTEkZkE2pEVbC2JAhkQ,"El Monte, CA",5.0,1.0,yelp,1,Paris L.
9,"One of my favorite sandwich places to this day! Always gotta get the garlic chicken with broccoli. Def a plus if you have a panini press at home to make it extra crispy if you're eating the second half as a leftover. 10/10, and it has never disappointed me once!",6/18/2018,k4DxQsViDbqMyxQDw5OZAg,"Irvine, CA",5.0,5.0,yelp,1,Jessica P.
